"iso3","Gdeg_out"
"ARM",0
"AFG",3
"ALB",2
"DZA",3
"ATG",0
"ARG",35
"AUS",0
"AUT",29
"BHS",2
"BHR",22
"BRB",3
"BGD",33
"BMU",0
"BTN",4
"BOL",6
"BWA",4
"BRA",71
"ARB",1
"BLZ",2
"SLB",1
"BRN",2
"BGR",33
"MMR",0
"BDI",1
"CMR",5
"CAN",39
"CPV",0
"CAF",0
"LKA",46
"TCD",0
"CHL",6
"CHN",88
"COL",3
"COM",0
"COG",3
"COK",0
"CRI",4
"CUB",0
"CYP",6
"AZE",2
"BEN",3
"DNK",34
"DMA",1
"DOM",0
"BLR",2
"ECU",7
"EGY",35
"SLV",8
"GNQ",0
"EST",8
"FRO",0
"FJI",10
"FIN",7
"FRA",90
"PYF",1
"DJI",0
"GEO",3
"GAB",1
"GMB",3
"DEU",69
"BIH",3
"GHA",8
"KIR",1
"GRC",57
"GRL",0
"GRD",1
"GTM",5
"GIN",3
"GUY",43
"HTI",0
"HND",3
"HKG",17
"HUN",18
"HRV",9
"ISL",1
"IND",159
"IDN",13
"IRN",26
"IRQ",0
"IRL",6
"ISR",17
"ITA",127
"CIV",9
"KAZ",12
"JAM",4
"JPN",21
"JOR",14
"KGZ",9
"KEN",9
"KHM",73
"PRK",0
"KOR",43
"KWT",18
"LVA",13
"LAO",0
"LBN",51
"LSO",0
"LBR",0
"LBY",2
"LTU",16
"MAC",1
"MDG",3
"MWI",4
"MYS",14
"MDV",0
"MLI",3
"MLT",2
"MRT",1
"MUS",11
"MEX",9
"MNG",0
"MAR",4
"MOZ",0
"MDA",1
"NAM",2
"NPL",2
"NLD",73
"ANT",0
"NCL",3
"MKD",19
"VUT",0
"NZL",20
"NIC",5
"NER",18
"NGA",11
"NOR",14
"PAK",132
"PAN",8
"CZE",23
"PNG",0
"PRY",39
"PER",7
"PHL",11
"POL",38
"PRT",67
"GNB",0
"TLS",0
"ERI",0
"QAT",2
"ZWE",2
"ROU",24
"RWA",1
"RUS",51
"KNA",1
"LCA",0
"VCT",6
"STP",0
"SAU",26
"SEN",9
"SYC",1
"SLE",3
"SVN",17
"SVK",9
"SGP",39
"SOM",0
"ZAF",33
"ESP",97
"SUR",18
"TJK",0
"SWZ",2
"SWE",27
"CHE",22
"SYR",3
"TKM",0
"TWN",53
"TZA",16
"THA",152
"TGO",5
"TON",0
"TTO",11
"OMN",14
"TUN",1
"TUR",70
"ARE",97
"UGA",10
"TUV",0
"GBR",57
"UKR",24
"USA",139
"BFA",3
"URY",55
"UZB",0
"VEN",5
"VNM",0
"ETH",2
"YEM",1
"COD",0
"ZMB",3
"BEL",64
"LUX",4
"SRB",9
"MNE",0
"SDN",0
"SSD",0
"PSE",0
