"iso3","Gdeg_total"
"ARM",20
"AFG",15
"ALB",20
"DZA",18
"ATG",6
"ARG",148
"AUS",80
"AUT",80
"BHS",6
"BHR",29
"BRB",19
"BGD",32
"BMU",1
"BTN",1
"BOL",18
"BWA",11
"BRA",112
"ARB",10
"BLZ",14
"SLB",2
"BRN",8
"BGR",64
"MMR",14
"BDI",12
"CMR",28
"CAN",94
"CPV",7
"CAF",9
"LKA",22
"TCD",4
"CHL",49
"CHN",62
"COL",49
"COM",5
"COG",24
"COK",2
"CRI",26
"CUB",7
"CYP",30
"AZE",28
"BEN",14
"DNK",62
"DMA",7
"DOM",16
"BLR",23
"ECU",21
"EGY",52
"SLV",19
"GNQ",10
"EST",25
"FRO",1
"FJI",16
"FIN",27
"FRA",181
"PYF",7
"DJI",7
"GEO",32
"GAB",15
"GMB",10
"DEU",125
"BIH",28
"GHA",44
"KIR",4
"GRC",73
"GRL",1
"GRD",9
"GTM",31
"GIN",14
"GUY",16
"HTI",6
"HND",23
"HKG",43
"HUN",88
"HRV",50
"ISL",12
"IND",117
"IDN",40
"IRN",38
"IRQ",33
"IRL",39
"ISR",41
"ITA",163
"CIV",38
"KAZ",33
"JAM",25
"JPN",46
"JOR",48
"KGZ",12
"KEN",49
"KHM",12
"PRK",3
"KOR",62
"KWT",35
"LVA",34
"LAO",2
"LBN",77
"LSO",4
"LBR",14
"LBY",22
"LTU",44
"MAC",3
"MDG",14
"MWI",15
"MYS",80
"MDV",9
"MLI",25
"MLT",20
"MRT",12
"MUS",21
"MEX",78
"MNG",8
"MAR",36
"MOZ",18
"MDA",47
"NAM",11
"NPL",7
"NLD",141
"ANT",0
"NCL",9
"MKD",27
"VUT",7
"NZL",54
"NIC",15
"NER",15
"NGA",44
"NOR",32
"PAK",61
"PAN",24
"CZE",52
"PNG",8
"PRY",49
"PER",47
"PHL",42
"POL",90
"PRT",57
"GNB",3
"TLS",4
"ERI",4
"QAT",37
"ZWE",20
"ROU",98
"RWA",12
"RUS",97
"KNA",4
"LCA",9
"VCT",7
"STP",2
"SAU",51
"SEN",34
"SYC",12
"SLE",14
"SVN",51
"SVK",49
"SGP",62
"SOM",11
"ZAF",111
"ESP",145
"SUR",12
"TJK",4
"SWZ",9
"SWE",56
"CHE",56
"SYR",23
"TKM",9
"TWN",46
"TZA",31
"THA",79
"TGO",18
"TON",3
"TTO",22
"OMN",42
"TUN",25
"TUR",147
"ARE",117
"UGA",26
"TUV",1
"GBR",127
"UKR",130
"USA",225
"BFA",25
"URY",17
"UZB",15
"VEN",14
"VNM",27
"ETH",22
"YEM",21
"COD",23
"ZMB",36
"BEL",122
"LUX",14
"SRB",70
"MNE",13
"SDN",15
"SSD",3
"PSE",5
