"iso3","Gstrength_in"
"ARM",8531670000
"AFG",1088856100000
"ALB",74184470000
"DZA",337408840000
"ATG",5602890000
"ARG",29842400000
"AUS",567812080000
"AUT",147355220000
"BHS",31036700000
"BHR",260488880000
"BRB",14388320000
"BGD",2521780920000
"BMU",2553960000
"BTN",26916760000
"BOL",154966570000
"BWA",113399900000
"BRA",2166832180000
"ARB",15090560000
"BLZ",860810000
"SLB",4695600000
"BRN",102763120000
"BGR",96582373333.3333
"MMR",61112713333.3333
"BDI",24847910000
"CMR",2452662160000
"CAN",1341991520000
"CPV",112032210000
"CAF",3705600000
"LKA",1000779270000
"TCD",5.196e+10
"CHL",531213840000
"CHN",5808859776666.67
"COL",643275020000
"COM",124407510000
"COG",587545030000
"COK",206250000
"CRI",183086030000
"CUB",518936180000
"CYP",25765210000
"AZE",284384360000
"BEN",7680748900000
"DNK",141067160000
"DMA",1605730000
"DOM",91288400000
"BLR",33208430000
"ECU",642170000
"EGY",285436443333.333
"SLV",69800080000
"GNQ",69275310000
"EST",12852730000
"FRO",503830000
"FJI",35668420000
"FIN",107672350000
"FRA",1656620313333.33
"PYF",11841170000
"DJI",767206700000
"GEO",128857780000
"GAB",223706330000
"GMB",503657970000
"DEU",1371688190000
"BIH",17632570000
"GHA",885440980000
"KIR",2198380000
"GRC",76293240000
"GRL",1085290000
"GRD",7133610000
"GTM",54286450000
"GIN",1938652880000
"GUY",2299240000
"HTI",1700735900000
"HND",77981680000
"HKG",908152886666.667
"HUN",223547436666.667
"HRV",52658910000
"ISL",4438170000
"IND",76693906666.6667
"IDN",1901273623333.33
"IRN",4324308583333.33
"IRQ",3335888940000
"IRL",90813690000
"ISR",401403870000
"ITA",593842120000
"CIV",4451679260000
"KAZ",200879930000
"JAM",257174360000
"JPN",2451880393333.33
"JOR",691224080000
"KGZ",30914420000
"KEN",2107735550000
"KHM",31447793333.3333
"PRK",113894420000
"KOR",1260585016666.67
"KWT",823139930000
"LVA",24261520000
"LAO",627236413333.333
"LBN",285713890000
"LSO",38804710000
"LBR",1021717360000
"LBY",273879280000
"LTU",67849120000
"MAC",58560350000
"MDG",1075821150000
"MWI",10991900000
"MYS",2113078290000
"MDV",107788253333.333
"MLI",417741250000
"MLT",13816260000
"MRT",213710240000
"MUS",204097770000
"MEX",934572580000
"MNG",103841960000
"MAR",20545730000
"MOZ",2093309090000
"MDA",24578050000
"NAM",73002260000
"NPL",1339723380000
"NLD",1214056176666.67
"ANT",0
"NCL",17755240000
"MKD",564760000
"VUT",5098410000
"NZL",108594070000
"NIC",60745790000
"NER",573230210000
"NGA",1129005656666.67
"NOR",78048010000
"PAK",13682070000
"PAN",130505330000
"CZE",289244043333.333
"PNG",494888190000
"PRY",2594690000
"PER",1108195380000
"PHL",1838809826666.67
"POL",777413320000
"PRT",163583010000
"GNB",317349590000
"TLS",83782790000
"ERI",999590000
"QAT",683013420000
"ZWE",255641570000
"ROU",157759210000
"RWA",15158380000
"RUS",660269790000
"KNA",3232770000
"LCA",11576200000
"VCT",11200310000
"STP",18283170000
"SAU",4742209616666.67
"SEN",4721596690000
"SYC",20669950000
"SLE",1061815100000
"SVN",39363950000
"SVK",128485460000
"SGP",935684723333.333
"SOM",1276650850000
"ZAF",3296556253333.33
"ESP",552352830000
"SUR",1994920000
"TJK",99130070000
"SWZ",119560350000
"SWE",226975380000
"CHE",295727460000
"SYR",278509550000
"TKM",109725030000
"TWN",301611963333.333
"TZA",692729530000
"THA",282571370000
"TGO",854637190000
"TON",513460000
"TTO",88518100000
"OMN",1090504560000
"TUN",84680480000
"TUR",1563592840000
"ARE",3852820256666.67
"UGA",21653850000
"TUV",1013410000
"GBR",2092494850000
"UKR",244897080000
"USA",2650133376666.67
"BFA",272660560000
"URY",2263370000
"UZB",63523180000
"VEN",287748450000
"VNM",70321126666.6667
"ETH",238485540000
"YEM",1593201300000
"COD",163552330000
"ZMB",20186410000
"BEL",1508035193333.33
"LUX",9202850000
"SRB",50148800000
"MNE",4666640000
"SDN",198907920000
"SSD",104396850000
"PSE",13952950000
