"iso3","Gstrength_in"
"11",1741357800
"12",887308400
"19",6299537800
"20",485871000
"41",6004664800
"42",263883400
"49",151163800
"50",28811398600
"61",39688819400
"62",2818262200
"63",3722011200
"64",12853464600
"65",2346671400
"69",4213516000
"81",7740033800
"89",795964600
"91",2508367200
"92",2596854200
"99",424079000
"101",391933800
"109",1054077200
"111",1028236600
"121",3202122600
"122",12233247800
"123",5482594800
"124",2275919000
"129",8427584000
"131",17939544400
"132",384795200
"139",5038564000
"151",1124222000
"159",439640600
"160",1400338400
"171",38204418800
"172",668947600
"179",7400778600
"181",404776000
"182",3470111600
"183",1720046800
"189",3803296600
"190",19887442000
"201",5776539600
"202",662400400
"209",6685138000
"211",753633400
"212",1847786200
"219",2227382600
"221",1027927000
"222",226071600
"223",3860562000
"229",3341572200
"230",1925489200
"241",4354219200
"242",3440580400
"249",2331956000
"251",9020905400
"259",2429187400
"261",7823202000
"262",3342336800
"269",1727554600
"271",9725242000
"279",5562896200
"280",6018212200
"291",2344906200
"292",1727337600
"299",4975928800
"300",1026289200
"311",4358707000
"319",6312587000
"321",2175559000
"329",546567600
"331",760701200
"339",81378000
"341",19339277200
"342",4708203000
"350",1298778800
"361",3055270000
"362",1135382200
"363",26338093000
"364",1274736400
"369",3858769000
"371",3563127800
"372",2367578800
"373",3141546000
"379",3967530400
"380",640901000
"391",4490921800
"392",3523368600
"393",3824421600
"394",3095886200
"399",4438604400
"401",3423378800
"402",905556400
"409",4387824600
"411",6947999000
"419",1103988000
"421",7314152600
"422",4633834800
"423",2634520600
"429",11369567600
"441",844856600
"451",257904600
"452",1192262600
"459",3567663600
"460",960393600
"471",2217574600
"472",5092422600
"473",855259600
"479",1341330200
"481",806947400
"482",101962400
"483",62461800
"484",18554307200
"485",829628600
"486",15367621000
"487",4608722200
"488",5540399200
"489",11482494000
"491",3577456800
"499",11214000
"500",412766800
"511",1807998200
"512",2991108600
"513",2156139200
"519",5400144800
"531",11803555000
"532",461178000
"539",1655227400
"540",573941600
"551",6370261000
"559",10176417000
"560",391557800
