"iso3","Gstrength_total"
"ARM",8531670000
"AFG",1089032500000
"ALB",74287670000
"DZA",337454440000
"ATG",5602890000
"ARG",1470120220000
"AUS",567812080000
"AUT",163073860000
"BHS",31047500000
"BHR",262717330000
"BRB",14415730000
"BGD",2554130523333.33
"BMU",2553960000
"BTN",27055470000
"BOL",156939510000
"BWA",114585500000
"BRA",4259582680000
"ARB",16792980000
"BLZ",1787430000
"SLB",5.886e+09
"BRN",102803920000
"BGR",243795183333.333
"MMR",61112713333.3333
"BDI",25038310000
"CMR",2506148420000
"CAN",1365002940000
"CPV",112032210000
"CAF",3705600000
"LKA",1025952610000
"TCD",5.196e+10
"CHL",538364640000
"CHN",8085250286666.67
"COL",643410620000
"COM",124407510000
"COG",587878590000
"COK",206250000
"CRI",212092730000
"CUB",518936180000
"CYP",26179210000
"AZE",284410760000
"BEN",7681502720000
"DNK",171218790000
"DMA",1608110000
"DOM",91288400000
"BLR",33569600000
"ECU",2767340000
"EGY",520417973333.333
"SLV",108276810000
"GNQ",69275310000
"EST",13650640000
"FRO",503830000
"FJI",38052620000
"FIN",108288940000
"FRA",1889977263333.33
"PYF",11871170000
"DJI",767206700000
"GEO",130017420000
"GAB",223707530000
"GMB",507236370000
"DEU",1869505100000
"BIH",17903770000
"GHA",886178740000
"KIR",2407180000
"GRC",506269530000
"GRL",1085290000
"GRD",7281170000
"GTM",57218030000
"GIN",1939620080000
"GUY",609651230000
"HTI",1700735900000
"HND",96799620000
"HKG",960730416666.667
"HUN",237258686666.667
"HRV",53142350000
"ISL",4440570000
"IND",38997544186666.7
"IDN",1904784763333.33
"IRN",4326565813333.33
"IRQ",3335888940000
"IRL",91898200000
"ISR",401887390000
"ITA",3142834640000
"CIV",4542568910000
"KAZ",474573140000
"JAM",258028760000
"JPN",2464257583333.33
"JOR",697104490000
"KGZ",31266480000
"KEN",2108344610000
"KHM",1859323873333.33
"PRK",113894420000
"KOR",1268881816666.67
"KWT",826412890000
"LVA",30457940000
"LAO",627236413333.333
"LBN",297538560000
"LSO",38804710000
"LBR",1021717360000
"LBY",274319680000
"LTU",84787940000
"MAC",59768740000
"MDG",1076321480000
"MWI",11351020000
"MYS",2256569020000
"MDV",107788253333.333
"MLI",417963350000
"MLT",13849850000
"MRT",213740240000
"MUS",205046920000
"MEX",1054162750000
"MNG",103841960000
"MAR",25249500000
"MOZ",2093309090000
"MDA",24579250000
"NAM",73032220000
"NPL",1339725760000
"NLD",1851941326666.67
"ANT",0
"NCL",17808040000
"MKD",19598290000
"VUT",5098410000
"NZL",109244440000
"NIC",94444190000
"NER",908276560000
"NGA",1129700066666.67
"NOR",78729350000
"PAK",13229440450000
"PAN",132946080000
"CZE",361286033333.333
"PNG",494888190000
"PRY",1632862330000
"PER",1118894170000
"PHL",1840031476666.67
"POL",886418880000
"PRT",396079280000
"GNB",317349590000
"TLS",83782790000
"ERI",999590000
"QAT",683031420000
"ZWE",258701540000
"ROU",192508340000
"RWA",15189580000
"RUS",1179467670000
"KNA",3419970000
"LCA",11576200000
"VCT",19837790000
"STP",18283170000
"SAU",4759595406666.67
"SEN",5122616290000
"SYC",20699950000
"SLE",1061821100000
"SVN",85169300000
"SVK",134870460000
"SGP",1244370243333.33
"SOM",1276650850000
"ZAF",3723034543333.33
"ESP",1433585780000
"SUR",186972630000
"TJK",99130070000
"SWZ",119844750000
"SWE",233231830000
"CHE",303991270000
"SYR",278813140000
"TKM",109725030000
"TWN",495820983333.333
"TZA",723836950000
"THA",36662572226666.7
"TGO",857566390000
"TON",513460000
"TTO",89606080000
"OMN",1153071590000
"TUN",93943910000
"TUR",1722015460000
"ARE",5049158346666.67
"UGA",204982880000
"TUV",1013410000
"GBR",2317979530000
"UKR",249465370000
"USA",10552877906666.7
"BFA",275350960000
"URY",3001646060000
"UZB",63523180000
"VEN",288289630000
"VNM",70321126666.6667
"ETH",238540740000
"YEM",1593213300000
"COD",163552330000
"ZMB",24192870000
"BEL",2176369033333.33
"LUX",9405580000
"SRB",51186900000
"MNE",4666640000
"SDN",198907920000
"SSD",104396850000
"PSE",13952950000
