"iso3","BGD","COL","GTM","SEN","VNM","ETH"
"SYR",0,0,0,0,0,0
"TKM",0,0,0,0,0,0
"TWN",955756666.666667,0,0,0,9602506666.66667,0
"TZA",0,0,0,0,0,0
"THA",2427920000,217160000,23733333.3333333,39160000,207790876666.667,0
"TGO",0,0,0,0,0,0
"TON",0,0,0,0,0,0
"TTO",0,0,0,0,0,0
"OMN",0,0,0,0,0,0
"TUN",0,0,0,0,0,0
"TUR",31456666.6666667,0,0,746570000,0,241543333.333333
"ARE",6050000,0,0,53456666.6666667,4426266666.66667,1500346666.66667
"UGA",0,0,0,0,0,0
"TUV",0,0,0,0,0,0
"GBR",0,0,9946666.66666667,0,0,0
"UKR",125193333333.333,0,0,8269880000,147200773333.333,0
"USA",484126413333.333,16286278986666.7,3182379253333.33,55662973333.3333,672179796666.667,0
"BFA",0,0,0,598080000,0,0
"URY",0,0,0,0,0,0
"UZB",0,0,0,0,0,0
"VEN",0,0,0,0,0,0
"VNM",0,0,0,0,0,0
"ETH",0,0,0,0,0,0
"YEM",0,0,0,0,0,0
"COD",0,0,0,0,0,0
"ZMB",0,0,0,21360000,0,12115866666.6667
"BEL",156173333.333333,0,0,0,70720000,35360000
"LUX",0,0,0,0,0,0
"SRB",0,0,0,0,0,0
"MNE",0,0,0,0,0,0
"SDN",0,0,0,0,0,0
"SSD",0,0,0,0,0,0
"PSE",0,0,0,0,0,0
