"iso3","Gstrength_out"
"ARM",0
"AFG",176400000
"ALB",103200000
"DZA",45600000
"ATG",0
"ARG",1440277820000
"AUS",0
"AUT",15718640000
"BHS",10800000
"BHR",2228450000
"BRB",27410000
"BGD",32349603333.3333
"BMU",0
"BTN",138710000
"BOL",1972940000
"BWA",1185600000
"BRA",2092750500000
"ARB",1702420000
"BLZ",926620000
"SLB",1190400000
"BRN",40800000
"BGR",147212810000
"MMR",0
"BDI",190400000
"CMR",53486260000
"CAN",23011420000
"CPV",0
"CAF",0
"LKA",25173340000
"TCD",0
"CHL",7150800000
"CHN",2276390510000
"COL",135600000
"COM",0
"COG",333560000
"COK",0
"CRI",29006700000
"CUB",0
"CYP",4.14e+08
"AZE",26400000
"BEN",753820000
"DNK",30151630000
"DMA",2380000
"DOM",0
"BLR",361170000
"ECU",2125170000
"EGY",234981530000
"SLV",38476730000
"GNQ",0
"EST",797910000
"FRO",0
"FJI",2384200000
"FIN",616590000
"FRA",233356950000
"PYF",3e+07
"DJI",0
"GEO",1159640000
"GAB",1200000
"GMB",3578400000
"DEU",497816910000
"BIH",271200000
"GHA",737760000
"KIR",208800000
"GRC",429976290000
"GRL",0
"GRD",147560000
"GTM",2931580000
"GIN",967200000
"GUY",607351990000
"HTI",0
"HND",18817940000
"HKG",52577530000
"HUN",13711250000
"HRV",483440000
"ISL",2400000
"IND",38920850280000
"IDN",3511140000
"IRN",2257230000
"IRQ",0
"IRL",1084510000
"ISR",483520000
"ITA",2548992520000
"CIV",90889650000
"KAZ",273693210000
"JAM",854400000
"JPN",12377190000
"JOR",5880410000
"KGZ",352060000
"KEN",609060000
"KHM",1827876080000
"PRK",0
"KOR",8296800000
"KWT",3272960000
"LVA",6196420000
"LAO",0
"LBN",11824670000
"LSO",0
"LBR",0
"LBY",440400000
"LTU",16938820000
"MAC",1208390000
"MDG",500330000
"MWI",359120000
"MYS",143490730000
"MDV",0
"MLI",222100000
"MLT",33590000
"MRT",3e+07
"MUS",949150000
"MEX",119590170000
"MNG",0
"MAR",4703770000
"MOZ",0
"MDA",1200000
"NAM",29960000
"NPL",2380000
"NLD",637885150000
"ANT",0
"NCL",52800000
"MKD",19033530000
"VUT",0
"NZL",650370000
"NIC",33698400000
"NER",335046350000
"NGA",694410000
"NOR",681340000
"PAK",13215758380000
"PAN",2440750000
"CZE",72041990000
"PNG",0
"PRY",1630267640000
"PER",10698790000
"PHL",1221650000
"POL",109005560000
"PRT",232496270000
"GNB",0
"TLS",0
"ERI",0
"QAT",1.8e+07
"ZWE",3059970000
"ROU",34749130000
"RWA",31200000
"RUS",519197880000
"KNA",187200000
"LCA",0
"VCT",8637480000
"STP",0
"SAU",17385790000
"SEN",401019600000
"SYC",3e+07
"SLE",6e+06
"SVN",45805350000
"SVK",6.385e+09
"SGP",308685520000
"SOM",0
"ZAF",426478290000
"ESP",881232950000
"SUR",184977710000
"TJK",0
"SWZ",284400000
"SWE",6256450000
"CHE",8263810000
"SYR",303590000
"TKM",0
"TWN",194209020000
"TZA",31107420000
"THA",36380000856666.7
"TGO",2929200000
"TON",0
"TTO",1087980000
"OMN",62567030000
"TUN",9263430000
"TUR",158422620000
"ARE",1196338090000
"UGA",183329030000
"TUV",0
"GBR",225484680000
"UKR",4568290000
"USA",7902744530000
"BFA",2690400000
"URY",2999382690000
"UZB",0
"VEN",541180000
"VNM",0
"ETH",55200000
"YEM",1.2e+07
"COD",0
"ZMB",4006460000
"BEL",668333840000
"LUX",202730000
"SRB",1038100000
"MNE",0
"SDN",0
"SSD",0
"PSE",0
