"iso3","Gdeg_in"
"ARM",16
"AFG",11
"ALB",19
"DZA",18
"ATG",6
"ARG",13
"AUS",43
"AUT",33
"BHS",6
"BHR",22
"BRB",12
"BGD",22
"BMU",1
"BTN",1
"BOL",9
"BWA",5
"BRA",15
"ARB",9
"BLZ",7
"SLB",2
"BRN",7
"BGR",26
"MMR",14
"BDI",8
"CMR",19
"CAN",50
"CPV",6
"CAF",9
"LKA",15
"TCD",4
"CHL",22
"CHN",33
"COL",20
"COM",5
"COG",24
"COK",2
"CRI",16
"CUB",7
"CYP",25
"AZE",21
"BEN",10
"DNK",33
"DMA",4
"DOM",16
"BLR",18
"ECU",14
"EGY",19
"SLV",12
"GNQ",10
"EST",21
"FRO",1
"FJI",9
"FIN",24
"FRA",65
"PYF",7
"DJI",7
"GEO",22
"GAB",15
"GMB",9
"DEU",50
"BIH",10
"GHA",28
"KIR",4
"GRC",33
"GRL",1
"GRD",7
"GTM",15
"GIN",13
"GUY",12
"HTI",6
"HND",10
"HKG",32
"HUN",28
"HRV",21
"ISL",12
"IND",27
"IDN",20
"IRN",28
"IRQ",33
"IRL",31
"ISR",29
"ITA",45
"CIV",21
"KAZ",26
"JAM",11
"JPN",34
"JOR",32
"KGZ",10
"KEN",23
"KHM",7
"PRK",3
"KOR",32
"KWT",28
"LVA",19
"LAO",2
"LBN",28
"LSO",4
"LBR",14
"LBY",22
"LTU",23
"MAC",3
"MDG",10
"MWI",7
"MYS",33
"MDV",9
"MLI",21
"MLT",20
"MRT",12
"MUS",17
"MEX",16
"MNG",8
"MAR",17
"MOZ",18
"MDA",16
"NAM",8
"NPL",6
"NLD",56
"ANT",0
"NCL",8
"MKD",19
"VUT",7
"NZL",25
"NIC",10
"NER",13
"NGA",25
"NOR",26
"PAK",25
"PAN",18
"CZE",23
"PNG",8
"PRY",5
"PER",14
"PHL",22
"POL",31
"PRT",26
"GNB",3
"TLS",4
"ERI",4
"QAT",32
"ZWE",10
"ROU",29
"RWA",6
"RUS",35
"KNA",4
"LCA",7
"VCT",6
"STP",2
"SAU",35
"SEN",27
"SYC",11
"SLE",13
"SVN",23
"SVK",18
"SGP",33
"SOM",11
"ZAF",35
"ESP",48
"SUR",9
"TJK",4
"SWZ",3
"SWE",37
"CHE",35
"SYR",18
"TKM",9
"TWN",30
"TZA",14
"THA",24
"TGO",11
"TON",3
"TTO",12
"OMN",28
"TUN",18
"TUR",37
"ARE",52
"UGA",11
"TUV",1
"GBR",60
"UKR",27
"USA",75
"BFA",15
"URY",10
"UZB",15
"VEN",10
"VNM",27
"ETH",13
"YEM",17
"COD",21
"ZMB",11
"BEL",38
"LUX",9
"SRB",28
"MNE",11
"SDN",15
"SSD",3
"PSE",5
