"country_list$iso3","P0"
"ARM",0
"AFG",1477764400000
"ALB",0
"DZA",55391466666.6667
"ATG",0
"ARG",4793183733333.33
"AUS",2100307066666.67
"AUT",0
"BHS",0
"BHR",0
"BRB",0
"BGD",177838602666667
"BMU",0
"BTN",403900933333.333
"BOL",1866832800000
"BWA",0
"BRA",38874259200000
"ARB",0
"BLZ",182325733333.333
"SLB",60081466666.6667
"BRN",57487733333.3333
"BGR",364441466666.667
"MMR",91337641733333.3
"BDI",401184933333.333
"CMR",1688558666666.67
"CAN",0
"CPV",0
"CAF",94320800000
"LKA",12722194800000
"TCD",1262108400000
"CHL",683417466666.667
"CHN",6.79836024e+14
"COL",9964979733333.33
"COM",192446800000
"COG",25654533333.3333
"COK",0
"CRI",756620666666.667
"CUB",1690599866666.67
"CYP",0
"AZE",102095466666.667
"BEN",1.019046e+12
"DNK",0
"DMA",0
"DOM",2128193200000
"BLR",0
"ECU",5104498933333.33
"EGY",15861662133333.3
"SLV",289274533333.333
"GNQ",0
"EST",0
"FRO",0
"FJI",113940400000
"FIN",0
"FRA",425372266666.667
"PYF",0
"DJI",0
"GEO",0
"GAB",87283466666.6667
"GMB",352211066666.667
"DEU",0
"BIH",0
"GHA",2679009200000
"KIR",0
"GRC",1071825066666.67
"GRL",0
"GRD",0
"GTM",205818666666.667
"GIN",10843425600000
"GUY",2309064800000
"HTI",679992133333.333
"HND",337871333333.333
"HKG",56725200000
"HUN",145652266666.667
"HRV",0
"ISL",0
"IND",577940960800000
"IDN",262307207866667
"IRN",8496431066666.67
"IRQ",760285866666.667
"IRL",0
"ISR",0
"ITA",5228565066666.67
"CIV",8234877466666.67
"KAZ",1674576400000
"JAM",93682400000
"JPN",32174804666666.7
"JOR",0
"KGZ",222496400000
"KEN",482743333333.333
"KHM",35854638400000
"PRK",8814945066666.67
"KOR",17945400666666.7
"KWT",0
"LVA",0
"LAO",14291731066666.7
"LBN",0
"LSO",0
"LBR",1585305866666.67
"LBY",0
"LTU",0
"MAC",0
"MDG",12900214133333.3
"MWI",515016133333.333
"MYS",9860293333333.33
"MDV",0
"MLI",9667130666666.67
"MLT",0
"MRT",920809866666.667
"MUS",66718400000
"MEX",991725466666.667
"MNG",0
"MAR",389441733333.333
"MOZ",977705866666.667
"MDA",0
"NAM",0
"NPL",17507065333333.3
"NLD",0
"ANT",0
"NCL",0
"MKD",2.31742e+11
"VUT",0
"NZL",0
"NIC",1481020800000
"NER",477151733333.333
"NGA",28619511200000
"NOR",0
"PAK",37452995066666.7
"PAN",1210022800000
"CZE",0
"PNG",61403066666.6667
"PRY",3020998400000
"PER",10178416266666.7
"PHL",64582223066666.7
"POL",0
"PRT",751204533333.333
"GNB",897823733333.333
"TLS",382648933333.333
"ERI",0
"QAT",0
"ZWE",66452400000
"ROU",284696533333.333
"RWA",477847066666.667
"RUS",3665770266666.67
"KNA",0
"LCA",0
"VCT",0
"STP",0
"SAU",0
"SEN",2741901866666.67
"SYC",0
"SLE",4516712666666.67
"SVN",0
"SVK",0
"SGP",0
"SOM",86125200000
"ZAF",88447333333.3333
"ESP",2870317333333.33
"SUR",1.07863e+12
"TJK",5.03538e+11
"SWZ",90299066666.6667
"SWE",0
"CHE",0
"SYR",0
"TKM",746833733333.333
"TWN",5514670933333.33
"TZA",11668940266666.7
"THA",107061096800000
"TGO",670082933333.333
"TON",0
"TTO",35523600000
"OMN",0
"TUN",0
"TUR",3100800266666.67
"ARE",0
"UGA",1039308666666.67
"TUV",0
"GBR",0
"UKR",359557333333.333
"USA",2.8448924e+13
"BFA",1473233066666.67
"URY",4435801066666.67
"UZB",1554505866666.67
"VEN",1826998133333.33
"VNM",144113132800000
"ETH",594964533333.333
"YEM",0
"COD",6447747600000
"ZMB",186198133333.333
"BEL",0
"LUX",0
"SRB",0
"MNE",0
"SDN",216438133333.333
"SSD",0
"PSE",0
