"iso3","Gdeg_out"
"11",9
"12",19
"19",84
"20",13
"41",24
"42",20
"49",1
"50",76
"61",75
"62",7
"63",20
"64",45
"65",31
"69",40
"81",35
"89",38
"91",10
"92",19
"99",10
"101",1
"109",42
"111",15
"121",19
"122",66
"123",19
"124",53
"129",43
"131",73
"132",17
"139",37
"151",52
"159",2
"160",21
"171",112
"172",58
"179",66
"181",11
"182",8
"183",12
"189",62
"190",106
"201",85
"202",42
"209",92
"211",26
"212",31
"219",62
"221",4
"222",5
"223",17
"229",28
"230",42
"241",13
"242",29
"249",22
"251",104
"259",14
"261",73
"262",51
"269",17
"271",59
"279",90
"280",79
"291",60
"292",9
"299",54
"300",5
"311",80
"319",87
"321",2
"329",3
"331",25
"339",22
"341",67
"342",29
"350",6
"361",25
"362",28
"363",66
"364",3
"369",29
"371",30
"372",26
"373",4
"379",82
"380",15
"391",62
"392",13
"393",10
"394",1
"399",67
"401",11
"402",37
"409",39
"411",24
"419",1
"421",75
"422",18
"423",3
"429",67
"441",21
"451",2
"452",34
"459",44
"460",56
"471",3
"472",52
"473",55
"479",32
"481",3
"482",15
"483",1
"484",59
"485",3
"486",38
"487",2
"488",28
"489",88
"491",12
"499",23
"500",1
"511",58
"512",66
"513",14
"519",65
"531",50
"532",4
"539",23
"540",25
"551",74
"559",93
"560",1
