"","BDI","DJI","ERI","ETH","KEN","RWA","SOM","SSD","TZA","UGA","HTI","MOZ"
"UKR",8906666666.66667,518628646666.667,0,488055620000,600094160000,349440000,87487520000,2266506666.66667,34898300000,15495966666.6667,50960000,63170533333.3333
"USA",0,55837850000,18350000,1183848526666.67,264589690000,0,15990000,0,108487693333.333,0,370714200000,72787506666.6667
"BFA",0,0,0,0,0,0,0,0,0,0,0,0
"URY",0,0,0,0,0,0,0,0,0,0,0,0
"UZB",0,0,0,0,0,0,0,0,0,0,0,0
"VEN",0,0,0,0,0,0,0,0,0,0,0,0
"VNM",0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,2910396666.66667,0,0,3690000,0,3690000,8610000,0,0,0,0
"YEM",0,0,0,2245980000,84870000,0,0,0,0,0,0,0
"COD",12300000,0,0,0,0,0,0,0,0,0,0,0
"ZMB",0,0,0,0,149290000,0,0,0,318220000,35670000,0,36900000
"BEL",224693333.333333,14984666666.6667,4883333.33333333,189690000,102090000,272223333.333333,0,0,14760000,11016666.6666667,3290000,23370000
"LUX",0,0,0,0,0,0,0,0,0,0,0,0
"SRB",0,0,0,0,0,0,2460000,0,0,0,100706666.666667,0
"MNE",0,0,0,0,0,0,0,0,0,0,0,0
"SDN",0,0,0,0,0,0,0,0,0,0,0,0
"SSD",0,0,0,0,0,0,0,0,0,0,0,0
"PSE",0,0,0,0,0,0,0,0,0,0,0,0
