"iso3","Gdeg_in"
"ARM",10
"AFG",9
"ALB",18
"DZA",19
"ATG",8
"ARG",11
"AUS",38
"AUT",29
"BHS",7
"BHR",22
"BRB",12
"BGD",8
"BMU",3
"BTN",1
"BOL",4
"BWA",7
"BRA",21
"ARB",10
"BLZ",4
"SLB",4
"BRN",9
"BGR",28
"MMR",8
"BDI",5
"CMR",13
"CAN",44
"CPV",10
"CAF",8
"LKA",10
"TCD",7
"CHL",19
"CHN",33
"COL",18
"COM",7
"COG",16
"COK",2
"CRI",15
"CUB",14
"CYP",30
"AZE",17
"BEN",21
"DNK",27
"DMA",10
"DOM",14
"BLR",11
"ECU",3
"EGY",13
"SLV",8
"GNQ",17
"EST",25
"FRO",3
"FJI",9
"FIN",22
"FRA",48
"PYF",5
"DJI",13
"GEO",18
"GAB",9
"GMB",18
"DEU",54
"BIH",16
"GHA",33
"KIR",5
"GRC",33
"GRL",4
"GRD",8
"GTM",13
"GIN",18
"GUY",9
"HTI",12
"HND",11
"HKG",30
"HUN",23
"HRV",21
"ISL",12
"IND",28
"IDN",14
"IRN",11
"IRQ",30
"IRL",23
"ISR",22
"ITA",50
"CIV",22
"KAZ",11
"JAM",12
"JPN",21
"JOR",23
"KGZ",10
"KEN",15
"KHM",14
"PRK",5
"KOR",17
"KWT",24
"LVA",22
"LAO",3
"LBN",31
"LSO",4
"LBR",13
"LBY",16
"LTU",26
"MAC",11
"MDG",10
"MWI",6
"MYS",23
"MDV",12
"MLI",19
"MLT",19
"MRT",14
"MUS",12
"MEX",12
"MNG",12
"MAR",18
"MOZ",16
"MDA",19
"NAM",15
"NPL",8
"NLD",46
"ANT",0
"NCL",5
"MKD",9
"VUT",10
"NZL",24
"NIC",13
"NER",13
"NGA",22
"NOR",30
"PAK",22
"PAN",18
"CZE",24
"PNG",8
"PRY",9
"PER",13
"PHL",17
"POL",28
"PRT",24
"GNB",12
"TLS",4
"ERI",6
"QAT",31
"ZWE",14
"ROU",25
"RWA",8
"RUS",31
"KNA",6
"LCA",9
"VCT",5
"STP",7
"SAU",33
"SEN",26
"SYC",12
"SLE",15
"SVN",24
"SVK",19
"SGP",32
"SOM",11
"ZAF",32
"ESP",36
"SUR",5
"TJK",5
"SWZ",8
"SWE",37
"CHE",39
"SYR",16
"TKM",10
"TWN",16
"TZA",11
"THA",23
"TGO",18
"TON",4
"TTO",11
"OMN",13
"TUN",12
"TUR",38
"ARE",46
"UGA",10
"TUV",4
"GBR",59
"UKR",24
"USA",66
"BFA",13
"URY",6
"UZB",5
"VEN",18
"VNM",20
"ETH",11
"YEM",12
"COD",17
"ZMB",13
"BEL",40
"LUX",8
"SRB",24
"MNE",13
"SDN",17
"SSD",4
"PSE",9
