Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,2,Afghanistan,5510,Production,44,Barley,1986,1986,tonnes,231000,,Official data
QC,Crops,2,Afghanistan,5510,Production,44,Barley,1987,1987,tonnes,231000,F,FAO estimate
QC,Crops,2,Afghanistan,5510,Production,44,Barley,1988,1988,tonnes,235000,*,Unofficial figure
QC,Crops,2,Afghanistan,5510,Production,44,Barley,1989,1989,tonnes,231000,*,Unofficial figure
QC,Crops,2,Afghanistan,5510,Production,44,Barley,1990,1990,tonnes,216000,*,Unofficial figure
QC,Crops,2,Afghanistan,5510,Production,44,Barley,1991,1991,tonnes,217000,*,Unofficial figure
QC,Crops,2,Afghanistan,5510,Production,44,Barley,1992,1992,tonnes,200000,*,Unofficial figure
QC,Crops,2,Afghanistan,5510,Production,44,Barley,1993,1993,tonnes,250000,*,Unofficial figure
QC,Crops,2,Afghanistan,5510,Production,44,Barley,1994,1994,tonnes,230000,*,Unofficial figure
QC,Crops,2,Afghanistan,5510,Production,44,Barley,1995,1995,tonnes,200000,*,Unofficial figure
QC,Crops,2,Afghanistan,5510,Production,44,Barley,1996,1996,tonnes,220000,*,Unofficial figure
QC,Crops,2,Afghanistan,5510,Production,44,Barley,1997,1997,tonnes,250000,,Official data
QC,Crops,2,Afghanistan,5510,Production,44,Barley,1998,1998,tonnes,240000,,Official data
QC,Crops,2,Afghanistan,5510,Production,44,Barley,1999,1999,tonnes,216000,,Official data
QC,Crops,2,Afghanistan,5510,Production,44,Barley,2000,2000,tonnes,74000,,Official data
QC,Crops,2,Afghanistan,5510,Production,44,Barley,2001,2001,tonnes,87000,,Official data
QC,Crops,2,Afghanistan,5510,Production,44,Barley,2002,2002,tonnes,345000,,Official data
QC,Crops,2,Afghanistan,5510,Production,44,Barley,2003,2003,tonnes,240000,,Official data
QC,Crops,2,Afghanistan,5510,Production,44,Barley,2004,2004,tonnes,290000,,Official data
QC,Crops,2,Afghanistan,5510,Production,44,Barley,2005,2005,tonnes,337000,,Official data
QC,Crops,2,Afghanistan,5510,Production,44,Barley,2006,2006,tonnes,364000,,Official data
QC,Crops,2,Afghanistan,5510,Production,44,Barley,2007,2007,tonnes,370000,,Official data
QC,Crops,2,Afghanistan,5510,Production,44,Barley,2008,2008,tonnes,333000,,Official data
QC,Crops,2,Afghanistan,5510,Production,44,Barley,2009,2009,tonnes,486000,,Official data
QC,Crops,2,Afghanistan,5510,Production,44,Barley,2010,2010,tonnes,437000,,Official data
QC,Crops,2,Afghanistan,5510,Production,44,Barley,2011,2011,tonnes,305900,,Official data
QC,Crops,2,Afghanistan,5510,Production,56,Maize,1986,1986,tonnes,567000,,Official data
QC,Crops,2,Afghanistan,5510,Production,56,Maize,1987,1987,tonnes,514000,*,Unofficial figure
QC,Crops,2,Afghanistan,5510,Production,56,Maize,1988,1988,tonnes,494000,*,Unofficial figure
QC,Crops,2,Afghanistan,5510,Production,56,Maize,1989,1989,tonnes,458000,*,Unofficial figure
QC,Crops,2,Afghanistan,5510,Production,56,Maize,1990,1990,tonnes,480000,,Official data
QC,Crops,2,Afghanistan,5510,Production,56,Maize,1991,1991,tonnes,420000,,Official data
