"FAO" "iso3" "name"
"164" 160 "NIU" "Niue"
"165" 161 "NFK" "Norfolk Island"
"166" 163 "MNP" "Northern Mariana Islands"
"167" 162 "NOR" "Norway"
"168" 299 "PSE" "Occupied Palestinian Territory"
"169" 221 "OMN" "Oman"
"170" 164 "MNP" "Pacific Islands Trust Territory"
"171" 165 "PAK" "Pakistan"
"172" 180 "PLW" "Palau"
"173" 166 "PAN" "Panama"
"174" 168 "PNG" "Papua New Guinea"
"175" 169 "PRY" "Paraguay"
"176" 170 "PER" "Peru"
"177" 171 "PHL" "Philippines"
"178" 172 "PCN" "Pitcairn Islands"
"179" 173 "POL" "Poland"
"180" 174 "PRT" "Portugal"
"181" 177 "PRI" "Puerto Rico"
"182" 179 "QAT" "Qatar"
"183" 117 "KOR" "Republic of Korea"
"184" 146 "MDA" "Republic of Moldova"
"185" 182 "REU" "Reunion"
"186" 183 "ROU" "Romania"
"187" 185 "RUS" "Russian Federation"
"188" 184 "RWA" "Rwanda"
"189" 187 "SHN" "Saint Helena"
"190" 188 "KNA" "Saint Kitts and Nevis"
"191" 189 "LCA" "Saint Lucia"
"192" 190 "SPM" "Saint Pierre and Miquelon"
"193" 191 "VCT" "Saint Vincent and the Grenadines"
"194" 244 "WSM" "Samoa"
"195" 192 "SMR" "San Marino"
"196" 193 "STP" "Sao Tome and Principe"
"197" 194 "SAU" "Saudi Arabia"
"198" 195 "SEN" "Senegal"
"199" 272 "SRB" "Serbia"
"200" 186 "SRB" "Serbia and Montenegro"
"201" 196 "SYC" "Seychelles"
"202" 197 "SLE" "Sierra Leone"
"203" 200 "SGP" "Singapore"
"204" 199 "SVK" "Slovakia"
"205" 198 "SVN" "Slovenia"
"206" 25 "SLB" "Solomon Islands"
"207" 201 "SOM" "Somalia"
"208" 202 "ZAF" "South Africa"
"209" 203 "ESP" "Spain"
"210" 38 "LKA" "Sri Lanka"
"211" 206 "SDN" "Sudan"
"212" 207 "SUR" "Suriname"
"213" 260 "SJM" "Svalbard and Jan Mayen Islands"
"214" 209 "SWZ" "Swaziland"
"215" 210 "SWE" "Sweden"
"216" 211 "CHE" "Switzerland"
"217" 212 "SYR" "Syrian Arab Republic"
"218" 208 "TJK" "Tajikistan"
"219" 216 "THA" "Thailand"
"220" 154 "MKD" "The former Yugoslav Republic of Macedonia"
"221" 176 "TLS" "Timor-Leste"
"222" 217 "TGO" "Togo"
"223" 218 "TKL" "Tokelau"
"224" 219 "TON" "Tonga"
"225" 220 "TTO" "Trinidad and Tobago"
"226" 222 "TUN" "Tunisia"
"227" 223 "TUR" "Turkey"
"228" 213 "TKM" "Turkmenistan"
"229" 224 NA "Turks and Caicos"
"230" 227 "TUV" "Tuvalu"
"231" 226 "UGA" "Uganda"
"232" 230 "UKR" "Ukraine"
"233" 225 "ARE" "United Arab Emirates"
"234" 229 "GBR" "United Kingdom"
"235" 215 "TZA" "United Republic of Tanzania"
"236" 231 "USA" "United States of America"
"237" 240 "VIR" "United States Virgin Islands"
"238" 234 "URY" "Uruguay"
"239" 232 "UMI" "US Minor Is."
"240" 228 "RUS" "USSR"
"241" 235 "UZB" "Uzbekistan"
"242" 155 "VUT" "Vanuatu"
"243" 236 "VEN" "Venezuela (Bolivarian Republic of)"
"244" 237 "VNM" "Viet Nam"
"245" 242 NA "Wake Island"
"246" 243 "WLF" "Wallis and Futuna Islands"
"247" 245 "PSE" "West Bank"
"248" 205 "ESH" "Western Sahara"
"249" 249 "YEM" "Yemen"
"250" 246 "YEM" "Yemen Ar Rp"
"251" 247 "YEM" "Yemen Dem"
"252" 248 "SVK" "Yugoslav SFR"
"253" 251 "ZMB" "Zambia"
"254" 181 "ZWE" "Zimbabwe"
