"","year_1","year_2","year_3","year_4","year_5","year_6","year_7","year_8","year_9","year_10","year_11","year_12","year_13","year_14","year_15"
"ECU",-1.271,7.515,3.537,8.421,-0.122,3.053,0.378,6.71,5.72,7.808,-0.14,-5.399,3.362,8.596,13.76
"EGY",7.165,10.418,6.956,7.721,2.843,11.605,8.802,6.016,7.467,7.911,3.782,5.816,7.557,5.51,2.903
"SLV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EST",-16.802,-20.644,-25.421,-22.776,-21.449,-25.124,-12.862,-19.162,-12.476,-15.077,-15.999,-10.822,-7.631,-6.848,-5.438
"ETH",-5.891,-2.313,0.217,-1.309,-7.301,-3.272,-3.551,-2.995,-4.351,-5.906,-1.546,-9.468,-2.987,-3.995,-0.6
"FRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FJI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIN",-13.22,-30.364,-38.212,-24.974,-27.802,-38.905,-9.602,-16.928,-21.945,-28.429,-7.415,-10.722,-5.238,-4.485,-0.874
"FRA",-4.687,-0.964,-6.763,-6.371,-9.915,-1.048,-2.556,-3.644,-3.041,-12.288,-13.326,-5.845,-3.075,-2.864,1.256
"PYF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GMB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GEO",-12.773,-6.744,-8.026,-7.782,-7.449,-11.239,-7.279,-2.746,-10.778,-4.08,-7.267,-5.865,-3.038,-6.124,1.553
"DEU",-10.488,-11.416,-8.584,-12.737,-12.028,-3.736,-9.807,-10.905,-8.405,-13.6,-18.005,-8.604,6.174,-0.845,1.356
"GHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRC",6.257,-5.508,-10.699,-12.034,0.753,-8.776,-7.278,-0.198,-10.084,-1.621,4.731,-3.774,-0.085,-0.398,0.922
"GRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTM",-3.865,-8.467,-0.424,-1.757,-0.798,-2.197,-5.977,-6.256,2.262,5.351,-2.106,-7.712,-0.994,4.968,-6.923
"GIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HKG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUN",-13.695,-9.738,-13.348,-17.855,-8.592,-13.36,-18.449,-6.217,-22.124,-10.599,-8.33,-9.313,-2.512,-6.32,1.095
"ISL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IND",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"IDN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRN",-4.783,-12.163,-9.213,-13.403,-6.315,-4.865,-4.57,-8.471,-12.965,-9.563,-6.352,-11.568,-7.885,-5.274,-7.487
"IRL",-5.721,-4.318,-4.694,-12.348,-10.165,-5.255,-5.158,-8.263,-8.428,-5.323,-5.476,-3.864,-4.301,-0.464,-1.207
"ISR",13.142,5.472,4.494,14.19,0.883,5.809,-1.793,-8.001,-0.75,1.203,-17.553,6.5,3.926,-3.735,1.776
"ITA",2.459,-3.487,-4.23,-11.883,3.831,-3.945,-3.648,0.431,-8.493,-6.406,-0.254,-1.119,4.484,-2.645,3.67
"JAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JPN",-11.34,-15.823,-17.541,-16.424,-10.258,-14.907,-15.883,-7.822,-10.118,-12.952,-11.707,-5.764,2.866,0.016,-3.215
"JOR",0.949,-8.861,1.099,-2.305,3.197,-5.234,-8.237,-10.831,-4.349,-4.466,-7.61,-1.543,-4.731,-2.117,-1.001
"KAZ",-31.586,-34.487,-30.087,-23.835,-40.759,-25.905,-12.685,-20.75,-11.6,-16.043,-28.769,-19.967,-19.615,-25.788,-19.366
"KEN",-11.198,-5.584,-7.063,2.742,-6.991,-1.471,-11.188,-5.589,-7.382,-6.811,-18.665,-5.142,-10.321,-5.814,-8.234
"KIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KWT",2.864,6.426,4.339,2.025,0.286,4.901,5.336,5.112,5.619,6.088,1.68,3.037,5.024,3.922,2.227
"KGZ",-16.357,-26.582,-23.225,-19.076,-12.225,-11.744,-15.611,-9.29,-12.194,-5.587,-11.062,-13.839,-6.713,-7.724,-3.096
"LVA",-20.272,-31.378,-41.029,-41.485,-39.678,-34.447,-17.022,-31.088,-12.97,-20.44,-13.988,1.251,24.749,24.286,22.065
"LBN",-5.865,-24.662,-4.722,-8.621,-5.213,-17.145,-13.506,-9.353,-18.842,-11.949,-10.404,-3.909,-4.622,-4.491,-6.664
"LBY",-3.578,-0.378,-4.031,4.105,-0.533,1.311,-7.422,-7.014,-5.435,-1.161,1.504,-0.895,-7.998,-0.127,0.127
"LTU",-24.44,-36.586,-41.552,-41.891,-38.036,-29.467,-15.639,-27.223,-14.152,-22.283,-12.717,-3.847,24.658,20.251,18.69
"LUX",-7.07,-6.561,-4.356,-7.846,-7.728,-1.404,-5.8,-6.809,-5.306,-12.639,-7.394,-8.256,-2.288,0.344,2.735
"MAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MWI",-2.068,5.984,3.369,0.962,-0.353,13.391,4.126,4.932,-4.624,0.292,0.407,3.099,0.774,11.445,2.07
"MYS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MDV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MLI",5.445,-1.5,2.009,1.29,0.754,4.569,2.205,2.525,5.552,1.871,-1.222,1.829,9.291,-0.197,-0.466
"MLT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MRT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEX",5.443,6.614,5.715,7.936,7.769,2.703,3.227,1.901,5.412,2.99,5.372,8.266,3.378,0.508,5.434
"MNG",-18.839,-20.138,-14.787,-16.097,-11.529,-14.786,-12.148,-12.238,-10.268,-10.116,-7.924,0.427,3.872,-2.492,1.802
"MNE",-1.234,-7.774,-9.877,-11.577,0.77,-3.429,0.909,-5.937,-0.458,-6.027,-2.215,-0.472,7.743,-0.501,2.646
"MAR",-7.726,-5.699,-5.862,-5.915,-3.457,-4.686,-2.795,-0.391,-9.717,-8.387,-5.593,-32.59,-20.195,-2.496,-10.467
"MOZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MMR",-2.053,-2.939,0.957,-1.537,2.179,1.895,-1.629,-0.851,0.288,0.411,-1.871,-2.432,-3.588,-0.213,1.684
"NAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NPL",3.837,15.226,12.789,12.807,5.547,7.454,9.674,10.303,6.149,6.57,0.845,3.323,3.066,3.191,11.477
"NLD",-8.219,-4.769,-3.401,-7.385,-9.055,-5.092,-8.51,-6.605,-3.157,-9.209,-7.289,-6.776,-3.078,-6.095,2.185
"ANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NZL",-7.559,-2.358,-3.071,-3.794,-4.531,-2.611,-2.586,-2.59,-5.607,-1.691,-0.535,-1.846,-7.29,-5.548,-0.916
"NIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NER",13.82,8.579,11.863,4.671,6.844,11.062,4.722,0.496,2.927,2.474,-0.977,-1.516,7.536,4.346,3.084
"NGA",6.417,7.191,4.785,2.775,2.447,7.778,3.155,0.652,-0.412,-1.28,2.309,-5.009,5.71,1.276,0.113
"NOR",-9.397,-19.501,-21.429,-24.043,-20.593,-15.645,-9.944,-14.875,-10.842,-17.121,-25.314,-14.745,-2.408,-4.366,-7.762
"OMN",-1.121,3.13,1.669,0.214,0.133,-2.613,2.895,3.687,-0.312,4.419,0.848,0.811,-1.388,-0.486,2.293
"PAK",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"PAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PNG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRY",0.399,2.42,-3.198,-4.512,4.459,1.215,2.068,-6.239,-0.546,4.518,-0.007,0.035,1.963,-0.011,-5.837
"PER",-5.199,-6.139,-4.335,-6.794,-1.818,-5.831,-2.49,-7.004,-4.43,-1.724,-1.25,-3.822,-3.373,-3.275,-0.82
"PHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL",-14.049,-15.638,-11.569,-13.98,-13.29,-7.331,-15.125,-14.793,-14.806,-12.688,-19.698,-9.609,7.968,-5.363,1.172
"PRT",-6.581,-1.691,-11.79,-9.771,-3.858,-2.107,-5.266,-2.938,-3.526,-5.22,-11.41,-11.037,1.373,-1.9,-7.352
"QAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOR",-14.528,-28.203,-26.343,-19.221,-13.887,-18.06,-19.629,-10.745,-7.97,-19.985,-10.508,-13.82,-12.532,-10.173,-10.186
"MDA",-42.885,-43.516,-38.297,-42.149,-40.342,-33.998,-34.14,-5.88,-48.143,-15.801,-17.726,-7,9.783,-4.401,9.235
"ROU",-8.798,-9.497,-12.041,-12.283,-8.889,-9.072,-21.871,-3.178,-23.51,-6.368,-8.008,-7.044,-1.371,-8.186,3.701
"RUS",-26.204,-21.393,-19.913,-27.611,-28.922,-22.97,-30.767,-20.521,-26.045,-12.381,-29.016,-16.282,-12.248,-20.002,-0.49
"RWA",-0.248,-0.737,-6.388,-7.59,0.406,-2.689,-2.006,-5.164,0.848,6.882,-3.326,-5.505,-0.976,-4.498,-6.937
"KNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAU",7.871,4.391,6.14,0.475,0.205,2.204,4.426,5.592,4.241,4.831,2.03,2.622,5.789,3.072,1.762
"SEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRB",-4.026,-5.908,-11.593,-11.799,-1.979,-7.049,-11.614,-4.462,-11.267,-6.096,-2.943,-3.071,3.724,-5.06,2.85
"SYC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SGP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVK",-12.154,-13.015,-10.851,-14.846,-6.122,-9.383,-13.517,-5.392,-17.123,-9.217,-7.986,-7.627,2.729,-6.182,2.785
"SVN",-6.523,-7.705,-9.111,-11.842,-3.589,-1.316,-7.632,-5.596,-6.341,-8.21,-10.002,-5.878,8.314,-1.474,3.694
"SLB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZAF",7.02,6.875,-3.462,11.781,5.331,7.772,-13.323,3.466,-1.923,8.582,6.516,-2.769,1.151,9,1.654
"ESP",4.546,2.371,-1.437,-3.246,-5.862,-3.355,-0.959,4.251,-4.062,-11.791,-3.176,-14.936,-10.156,2.525,2.561
"LKA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SDN",8.484,5.886,7.653,2.326,-0.87,6.466,6.578,7.899,6.905,9.247,-1.701,7.333,8.828,5.739,5.234
"SUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWE",-15.236,-17.746,-17.281,-16.392,-20.19,-19.416,-14.162,-23.995,-11.356,-20.887,-20.078,-11.567,-2.441,-6.295,-6.539
"CHE",-9.937,-10.79,-10.397,-13.331,-9.427,-3.989,-7.659,-9.885,-6.981,-7.936,-8.018,-7.776,2.176,0.81,-0.787
"SYR",-1.421,-15.645,-0.105,-7.349,-0.938,-9.214,-8.651,-7.948,-6.565,-6.184,-8.498,-4.031,-5.936,-0.491,-3.328
"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THA",-17.007,-18.531,-15.459,-9.443,-16.275,-8.387,-22.814,-17.328,-10.03,-1.638,-8.068,-16.619,-4.118,-4.39,-9.809
"MKD",3.18,-10.231,-10.544,-16.099,2.21,-7.625,-7.966,-1.51,-9.142,0.403,2.648,-0.182,3.849,-0.2,2.099
"TGO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TUN",-3.45,-6.299,-5.936,-7.907,-4.161,-6.364,-6.727,-6.844,-7.561,-9.707,-4.429,-4.309,-5.926,-1.79,-3.075
