"State","Laborers"
"Alabama",3370
"Arizona",560
"Arkansas",1160
"California",4980
"Colorado",1790
"Connecticut",50
"Delaware",230
"Florida",220
"Georgia",5550
"Hawaii",70
"Idaho",350
"Illinois",3990
"Indiana",1030
"Iowa",5010
"Kansas",1880
"Kentucky",910
"Louisiana",1010
"Maryland",0
"Massachusetts",0
"Michigan",1610
"Minnesota",5220
"Mississippi",1580
"Missouri",500
"Montana",40
"Nebraska",1850
"Nevada",0
"NewJersey",790
"NewMexico",60
"NewYork",590
"NorthCarolina",5910
"NorthDakota",0
"Ohio",4110
"Oklahoma",640
"Oregon",360
"Pennsylvania",2510
"PuertoRico",230
"SouthCarolina",560
"SouthDakota",960
"Tennessee",1050
"Texas",6020
"Utah",800
"Vermont",130
"Virginia",1060
"Washington",1200
"WestVirginia",0
"Wisconsin",2640
