"","AFG","ALB","DZA","AGO","ARG","ARM","AUS","AUT","AZE","BHR","BGD","BLR","BEL","BEN","BTN","BOL","BIH","BWA","BRA","BGR","BFA","BDI","KHM","CMR","CAN","CPV","CAF","TCD","CHL","CHN","COL","COM","COG","CRI","CIV","HRV","CUB","CYP","CZE","PRK","COD","DNK","DJI","DOM","ECU","EGY","SLV","GNQ","ERI","EST","ETH","FJI","FIN","FRA","GAB","GMB","GEO","DEU","GHA","GRC","GTM","GIN","GNB","GUY","HTI","HND","HUN","IND","IDN","IRN","IRQ","IRL","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LTU","LUX","MDG","MWI","MYS","MLI","MRT","MUS","MEX","MNG","MNE","MAR","MOZ","MMR","NAM","NPL","NLD","NZL","NIC","NER","NGA","NOR","PSE","OMN","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","KOR","MDA","ROU","RUS","RWA","SAU","SEN","SRB","SRB","SLE","SGP","SVK","SVN","SLB","SOM","ZAF","ESP","LKA","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","MKD","TLS","TGO","TTO","TUN","TUR","TKM","UGA","UKR","ARE","GBR","TZA","USA","URY","UZB","VEN","VNM","YEM","ZMB","ZWE"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25466666.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242566666.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9706666.66666667,0,0,0,0,57496666.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,6960000,0,0,0,0,0,0,0,0,0,0,9840000,90280000,79700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25943333.3333333,0,0,0,0,0,2430000,0,0,0,0,0,0,0,0,0,0,0,0,0,2426666.66666667,0,0,4920000,0,0,0,0,0,0,0,0,0,249373333.333333,0,0,0,0,0,17220000,12133333.3333333,0,0,0,0,7853333.33333333,0,0,0,0,0,1230000,0,90530000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2460000,0,0,0,0,0,0,0,0,2426666.66666667,5810000,0,0,0,0,0,0,0,0,0,0,0,0,0,24183446666.6667,0,0,0,0,12300000,6576666.66666667,0,0,0,0,0,0,0,22140000,0
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,6329770000,3689182666666.67,329223700000,0,28480000,151930000,82710000,0,39721390000,528726313333.333,78653333.3333333,228100593333.333,1490886666.66667,0,899436730000,18247926666.6667,2460000,21206259566666.7,1604280000,62833333.3333333,0,0,19430480000,2303233333.33333,42952876666.6667,0,0,5467058566666.67,210955683333.333,1734915370000,0,272374876666.667,2630630000,28991803333.3333,40216790000,529904823333.333,59053560000,152593333.333333,0,425046446666.667,808100000,45540000,38137106666.6667,532234666666.667,4309084893333.33,22786390000,51040000,31203853333.3333,121570000,0,1230000,0,3860220000,735670000,8182680000,69544943333.3333,5527086666.66667,18450000,18085043333.3333,1858006666.66667,526500000,0,263726666.666667,61253326666.6667,9058456666.66667,27293333.3333333,174095330000,1998449583333.33,42720000,234392413333.333,1511813333.33333,986557630000,45986130000,683363333.333333,418739993333.333,364430643333.333,0,804397720000,541564883333.333,0,0,8548950000,38171563333.3333,0,2995266666.66667,616503620000,648383333.333333,0,7440000,52541540000,5504268920000,4314166666.66667,40352446666.6667,312287663333.333,24402856666.6667,8610000,0,1986056896666.67,736138136666.667,0,1476400000,5120000,470750086666.667,14760000,3391570000,8361816666.66667,451800386666.667,29203056666.6667,0,425910520000,397063333.333333,9381146666.66667,0,80984770000,5204510053333.33,263693846666.667,2120573333.33333,1324275480000,233816666.666667,539039003333.333,0,8012390000,4795186666.66667,3.34e+09,3663362646666.67,426040573333.333,112733333.333333,10600883333.3333,16779683333.3333,298110000,0,262253333.333333,0,0,2455960293333.33,2732601410000,785473813333.333,164350180000,1526186666.66667,0,396556666.666667,2035276666.66667,541665413333.333,0,1072896666.66667,96263333.3333333,0,1252020000,3848950000,552731436666.667,371498553333.333,0,28968933333.3333,1974346666.66667,1310927946666.67,467309096666.667,5.67849e+11,161689513333.333,533635293333.333,0,173834140000,529774383333.333,1039851023333.33,0,0
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446283333.333333,0,0,0,0,0,0,0,0,0,0,0,0,3340000,0,0,0,0,0,0,0,0,0,0,0,0,0,1230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4886666.66666667,0,0,52190000,0,0,0,0,0,0,0
"AUS",0,0,46200000,0,98560000,0,0,0,0,19454560000,463315186666.667,0,3433796666.66667,0,0,0,0,4533333.33333333,1674453333.33333,87126666.6666667,0,0,100105303333.333,0,864893333.333333,0,0,0,13948986666.6667,7213838506666.67,2.905e+10,0,0,0,1296666.66666667,0,0,2508083333.33333,0,30693486666.6667,0,25290000,0,0,42645400000,5087769146666.67,0,0,0,0,30125686666.6667,461596866666.667,2490000,196453333.333333,0,38960000,0,290343333.333333,0,1310000,332300000,0,0,0,0,0,11743333.3333333,1543210673333.33,9947644173333.33,655894180000,3808755640000,28356666.6666667,457536666.666667,1306850510000,24383333.3333333,6124960793333.33,41709710000,0,0,1262105250000,0,0,0,167341293333.333,0,0,544133333.333333,0,0,0,4526533333.33333,2832813773333.33,25480000,53440000,266900006666.667,0,723666666.666667,0,162232706666.667,26364900000,301553470000,6150000,780466666.666667,2433500000,1359978576666.67,0,0,71253333333.3333,86456666.6666667,0,326487050000,1051269883333.33,370820000,532761533333.333,0,1.8011e+10,838732153333.333,8913333.33333333,2135800000,196135693333.333,4171486133333.33,0,325366666.666667,5795096666.66667,0,4780144820000,0,0,1296666.66666667,0,370763686666.667,0,3690000,30294863333.3333,0,504626330000,54400520000,273716146666.667,2933186393333.33,0,0,279673333.333333,1565480000,44136666.6666667,0,1828675486666.67,0,40476666.6666667,0,590333333.333333,0,343011183333.333,0,0,14720000,1663655666666.67,44211993333.3333,142369726666.667,9792820000,4746666.66666667,0,0,2455308350000,1411946033333.33,0,9103333.33333333
"AUT",3690000,4721746666.66667,231435280000,0,17220000,238896666.666667,233463333.333333,0,13775846666.6667,14200493333.3333,0,322090000,12159896666.6667,0,0,0,31037426666.6667,0,27013333.3333333,28577926666.6667,0,0,0,0,918113333.333333,0,0,0,30853333.3333333,1977250000,2460000,0,0,0,0,98499220000,44160000,85283333.3333333,60653923333.3333,0,0,29993170000,0,23370000,0,1936086666.66667,2460000,0,0,693980000,0,0,2509736666.66667,80490083333.3333,0,8670000,488373333.333333,681479020000,0,7542896666.66667,4920000,0,0,0,9076666.66666667,0,120418553333.333,1310000,0,3686666.66666667,0,4572310000,54438743333.3333,2617886763333.33,0,1807516666.66667,518800000,219766666.666667,2460000,145440000,52746666.6666667,0,1175323333.33333,174830000,0,2453333.33333333,18476086666.6667,861166666.666667,97756666.6666667,0,0,24110000,0,0,0,41820000,24590000,23503333.3333333,8636666.66666667,0,0,0,0,42395553333.3333,2460000,0,0,0,3178243333.33333,0,24573186666.6667,9493333.33333333,2460000,0,0,15990000,11580000,46224080000,2651256666.66667,0,239666666.666667,85046666.6666667,33646206666.6667,32147216666.6667,0,18450000,0,15728090000,14286186666.6667,0,161290000,18243933333.3333,147145156666.667,0,0,476866666.666667,4204383333.33333,13490000,0,0,0,3691993333.33333,94525253333.3333,31016666.6666667,0,12620000,19781013333.3333,0,0,19680000,13820053333.3333,586183333.333333,259573333.333333,0,15790803333.3333,35854576666.6667,22468736666.6667,0,8033500000,18450000,136316666.666667,1230000,122673333.333333,12814466666.6667,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25849273333.3333,0,0,0,0,0,0,0,0,0,0,0,0,1275260000,0,0,0,0,0,0,0,232470000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11070000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34406666.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400000,0,51600000,0,0,0,0,0,0,0,0,0,74560000,0,0,0,1296666.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310000,209710000,0,0,0,0,0,0,0,1095446666.66667,0,0,0,0,0,10828143333.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3690000,0,0,0,0,0,0,0,0,0,0,0,229040000,0,0,3670000,0,0,0,0,0,0,0
