"country","dP","P0","R0","dR","dC"
"LBY",0,740140733333.333,147093333333.333,-147093333333.333,-31545194.0386058
"LTU",0,8.386608e+12,641663584015.087,-57545876487.4533,0
"LUX",0,559055253333.333,41736127299.6265,-10663780876.0076,0
"MDG",0,10645478760000,0,0,-42339605.2212258
"MWI",0,6835814630000,341166666666.667,-111105834164.005,0
"MYS",0,6583373333333.33,1768113333333.33,-967149334687.858,0
"MLI",0,10834375083333.3,50433333333.3333,-50433333333.3333,-45066212.7218597
"MRT",0,471622373333.333,0,0,-6023052.09348984
"MUS",0,1537920000,0,0,-276534.779954199
"MEX",0,109175850320000,8.141365e+12,-8.141365e+12,-43503606540033.4
"MNG",0,397266003333.333,0,0,-11741184.4676804
"MNE",0,16682240000,0,0,-13386.5150426952
"MAR",0,24610395763333.3,6308641666666.67,-3987779409891,0
"MOZ",0,4889845376666.67,270293333333.333,-270293333333.333,-79810783.951199
"MMR",0,8.165078e+13,1259413333333.33,-7845614826.46259,0
"NAM",0,508179426666.667,3.56e+09,-3.56e+09,-39464703677.0028
"NPL",0,23875048553333.3,9.612e+10,-19194891366.4198,0
"NLD",0,5745876080000,428171524910.795,-428171524910.795,-250586082.817125
"NZL",0,2756416233333.33,439843333333.333,-136192937243.139,0
"NIC",0,2915084753333.33,347868333333.333,-347868333333.333,-861389217375.026
"NER",0,11751228786666.7,1.42345e+11,-56836716938.9382,0
"NGA",0,88853346666666.7,1.97319e+12,-1.97319e+12,-1083998937108.6
"NOR",0,4494703436666.67,848101666666.667,-74726577628.8793,0
"PSE",0,207080243333.333,0,0,-6075.56832124665
"OMN",0,118177826666.667,4.66e+10,-4.66e+10,-7369015.41598478
"PAK",0,104186570333333,7583426666666.67,-1761416364368.67,0
"PAN",0,1143271376666.67,198146666666.667,-198146666666.667,-1118366923333.33
"PNG",0,39704286666.6667,3.006e+10,-3.006e+10,-7193619.90443391
"PRY",0,7051810040000,1.79137e+12,-44722272416.2074,0
"PER",0,12027624480000,1273556666666.67,-1273556666666.67,-114942880.105684
"PHL",0,61340317196666.7,10504776666666.7,-5845407680907.71,0
"POL",0,87662383046666.7,6640587867351.49,-218546112217.89,0
"PRT",0,3861677256666.67,285765939982.55,-285765939982.55,-9166413.1000914
"QAT",0,21707113333.3333,0,0,-3412542.43306118
"KOR",0,19082774306666.7,5365446666666.67,-5365446666666.67,-265966288.763814
"MDA",0,9173089570000,1182663333333.33,-819882682293.743,0
"ROU",0,68896523193333.3,5243663689468.89,-731956198762.491,0
"RUS",0,256654574606667,12876036666666.7,-5107710638456.69,0
"RWA",0,1235227103333.33,0,0,-1421978.18749203
"SAU",0,10327443083333.3,8.192825e+12,-2377254905929.09,0
"SEN",0,3860034986666.67,6.1341e+11,-153832258938.289,0
"SRB",0,9821187580000,777186666666.667,-4909841030.31276,0
"SRB",0,22661777586666.7,1.53805e+12,-2084332201.3977,0
"SLE",0,2482763983333.33,0,0,-5804219.30150642
"SGP",0,0,0,0,-5096580.29153275
"SVK",0,11676937886666.7,882452088167.801,-86044070089.2517,0
"SVN",0,1925080356666.67,144814743865.731,-19854476192.14,0
"SLB",0,8166666666.66667,0,0,-400483.955233744
"SOM",0,1135140666666.67,0,3.72529029846191e-09,0
"ZAF",0,41811894746666.7,4539068333333.33,-1572671411628.53,0
"ESP",0,65474999390000,4884935349049.42,-2062439844284.24,0
"LKA",0,8770088300000,785646666666.667,-232625706246.425,0
"SDN",0,17726076666666.7,1098853333333.33,-1098853333333.33,-112357365.394286
"SUR",0,486546480000,0,0,0
"SWZ",0,252222123333.333,0,0,-898872.588446145
"SWE",0,16679859666666.7,1262238534174.33,-1262238534174.33,-14074904.7960979
"CHE",0,3551834666666.67,6.1702e+11,-360797580489.435,0
"SYR",0,19190532553333.3,9472393333333.33,-4734259695968.09,0
"TJK",0,2957225143333.33,112446666666.667,-71288667173.8365,0
"THA",0,98928099663333.3,6452536666666.67,-6452536666666.67,-202999360.479713
"MKD",0,2170018336666.67,1.4574e+11,-1259158218.33079,0
"TLS",0,487520506666.667,0,0,-4453188.59846355
"TGO",0,2900055530000,51026666666.6667,-51026666666.6667,-1558153.88211107
"TTO",0,15739200000,55486666666.6667,-55486666666.6667,-576221842391.012
"TUN",0,6615297466666.67,1547396666666.67,-1547396666666.67,-10019437.924511
"TUR",0,117555089046667,6.099205e+12,-3071056761669.49,0
"TKM",0,10300413333333.3,1297126666666.67,-20959404.4396997,0
"UGA",0,8454954413333.33,43048333333.3333,-43048333333.3333,-31474059.8543944
"UKR",0,1.26101288e+14,7.54637e+12,-3846021836270.23,0
"ARE",0,7807880000,0,0,-14037947.4141881
"GBR",0,71280920460000,5311863939562.99,-2120946992428.79,0
"TZA",0,20150753643333.3,6.1054e+11,-507607342035.491,0
"USA",-510522472104000,1276306180260000,114659786666667,-114659786666667,-54697140071653.1
"URY",0,7681341953333.33,1.160515e+12,-505268696721.342,0
"UZB",0,21276031560000,1397163333333.33,-8240681605.01075,0
"VEN",0,12547847113333.3,8.69775e+11,-8.69775e+11,-981375093333.333
"VNM",0,113786889800000,3437266666666.67,-347345440103.122,0
"YEM",0,2118345653333.33,95176666666.6667,-95176666666.6667,-12400704.9301991
"ZMB",0,4764277596666.67,244453333333.333,-148400591631.742,0
"ZWE",0,8185633306666.67,1.001e+11,-1.001e+11,-97743297.7102576
