"","AFG","ALB","DZA","AGO","ARG","ARM","AUS","AUT","AZE","BHR","BGD","BLR","BEL","BEN","BTN","BOL","BIH","BWA","BRA","BGR","BFA","BDI","KHM","CMR","CAN","CPV","CAF","TCD","CHL","CHN","COL","COM","COG","CRI","CIV","HRV","CUB","CYP","CZE","PRK","COD","DNK","DJI","DOM","ECU","EGY","SLV","GNQ","ERI","EST","ETH","FJI","FIN","FRA","GAB","GMB","GEO","DEU","GHA","GRC","GTM","GIN","GNB","GUY","HTI","HND","HUN","IND","IDN","IRN","IRQ","IRL","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LTU","LUX","MDG","MWI","MYS","MLI","MRT","MUS","MEX","MNG","MNE","MAR","MOZ","MMR","NAM","NPL","NLD","NZL","NIC","NER","NGA","NOR","PSE","OMN","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","KOR","MDA","ROU","RUS","RWA","SAU","SEN","SRB","SRB","SLE","SGP","SVK","SVN","SLB","SOM","ZAF","ESP","LKA","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","MKD","TLS","TGO","TTO","TUN","TUR","TKM","UGA","UKR","ARE","GBR","TZA","USA","URY","UZB","VEN","VNM","YEM","ZMB","ZWE"
"BGD",0,0,0,0,0,0,0,0,0,7921921.01564589,0,0,32996286.6175605,0,218890.028490135,0,0,0,0,0,0,0,0,0,29534070.4428865,0,0,0,0,0,0,0,0,0,0,0,0,27650.8000861978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121410726.60111,0,95656590.2917003,0,0,0,13328945.995129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4489162.67624722,0,0,712484.989772363,0,0,0,0,0,5882970.03683928,91251425.7377737,0,0,0,0,0,0,0,0,0,403209158.754001,0,0,0,0,0,0,0,0,0,0,1484850.1290176,0,0,0,283097.051615326,0,0,0,0,0,0,0,0,0,159674601.755104,0,0,7727756074.99841,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2408328.00496119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43198345.2636406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174576484.68982,0,0,0,0,0,0,0
"BEL",31850750.6566878,-2182816.70755861,-5105927446.42351,1483215007.67073,-1165470.48006143,-39353374.1304064,-508523857.696579,-1800071137.10391,-39064199.3718187,-5611680.89402941,-409532858.280174,-9373704.49106947,0,-387974768.802847,-4272019.15503952,0,-31823370.9377299,-45606990.4972619,-29085018960.3392,-34808916.4027379,1555731114.18796,14080515704.6646,-398320121.163428,-10072001830.638,154489311.316022,3010336694.05084,1065057126.61711,7732982650.83858,-785227884.08273,-9240021857.96798,53263182004.2167,-264281961.560791,-384395724.239118,16410562814.8648,-2839605868.32547,-263256975.68703,766521711.45346,-74428075.4286511,-855623970.482624,116573426.661336,15538503714.7332,-1407524324.91722,25432404424.2205,5283145208.03164,9745805589.81868,7152455942.06492,9590021286.71215,-171457344.734768,11571199572.3869,-72556691.5433146,41143965765.778,-74155499.7364652,-2056428238.94012,-68391043129.1007,-1692282367.35938,-716322892.196355,-102507783.246627,-56416464075.8114,9534515669.58329,-2374862276.81945,20330915652.6956,701054401.516137,-173477692.486643,-34959728.6789877,4060319683.42982,11999839481.2737,-738376197.144149,-21261418.5027376,-4592638147.15733,-141237252.932135,573996603.933695,-1272795626.17727,2934653017.61378,-5281438557.57004,22881502943.7093,121363688497.385,114863316.053751,-386888239.378849,-328427402.567377,-139039714.185313,-2741076.78455818,-574575531.920978,-151310833.905951,5039035158.94694,544116246.170733,2971396530.14502,-2686359789.15658,-46599720.0867971,-3413235215.90915,1075611405.99708,-142646343.243062,-856799768.632635,-189423897.317894,1215692808.10402,-70147046.1442219,3809965560.75686,3272749.95767837,-7588715.28896519,-9207896862.47775,382876533.479442,-41650219.6322027,30628973648.5583,-159017.822237078,-210232421744.906,-359985649.484758,28595517867.5022,-1271808697.0599,102020816454.241,-1826522421.9687,18136825.6265853,-25369967.7132422,-52584958.5098948,27810742661.3541,57297299.167227,0,7350044709.23723,-10418701710.8448,-962975147.985733,-478633175.788725,-30986151.1952938,20366334699.4196,-867099.850970687,-88246261.3707986,-8449729595.78683,8224561017.84664,-1736832125.97906,-252244991.497112,-5227074.26885527,-17682244.228026,6467224241.11743,2940685896.81039,-37937917.4475933,-55116227.972053,-16489159.2383361,0,-672332869.940668,-2597217435.2583,-466995023.555016,-1058395592.63801,133647166.599583,1785077.72768241,-6038696847.83046,-2138134963.10889,-38919046.0928016,-260313.872701267,-4696430239.8259,-3988178.29970039,0,-625071754.552307,459555521.929193,-541918425.828788,-198519745.044841,-1613946.01074785,2002677699.62244,-674878145.420977,-66458182.9222526,-26556780315.6239,-1649449286.11104,35308899424.294,-589526.03670988,-261021.247355346,726862245308.021,-1425555587.79957,2211486777.69461,-1666008.78528811,-464732.960482825
"BEN",0,0,0,-122717.054001617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-349476533.731986,0,0,0,0,0,0,0,0,0,0,0,-2768064.01698412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1349887.59401778,-1444207.31320911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-319948038.418418,-817085980.274785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,52113956.1319201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750101.96185158,0,0,0,4090817942.3334,0,147361526.217341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6931625.58204444,13577.2209750868,0,2530802.48821506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2177278.53726735,0,0,0,0,0,0,0,0,0,0,0,74460264684.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432587190.88121,0,0,0,0,0,0,0
"BIH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6302168.69983015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210975.92350495,0,0,0,1291800.43557014,0,0,0,0,0,0,0,0,0,0,557130180.243391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2932937.84931505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129509957.969449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3518502058.22872,0,0,0,0,0,0,0
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,10644966287.4709,22905654626.3176,1602654334.99666,0,0,0,0,3185296.89832751,0,0,4718650300.17973,6115798177.27975,0,0,0,0,0,0,204292.76766254,0,0,0,132525077.934799,2858443520.30689,0,0,14645803186.1552,0,105269345615.927,0,24490217.2876871,7228414964.59569,0,0,28979308204.3722,0,0,20839307561.9685,28094681.4879784,0,0,15623714104.3417,16951333733.9889,39275062220.316,0,1488142.30921959,0,0,20595663.9841246,0,10805.8551301928,0,8524886.94020204,1700190962.74646,0,0,161414832.377211,0,9543847002.15759,21304986.8833104,200646.239795389,1526935328.73558,16769407924.4976,3563748909.388,0,0,0,0,372601216.796671,301489670.554796,52264235884.8388,6280873103.88624,7521566978.56477,89201034088.3086,19078849.0167024,0,0,9613658.09031843,0,0,0,534149346.269111,0,61298419.3626419,2812652562.80212,0,0,29252869.407159,0,0,18050.3039252828,172206996.864025,4032852.0051263,23644967148.5497,15710324.5345294,0,0,7836743288.22495,0,79184435.1915734,0,7269836848.33437,0,496493543.501744,0,26577758607.5411,0,0,367026514.232238,0,6075442601.76213,15355435.3080298,0,13013871872.0599,0,0,997032198.020395,2999190.99089739,1861218246628.24,0,0,0,0,0,0,0,0,141469495.281695,27313428.2646641,0,0,231327.349801265,0,0,0,0,6262747.84181197,1289358332.70116,7305267.56835429,2879843.6559264,0,0,0,4738042.00864943,0,0,567382.874584085,33795490564.4934,4871310981.42425,0,0,2745923.88856156,0,2201313243.45494,0,0,154166387176.307,0,0,86284113626.9474,0,15431328195.7009,0,0
"BGR",0,0,10314439846.7176,0,0,0,0,0,0,1530488.49515367,0,0,20488325.2756164,0,0,0,0,0,0,0,0,0,0,0,101519321.319778,0,0,3209225214.93864,0,0,0,76998.2797183815,715088.228534726,0,0,0,0,2503778334.23067,0,3646986939.16472,0,0,0,0,0,48142615453.2421,0,0,0,0,0,0,52882.7658228269,0,509631.1472545,0,0,0,130135367.286777,0,0,0,0,0,0,18545826.730863,0,0,0,0,59305626.8415687,1894034.92056151,152631250748.602,3353969078.18691,0,0,4085348737.16611,0,0,0,0,0,0,22730598665.0075,0,2170816.09075314,10825018888.2348,0,0,0,0,0,0,3009366973.26084,0,0,0,0,0,0,0,0,0,215426596.454313,0,0,0,36844369528.9338,0,0,0,0,171358115.656877,0,0,0,0,0,372395692.836251,0,20012312178.3293,0,0,0,0,0,0,0,0,0,5101733.92294778,0,0,0,0,0,0,0,3318982580.74713,0,0,69629195.9686216,0,0,0,0,0,0,0,0,23453899348.7831,0,0,5148474406.62162,0,2805101.37403404,0,0,24699125895.5469,0,0,0,0,0,0,0
