"","AFG.1","ALB.1","ANT.1","ARB.1","ARE.1","ARG.1","ARM.1","ATG.1","AUS.1","AUT.1","AZE.1","BDI.1","BEL.1","BEN.1","BFA.1","BGD.1","BGR.1","BHR.1","BHS.1","BIH.1","BLR.1","BLZ.1","BMU.1","BOL.1","BRA.1","BRB.1","BRN.1","BTN.1","BWA.1","CAF.1","CAN.1","CHE.1","CHL.1","CHN.1","CIV.1","CMR.1","COD.1","COG.1","COK.1","COL.1","COM.1","CPV.1","CRI.1","CUB.1","CYP.1","CZE.1","DEU.1","DJI.1","DMA.1","DNK.1","DOM.1","DZA.1","ECU.1","EGY.1","ERI.1","ESP.1","EST.1","ETH.1","FIN.1","FJI.1","FRA.1","FRO.1","GAB.1","GBR.1","GEO.1","GHA.1","GIN.1","GMB.1","GNB.1","GNQ.1","GRC.1","GRD.1","GRL.1","GTM.1","GUY.1","HKG.1","HND.1","HRV.1","HTI.1","HUN.1","IDN.1","IND.1","IRL.1","IRN.1","IRQ.1","ISL.1","ISR.1","ITA.1","JAM.1","JOR.1","JPN.1","KAZ.1","KEN.1","KGZ.1","KHM.1","KIR.1","KNA.1","KOR.1","KWT.1","LAO.1","LBN.1","LBR.1","LBY.1","LCA.1","LKA.1","LSO.1","LTU.1","LUX.1","LVA.1","MAC.1","MAR.1","MDA.1","MDG.1","MDV.1","MEX.1","MKD.1","MLI.1","MLT.1","MMR.1","MNE.1","MNG.1","MOZ.1","MRT.1","MUS.1","MWI.1","MYS.1","NAM.1","NCL.1","NER.1","NGA.1","NIC.1","NLD.1","NOR.1","NPL.1","NZL.1","OMN.1","PAK.1","PAN.1","PER.1","PHL.1","PNG.1","POL.1","PRK.1","PRT.1","PRY.1","PSE.1","PYF.1","QAT.1","ROU.1","RUS.1","RWA.1","SAU.1","SDN.1","SEN.1","SGP.1","SLB.1","SLE.1","SLV.1","SOM.1","SRB.1","SSD.1","STP.1","SUR.1","SVK.1","SVN.1","SWE.1","SWZ.1","SYC.1","SYR.1","TCD.1","TGO.1","THA.1","TJK.1","TKM.1","TLS.1","TON.1","TTO.1","TUN.1","TUR.1","TUV.1","TWN.1","TZA.1","UGA.1","UKR.1","URY.1","USA.1","UZB.1","VCT.1","VEN.1","VNM.1","VUT.1","YEM.1","ZAF.1","ZMB.1","ZWE.1","AFG.2","ALB.2","ANT.2","ARB.2","ARE.2","ARG.2","ARM.2","ATG.2","AUS.2","AUT.2","AZE.2","BDI.2","BEL.2","BEN.2","BFA.2","BGD.2","BGR.2","BHR.2","BHS.2","BIH.2","BLR.2","BLZ.2","BMU.2","BOL.2","BRA.2","BRB.2","BRN.2","BTN.2","BWA.2","CAF.2","CAN.2","CHE.2","CHL.2","CHN.2","CIV.2","CMR.2","COD.2","COG.2","COK.2","COL.2","COM.2","CPV.2","CRI.2","CUB.2","CYP.2","CZE.2","DEU.2","DJI.2","DMA.2","DNK.2","DOM.2","DZA.2","ECU.2","EGY.2","ERI.2","ESP.2","EST.2","ETH.2","FIN.2","FJI.2","FRA.2","FRO.2","GAB.2","GBR.2","GEO.2","GHA.2","GIN.2","GMB.2","GNB.2","GNQ.2","GRC.2","GRD.2","GRL.2","GTM.2","GUY.2","HKG.2","HND.2","HRV.2","HTI.2","HUN.2","IDN.2","IND.2","IRL.2","IRN.2","IRQ.2","ISL.2","ISR.2","ITA.2","JAM.2","JOR.2","JPN.2","KAZ.2","KEN.2","KGZ.2","KHM.2","KIR.2","KNA.2","KOR.2","KWT.2","LAO.2","LBN.2","LBR.2","LBY.2","LCA.2","LKA.2","LSO.2","LTU.2","LUX.2","LVA.2","MAC.2","MAR.2","MDA.2","MDG.2","MDV.2","MEX.2","MKD.2","MLI.2","MLT.2","MMR.2","MNE.2","MNG.2","MOZ.2","MRT.2","MUS.2","MWI.2","MYS.2","NAM.2","NCL.2","NER.2","NGA.2","NIC.2","NLD.2","NOR.2","NPL.2","NZL.2","OMN.2","PAK.2","PAN.2","PER.2","PHL.2","PNG.2","POL.2","PRK.2","PRT.2","PRY.2","PSE.2","PYF.2","QAT.2","ROU.2","RUS.2","RWA.2","SAU.2","SDN.2","SEN.2","SGP.2","SLB.2","SLE.2","SLV.2","SOM.2","SRB.2","SSD.2","STP.2","SUR.2","SVK.2","SVN.2","SWE.2","SWZ.2","SYC.2","SYR.2","TCD.2","TGO.2","THA.2","TJK.2","TKM.2","TLS.2","TON.2","TTO.2","TUN.2","TUR.2","TUV.2","TWN.2","TZA.2","UGA.2","UKR.2","URY.2","USA.2","UZB.2","VCT.2","VEN.2","VNM.2","VUT.2","YEM.2","ZAF.2","ZMB.2","ZWE.2"
"DOM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,8400000,0,0,0,0,0,0,0,0,0,0,0,158400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,8400000,0,0,0,0,0,0,0,0,0,0,0,158400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4185000,0,0,0,0,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49775000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200000,591600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4185000,0,0,0,0,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49775000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200000,591600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0
"EGY",0,9.3e+08,0,0,13186800000,0,302400000,0,0,27600000,0,0,52138800000,0,0,0,1.08e+09,185970000,0,3e+07,0,0,0,0,0,0,0,0,0,0,117600000,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890400000,0,3.99e+08,0,0,0,1.758e+10,0,705600000,0,0,14037600000,0,0,51566400000,0,2400000,0,0,0,0,6e+06,0,0,0,0,1.2e+08,0,0,0,0,0,0,0,0,0,0,0,6466800000,0,1809600000,0,0,0,0,0,0,0,0,9199205000,0,12189600000,0,0,0,0,0,0,0,0,0,926400000,56400000,0,0,0,0,13200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25702800000,29400000,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,4987460000,5835600000,0,0,14157600000,0,0,0,0,0,0,0,0,0,0,0,0,0,226195000,0,0,0,0,0,0,0,0,0,0,0,0,3e+07,0,0,0,0,722400000,0,544500000,0,0,0,0,0,0,0,0,45600000,0,9.3e+08,0,0,13186800000,0,302400000,0,0,27600000,0,0,52138800000,0,0,0,1.08e+09,185970000,0,3e+07,0,0,0,0,0,0,0,0,0,0,117600000,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890400000,0,3.99e+08,0,0,0,1.758e+10,0,705600000,0,0,14037600000,0,0,51566400000,0,2400000,0,0,0,0,6e+06,0,0,0,0,1.2e+08,0,0,0,0,0,0,0,0,0,0,0,6466800000,0,1809600000,0,0,0,0,0,0,0,0,9199205000,0,12189600000,0,0,0,0,0,0,0,0,0,926400000,56400000,0,0,0,0,13200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25702800000,29400000,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,4987460000,5835600000,0,0,14157600000,0,0,0,0,0,0,0,0,0,0,0,0,0,226195000,0,0,0,0,0,0,0,0,0,0,0,0,3e+07,0,0,0,0,722400000,0,544500000,0,0,0,0,0,0,0,0,45600000
"ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP",0,13820400000,0,0,842400000,2.4e+07,0,0,5231555000,139110000,0,0,280413695000,1.56e+08,0,0,14851320000,13200000,0,50280000,0,0,0,0,6.3e+07,0,0,0,0,1.44e+09,694190000,3665850000,4.2e+07,3600000,8.64e+08,0,2390000,4.2e+08,0,65400000,0,123445000,1800000,1567280000,376800000,360090000,28359525000,0,0,4598490000,160620000,10029300000,0,0,0,0,103200000,0,24123885000,0,96739570000,0,0,223267215000,6.45e+08,28795000,2707200000,38400000,0,2.11e+08,1650805000,0,2400000,3595000,0,118805000,2400000,88800000,0,71280000,0,1351135000,9892240000,0,669600000,4800000,5011065000,6568575000,0,640200000,52790000,0,0,0,0,0,0,0,689390000,0,3503400000,2380000,10253980000,0,0,0,23395000,26395000,1953600000,4800000,130820000,1200000,35220000,2400000,14400000,7200000,18600000,69640000,0,445200000,0,2380000,59965000,6e+06,0,20400000,0,1200000,0,1200000,1200000,84558370000,5843425000,0,784200000,0,135600000,141520000,40800000,10800000,0,13462845000,0,28506425000,3600000,115200000,1200000,33050000,10415740000,41305000,0,3.177e+09,28800000,20995000,53985000,0,7200000,0,0,6.54e+08,0,410470000,0,25755000,4200000,2861035000,0,0,23252400000,0,0,67226666.6666667,0,0,0,0,0,6e+07,4468200000,0,22795000,1800000,0,29305000,20995000,13386135000,0,0,0,0,0,0,82800000,0,0,0,13820400000,0,0,842400000,2.4e+07,0,0,5231555000,139110000,0,0,280413695000,1.56e+08,0,0,14851320000,13200000,0,50280000,0,0,0,0,6.3e+07,0,0,0,0,1.44e+09,694190000,3665850000,4.2e+07,3600000,8.64e+08,0,2390000,4.2e+08,0,65400000,0,123445000,1800000,1567280000,376800000,360090000,28359525000,0,0,4598490000,160620000,10029300000,0,0,0,0,103200000,0,24123885000,0,96739570000,0,0,223267215000,6.45e+08,28795000,2707200000,38400000,0,2.11e+08,1650805000,0,2400000,3595000,0,118805000,2400000,88800000,0,71280000,0,1351135000,9892240000,0,669600000,4800000,5011065000,6568575000,0,640200000,52790000,0,0,0,0,0,0,0,689390000,0,3503400000,2380000,10253980000,0,0,0,23395000,26395000,1953600000,4800000,130820000,1200000,35220000,2400000,14400000,7200000,18600000,69640000,0,445200000,0,2380000,59965000,6e+06,0,20400000,0,1200000,0,1200000,1200000,84558370000,5843425000,0,784200000,0,135600000,141520000,40800000,10800000,0,13462845000,0,28506425000,3600000,115200000,1200000,33050000,10415740000,41305000,0,3.177e+09,28800000,20995000,53985000,0,7200000,0,0,6.54e+08,0,410470000,0,25755000,4200000,2861035000,0,0,23252400000,0,0,67226666.6666667,0,0,0,0,0,6e+07,4468200000,0,22795000,1800000,0,29305000,20995000,13386135000,0,0,0,0,0,0,82800000,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3005000,0,0,0,0,0,0,0,0,6.7e+07,0,0,0,0,0,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166505000,0,517185000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000,10710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3005000,0,0,0,0,0,0,0,0,6.7e+07,0,0,0,0,0,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166505000,0,517185000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000,10710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12030000,0,0,0,0,0,0,0,0,165600000,122095000,0,0,0,34840000,0,0,0,0,1200000,0,0,0,0,46800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31200000,0,15600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44690000,4880000,0,0,0,0,0,0,0,0,0,0,1220000,0,0,0,0,0,281390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470055000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12030000,0,0,0,0,0,0,0,0,165600000,122095000,0,0,0,34840000,0,0,0,0,1200000,0,0,0,0,46800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31200000,0,15600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44690000,4880000,0,0,0,0,0,0,0,0,0,0,1220000,0,0,0,0,0,281390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470055000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",0,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146270000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127790000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86370000,0,0,0,0,0,17990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193060000,0,0,0,778210000,7200000,0,0,0,0,0,0,0,0,1.2e+07,1148010000,0,0,0,0,0,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146270000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127790000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86370000,0,0,0,0,0,17990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193060000,0,0,0,778210000,7200000,0,0,0,0,0,0,0,0,1.2e+07,1148010000,0,0,0,0
"FRA",0,0,0,0,73180000,0,2400000,0,76780000,2816490000,1200000,0,35256530000,3496160000,112800000,0,8405000,0,0,5.4e+07,0,0,0,0,114655000,0,0,0,0,24600000,123640000,2151945000,2415000,0,423585000,608970000,8400000,155350000,0,19205000,1200000,64800000,0,0,8400000,1334365000,27808025000,44390000,1200000,2241535000,8400000,359730000,0,2400000,0,28351075000,142800000,0,4335555000,0,0,0,103160000,37471485000,14400000,565200000,2.64e+09,2077800000,0,2400000,18645000,0,0,0,0,14995000,0,1220000,4800000,199475000,0,0,3770375000,0,0,0,720510000,23607980000,0,2698800000,2380000,0,0,0,109670000,0,0,1220000,4165000,0,1046750000,0,0,1200000,0,0,14985000,1686800000,16800000,0,97095000,7785000,13795000,1200000,0,0,98400000,0,0,2400000,0,0,3600000,7185000,0,0,2400000,146065000,48590000,3600000,0,20015940000,43170000,0,1200000,4780000,101150000,0,0,22800000,0,4056650000,0,1653790000,0,403200000,40755000,19835000,75035000,30310000,0,67335000,0,233960000,1200000,0,0,0,0,9e+06,0,0,0,1220000,255455000,4151825000,0,110985000,3922800000,266400000,6e+06,23320000,0,0,0,0,0,40770000,1123800000,0,0,1200000,0,9595000,0,29355000,0,0,0,1190000,7200000,0,0,0,0,0,0,0,0,73180000,0,2400000,0,76780000,2816490000,1200000,0,35256530000,3496160000,112800000,0,8405000,0,0,5.4e+07,0,0,0,0,114655000,0,0,0,0,24600000,123640000,2151945000,2415000,0,423585000,608970000,8400000,155350000,0,19205000,1200000,64800000,0,0,8400000,1334365000,27808025000,44390000,1200000,2241535000,8400000,359730000,0,2400000,0,28351075000,142800000,0,4335555000,0,0,0,103160000,37471485000,14400000,565200000,2.64e+09,2077800000,0,2400000,18645000,0,0,0,0,14995000,0,1220000,4800000,199475000,0,0,3770375000,0,0,0,720510000,23607980000,0,2698800000,2380000,0,0,0,109670000,0,0,1220000,4165000,0,1046750000,0,0,1200000,0,0,14985000,1686800000,16800000,0,97095000,7785000,13795000,1200000,0,0,98400000,0,0,2400000,0,0,3600000,7185000,0,0,2400000,146065000,48590000,3600000,0,20015940000,43170000,0,1200000,4780000,101150000,0,0,22800000,0,4056650000,0,1653790000,0,403200000,40755000,19835000,75035000,30310000,0,67335000,0,233960000,1200000,0,0,0,0,9e+06,0,0,0,1220000,255455000,4151825000,0,110985000,3922800000,266400000,6e+06,23320000,0,0,0,0,0,40770000,1123800000,0,0,1200000,0,9595000,0,29355000,0,0,0,1190000,7200000,0,0,0,0
"FRO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
