"iso3","Country","Year","Value"
"AFG","Afghanistan",1,6094532105000
"AGO","Angola",1,3051039293500
"ALB","Albania",1,851360328000
"ANT","Netherlands Antilles",1,0
"ARB","Aruba",1,0
"ARE","United Arab Emirates",1,4925132567500
"ARG","Argentina",1,16730205000
"ARM","Armenia",1,1110622879500
"ATG","Antigua and Barbuda",1,12235610000
"AUS","Australia",1,2476002570000
"AUT","Austria",1,4486583342500
"AZE","Azerbaijan",1,4591091275000
"BDI","Burundi",1,158466083000
"BEL","Belgium",1,13020746228500
"BEN","Benin",1,889254737500
"BFA","Burkina Faso",1,871345895000
"BGD","Bangladesh",1,15387730051500
"BGR","Bulgaria",1,334927436000
"BHR","Bahrain",1,493964613000
"BHS","Bahamas",1,51533850000
"BIH","Bosnia and Herzegovina",1,1208591387500
"BLR","Belarus",1,865891702000
"BLZ","Belize",1,72125995000
"BMU","Bermuda",1,0
"BOL","Bolivia (Plurinational State of)",1,1571557135000
"BRA","Brazil",1,21837142505500
"BRB","Barbados",1,101788515000
"BRN","Brunei Darussalam",1,60377192500
"BTN","Bhutan",1,12334315000
"BWA","Botswana",1,123090002500
"CAF","Central African Republic",1,3474347500
"CAN","Canada",1,2961446259500
"CHE","Switzerland",1,2306451045500
"CHL","Chile",1,4274975178500
"CHN","China (mainland)",1,24040887110500
"CIV","Cote dIvoire",1,2342121390500
"CMR","Cameroon",1,2707657347500
"COD","Democratic Republic of the Congo",1,1331468590500
"COG","Congo",1,755361496000
"COK","Cook Islands",1,3646970000
"COL","Colombia",1,6658035502500
"COM","Comoros",1,64797425000
"CPV","Cape Verde",1,74356952500
"CRI","Costa Rica",1,1028545350000
"CUB","Cuba",1,2408376938000
"CYP","Cyprus",1,448736158000
"CZE","Czech Republic",1,1309763955000
"DEU","Germany",1,17466777543500
"DJI","Djibouti",1,654322251000
"DMA","Dominica",1,6174030000
"DNK","Denmark",1,1403391397500
"DOM","Dominican Republic",1,2131595735000
"DZA","Algeria",1,23115225846000
"ECU","Ecuador",1,4010919317500
"EGY","Egypt",1,34605901537500
"ERI","Eritrea",1,588801350000
"ESP","Spain",1,14286310300500
"EST","Estonia",1,211538877000
"ETH","Ethiopia",1,2494467250000
"FIN","Finland",1,767896281000
"FJI","Fiji",1,560738047500
"FRA","France",1,6733598996500
"FRO","Faroe Islands",1,56507355000
"GAB","Gabon",1,392493472500
"GBR","United Kingdom",1,10488202585000
"GEO","Georgia",1,1891413314500
"GHA","Ghana",1,3124681045000
"GIN","Guinea",1,1272592035500
"GMB","Gambia",1,338570133000
