"iso3","Country.x","Year","Value"
"AFG","Afghanistan",0,7740079886666.67
"ALB","Albania",0,972568873333.333
"ANT","Netherlands Antilles",0,0
"ARB","Aruba",0,22044830000
"ARE","United Arab Emirates",0,5875483821666.67
"ARG","Argentina",0,21205098333.3333
"ARM","Armenia",0,929991860000
"ATG","Antigua and Barbuda",0,19899130000
"AUS","Australia",0,816601953333.333
"AUT","Austria",0,4302252036666.67
"AZE","Azerbaijan",0,4389601183333.33
"BDI","Burundi",0,205410285000
"BEL","Belgium",0,15847596130000
"BEN","Benin",0,665959006666.667
"BFA","Burkina Faso",0,836096871666.667
"BGD","Bangladesh",0,18412913978333.3
"BGR","Bulgaria",0,306289463333.333
"BHR","Bahrain",0,358489385000
"BHS","Bahamas",0,45919123333.3333
"BIH","Bosnia and Herzegovina",0,1700501180000
"BLR","Belarus",0,447414815000
"BLZ","Belize",0,72336276666.6667
"BMU","Bermuda",0,17575391666.6667
"BOL","Bolivia (Plurinational State of)",0,1189422628333.33
"BRA","Brazil",0,21391736410000
"BRB","Barbados",0,94020518333.3333
"BRN","Brunei Darussalam",0,63372548333.3333
"BTN","Bhutan",0,9713490000
"BWA","Botswana",0,292429241666.667
"CAF","Central African Republic",0,43741716666.6667
"CAN","Canada",0,2596624105000
"CHE","Switzerland",0,2431472550000
"CHL","Chile",0,3728616400000
"CHN","China (mainland)",0,13008630208333.3
"CIV","Cote dIvoire",0,2179247758333.33
"CMR","Cameroon",0,2230530975000
"COD","Democratic Republic of the Congo",0,1188195253333.33
"COG","Congo",0,774631906666.667
"COK","Cook Islands",0,4443830000
"COL","Colombia",0,6524415013333.33
"COM","Comoros",0,45988650000
"CPV","Cape Verde",0,94780908333.3333
"CRI","Costa Rica",0,1036258578333.33
"CUB","Cuba",0,2786077476666.67
"CYP","Cyprus",0,506447423333.333
"CZE","Czech Republic",0,1078978440000
"DEU","Germany",0,19440847415000
"DJI","Djibouti",0,1942996796666.67
"DMA","Dominica",0,7308190000
"DNK","Denmark",0,1613933205000
"DOM","Dominican Republic",0,1813320993333.33
"DZA","Algeria",0,27661696350000
"ECU","Ecuador",0,3451049260000
"EGY","Egypt",0,37082879646666.7
"ERI","Eritrea",0,174780656666.667
"ESP","Spain",0,21461985723333.3
"EST","Estonia",0,260981363333.333
"ETH","Ethiopia",0,3035738428333.33
"FIN","Finland",0,473645836666.667
"FJI","Fiji",0,514324316666.667
"FRA","France",0,8002216988333.33
"FRO","Faroe Islands",0,53102283333.3333
"GAB","Gabon",0,398928636666.667
"GBR","United Kingdom",0,8973502575000
"GEO","Georgia",0,1869535741666.67
"GHA","Ghana",0,2647857156666.67
"GIN","Guinea",0,982892595000
"GMB","Gambia",0,259399710000
"GNB","Guinea-Bissau",0,60555730000
"GNQ","Equatorial Guinea",0,104173803333.333
"GRC","Greece",0,3781856276666.67
"GRD","Grenada",0,61997276666.6667
"GRL","Greenland",0,16593976666.6667
"GTM","Guatemala",0,2351045043333.33
"GUY","Guyana",0,222178418333.333
"HKG","Hong Kong SAR, China",0,1302017738333.33
"HND","Honduras",0,1116151656666.67
"HRV","Croatia",0,684753231666.667
"HTI","Haiti",0,1039144523333.33
"HUN","Hungary",0,1055371948333.33
"IDN","Indonesia",0,33041578931666.7
"IND","India",0,8572355238333.33
"IRL","Ireland",0,2470463286666.67
"IRN","Iran (Islamic Republic of)",0,5748868288333.33
"IRQ","Iraq",0,7777590650000
"ISL","Iceland",0,180971315000
"ISR","Israel",0,5704038060000
