"iso3","Country.x","Year","Value"
"SLV","El Salvador",1,779610048333.333
"SOM","Somalia",1,1393407453333.33
"SRB","Serbia",1,8223744746666.67
"SSD","South Sudan",1,103486066666.667
"STP","Sao Tome and Principe",1,34565175000
"SUR","Suriname",1,83184023333.3333
"SVK","Slovakia",1,4938114763333.33
"SVN","Slovenia",1,1143928283333.33
"SWE","Sweden",1,9866730623333.33
"SWZ","Swaziland",1,134954996666.667
"SYC","Seychelles",1,19688383333.3333
"SYR","Syrian Arab Republic",1,12147741630400
"TCD","Chad",1,240740200000
"TGO","Togo",1,498485318333.333
"THA","Thailand",1,13446115673550
"TJK","Tajikistan",1,4777203206266.67
"TKM","Turkmenistan",1,8382256400100
"TLS","Timor-Leste",1,76658120000
"TON","Tonga",1,20165893333.3333
"TTO","Trinidad and Tobago",1,407785642366.667
"TUN","Tunisia",1,11604156324200
"TUR","Turkey",1,98645048229000
"TUV","Tuvalu",1,2088763333.33333
"TWN","Taiwan",1,4685635974266.67
"TZA","United Republic of Tanzania",1,3470690425000
"UGA","Uganda",1,1695725861666.67
"UKR","Ukraine",1,56440404812750
"URY","Uruguay",1,3400905337333.33
"USA","United States of America",1,175682163846500
"UZB","Uzbekistan",1,28525715657333.3
"VCT","Saint Vincent and the Grenadines",1,47255448266.6667
"VEN","Venezuela (Bolivarian Republic of)",1,4402159904933.33
"VNM","Viet Nam",1,12450597328666.7
"VUT","Vanuatu",1,52634306666.6667
"YEM","Yemen",1,11285849786666.7
"ZAF","South Africa",1,12271089513266.7
"ZMB","Zambia",1,1086762366666.67
"ZWE","Zimbabwe",1,1136963056666.67
