"","X11.1","X12.1","X19.1","X20.1","X41.1","X42.1","X49.1","X50.1","X61.1","X62.1","X63.1","X64.1","X65.1","X69.1","X81.1","X89.1","X91.1","X92.1","X99.1","X101.1","X109.1","X111.1","X121.1","X122.1","X123.1","X124.1","X129.1","X131.1","X132.1","X139.1","X151.1","X159.1","X160.1","X171.1","X172.1","X179.1","X181.1","X182.1","X183.1","X189.1","X190.1","X201.1","X202.1","X209.1","X211.1","X212.1","X219.1","X221.1","X222.1","X223.1","X229.1","X230.1","X241.1","X242.1","X249.1","X251.1","X259.1","X261.1","X262.1","X269.1","X271.1","X279.1","X280.1","X291.1","X292.1","X299.1","X300.1","X311.1","X319.1","X321.1","X329.1","X331.1","X339.1","X341.1","X342.1","X350.1","X361.1","X362.1","X363.1","X364.1","X369.1","X371.1","X372.1","X373.1","X379.1","X380.1","X391.1","X392.1","X393.1","X394.1","X399.1","X401.1","X402.1","X409.1","X411.1","X419.1","X421.1","X422.1","X423.1","X429.1","X441.1","X451.1","X452.1","X459.1","X460.1","X471.1","X472.1","X473.1","X479.1","X481.1","X482.1","X483.1","X484.1","X485.1","X486.1","X487.1","X488.1","X489.1","X491.1","X499.1","X500.1","X511.1","X512.1","X513.1","X519.1","X531.1","X532.1","X539.1","X540.1","X551.1","X559.1","X560.1","X11.2","X12.2","X19.2","X20.2","X41.2","X42.2","X49.2","X50.2","X61.2","X62.2","X63.2","X64.2","X65.2","X69.2","X81.2","X89.2","X91.2","X92.2","X99.2","X101.2","X109.2","X111.2","X121.2","X122.2","X123.2","X124.2","X129.2","X131.2","X132.2","X139.2","X151.2","X159.2","X160.2","X171.2","X172.2","X179.2","X181.2","X182.2","X183.2","X189.2","X190.2","X201.2","X202.2","X209.2","X211.2","X212.2","X219.2","X221.2","X222.2","X223.2","X229.2","X230.2","X241.2","X242.2","X249.2","X251.2","X259.2","X261.2","X262.2","X269.2","X271.2","X279.2","X280.2","X291.2","X292.2","X299.2","X300.2","X311.2","X319.2","X321.2","X329.2","X331.2","X339.2","X341.2","X342.2","X350.2","X361.2","X362.2","X363.2","X364.2","X369.2","X371.2","X372.2","X373.2","X379.2","X380.2","X391.2","X392.2","X393.2","X394.2","X399.2","X401.2","X402.2","X409.2","X411.2","X419.2","X421.2","X422.2","X423.2","X429.2","X441.2","X451.2","X452.2","X459.2","X460.2","X471.2","X472.2","X473.2","X479.2","X481.2","X482.2","X483.2","X484.2","X485.2","X486.2","X487.2","X488.2","X489.2","X491.2","X499.2","X500.2","X511.2","X512.2","X513.2","X519.2","X531.2","X532.2","X539.2","X540.2","X551.2","X559.2","X560.2"
"63",0,0,0,0,38444400,0,0,4571000,296494200,0,154486200,4530400,0,3685800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8606000,0,0,0,0,0,0,0,0,0,0,0,0,0,191600,0,0,0,0,0,0,0,0,0,0,0,0,0,4610400,0,0,0,0,0,2215000,10916200,0,0,0,0,10733000,0,0,0,0,0,0,0,0,0,0,0,0,13159200,0,0,0,4674400,15849800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8681200,0,0,0,0,356200,0,0,0,0,0,0,0,1402200,0,0,0,0,6196800,3800,0,0,0,0,38444400,0,0,4571000,296494200,0,154486200,4530400,0,3685800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8606000,0,0,0,0,0,0,0,0,0,0,0,0,0,191600,0,0,0,0,0,0,0,0,0,0,0,0,0,4610400,0,0,0,0,0,2215000,10916200,0,0,0,0,10733000,0,0,0,0,0,0,0,0,0,0,0,0,13159200,0,0,0,4674400,15849800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8681200,0,0,0,0,356200,0,0,0,0,0,0,0,1402200,0,0,0,0,6196800,3800
"64",0,0,0,0,24966200,0,0,0,115814400,55412200,0,612952800,0,51373200,3497400,0,0,0,0,0,0,0,0,17204600,200,0,974400,23134600,0,0,13803000,0,200,69251200,0,323000,0,0,0,0,2743400,0,0,0,0,0,0,0,0,36000,0,0,735000,9761400,0,200,0,0,0,0,22400,483600,0,0,0,0,0,200,545000,1984400,590400,0,0,33081200,0,0,0,0,26537000,0,2664000,0,0,200,0,0,0,0,0,200,0,0,0,0,6446400,200,18058000,0,9000,0,0,0,0,0,0,0,200,0,0,200,0,0,55056600,0,22399600,0,0,1790800,26268400,0,0,74007400,0,70400,0,82426400,0,323800,0,200,0,0,0,0,0,0,24966200,0,0,0,115814400,55412200,0,612952800,0,51373200,3497400,0,0,0,0,0,0,0,0,17204600,200,0,974400,23134600,0,0,13803000,0,200,69251200,0,323000,0,0,0,0,2743400,0,0,0,0,0,0,0,0,36000,0,0,735000,9761400,0,200,0,0,0,0,22400,483600,0,0,0,0,0,200,545000,1984400,590400,0,0,33081200,0,0,0,0,26537000,0,2664000,0,0,200,0,0,0,0,0,200,0,0,0,0,6446400,200,18058000,0,9000,0,0,0,0,0,0,0,200,0,0,200,0,0,55056600,0,22399600,0,0,1790800,26268400,0,0,74007400,0,70400,0,82426400,0,323800,0,200,0,0
"65",0,0,0,0,60522400,0,0,0,542793200,91582200,50725400,495218600,252213200,132068200,6631800,4400,0,0,0,0,0,657400,0,0,6375000,0,859400,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534000,189400,3631600,0,0,0,0,0,0,8622400,1702600,11174600,0,0,200,0,0,0,0,564400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18139600,3683800,200,0,0,4479600,0,0,0,0,0,0,0,0,0,0,0,0,2365000,0,2143200,0,1095200,0,6567400,0,0,0,0,0,0,15708600,0,0,0,0,0,0,0,0,0,0,60522174.1971283,0,0,0,542791174.8942,91581858.3161977,50725210.7487312,495216752.390157,252212259.018399,132067707.267081,6631775.25743387,4399.98358405094,0,0,0,0,0,657397.547307975,0,0,6374976.21552835,0,859396.793666676,0,0,0,0,0,0,3599.98656876895,0,0,0,0,0,0,0,0,0,399.998507640995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533998.007700728,189399.293368011,3631586.45087259,0,0,0,0,0,0,8622367.83070928,1702593.64777389,11174558.3087126,0,0,199.999253820497,0,0,0,0,564397.894281443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18139532.3230115,3683786.25611974,199.999253820497,0,0,4479583.2870715,0,0,0,0,0,0,0,0,0,0,0,0,2364991.17642738,0,2143192.00394045,0,1095195.91392104,0,6567375.49770367,0,0,0,0,0,0,15708541.3928233,0,0,0,0,0,0
"69",0,0,58878400,0,24117400,0,0,0,947865000,99853600,135749400,391478200,134123200,519645200,104486400,0,0,0,0,0,0,0,11017600,8206200,14310200,0,10937800,0,0,0,8603000,0,99849200,6312200,0,0,5974600,0,0,0,4328800,1608800,0,0,22219400,0,0,0,0,8409400,0,0,0,0,0,0,0,6228800,14381800,0,0,0,0,1240600,0,0,3903600,0,0,13308000,0,0,0,0,2721200,0,0,4866000,12128600,0,2521200,0,0,938600,0,0,0,0,0,0,0,0,0,0,31812600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24291600,9700600,27128400,0,6630200,23454000,21991200,0,0,0,0,0,0,198293400,0,0,0,0,69714200,0,0,0,58878280.1260565,0,24117350.897989,0,0,0,947863070.186766,99853396.7022744,135749123.619937,391477402.966867,134122926.930812,519644142.02425,104486187.270089,0,0,0,0,0,0,0,11017577.5686303,8206183.29252229,14310170.8650353,0,10937777.7310997,0,0,0,8602982.4846542,0,99848996.7112326,6312187.14862655,0,0,5974587.83596594,0,0,0,4328791.18674545,1608796.72455093,0,0,22219354.7622371,0,0,0,0,8409382.87881564,0,0,0,0,0,0,0,6228787.31842544,14381770.7192607,0,0,0,0,1240597.47419063,0,0,3903592.05243475,0,0,13307972.9054723,0,0,0,0,2721194.45975137,0,0,4865990.09302886,12128575.306681,0,2521194.86694295,0,0,938598.089049916,0,0,0,0,0,0,0,0,0,0,31812535.2308857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24291550.5433251,9700580.24998681,27128344.7677197,0,6630186.50119194,23453952.2486434,21991155.2268427,0,0,0,0,0,0,198292996.282986,0,0,0,0,69714058.0648238,0
"81",41000,0,0,0,7236000,0,0,0,16805200,0,884800,0,0,0,475892000,50943400,0,0,0,0,0,0,0,0,598200,0,1561400,2326800,0,0,0,0,0,0,0,0,0,1188000,1299400,0,19452000,0,0,29587200,0,0,0,0,0,0,0,0,1917400,1549800,1436400,1443000,0,0,12395600,200,2479800,691400,0,0,0,0,200,0,41518400,0,0,0,0,0,8879600,2633600,0,0,0,0,0,0,0,0,649400,0,0,37600,2318000,143600,0,0,0,0,0,0,4438000,0,0,0,0,0,0,0,0,0,6351000,0,0,0,0,0,0,0,5794200,0,429400,5565400,147600,0,0,0,0,0,0,0,0,0,0,0,0,0,41000,0,0,0,7236000,0,0,0,16805200,0,884800,0,0,0,475892000,50943400,0,0,0,0,0,0,0,0,598200,0,1561400,2326800,0,0,0,0,0,0,0,0,0,1188000,1299400,0,19452000,0,0,29587200,0,0,0,0,0,0,0,0,1917400,1549800,1436400,1443000,0,0,12395600,200,2479800,691400,0,0,0,0,200,0,41518400,0,0,0,0,0,8879600,2633600,0,0,0,0,0,0,0,0,649400,0,0,37600,2318000,143600,0,0,0,0,0,0,4438000,0,0,0,0,0,0,0,0,0,6351000,0,0,0,0,0,0,0,5794200,0,429400,5565400,147600,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",0,0,0,0,0,0,0,77000,5.8e+07,0,0,21790400,29333600,0,267890200,100034400,0,0,0,0,0,0,0,0,26583400,0,12508600,33949400,0,0,0,0,0,34280400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31416800,0,4915600,45916800,27516200,0,0,26189400,47366800,0,0,0,0,0,0,0,0,0,0,0,53166800,19820800,0,24381800,0,0,0,0,0,0,0,19333400,0,103837000,17859400,0,0,36250000,75658600,0,0,24865200,0,25002800,0,12090600,48376800,0,0,0,19293400,0,0,0,0,3268000,0,0,0,9839000,0,90376200,39357800,0,0,5054400,0,0,0,0,0,7341200,56497000,0,0,0,77725000,97053400,0,0,0,0,0,0,0,0,77000,5.8e+07,0,0,21790400,29333600,0,267890200,100034400,0,0,0,0,0,0,0,0,26583400,0,12508600,33949400,0,0,0,0,0,34280400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31416800,0,4915600,45916800,27516200,0,0,26189400,47366800,0,0,0,0,0,0,0,0,0,0,0,53166800,19820800,0,24381800,0,0,0,0,0,0,0,19333400,0,103837000,17859400,0,0,36250000,75658600,0,0,24865200,0,25002800,0,12090600,48376800,0,0,0,19293400,0,0,0,0,3268000,0,0,0,9839000,0,90376200,39357800,0,0,5054400,0,0,0,0,0,7341200,56497000,0,0,0,77725000,97053400,0
"91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65799200,52964800,9307000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44696600,104935600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7531800,0,0,0,0,22323800,0,0,0,4388600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11187800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21777800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65799200,52964800,9307000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44696600,104935600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7531800,0,0,0,0,22323800,0,0,0,4388600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11187800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21777800,0,0,0,0,0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0,0,2469800,0,0,0,0,0,0,0,12270400,42151800,138200,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,200,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20600,25475200,3713600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98800,0,0,0,1179600,0,0,0,0,0,200,400,0,0,0,0,0,0,0,0,0,400,0,200,19671600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2258800,92400,0,0,0,0,0,0,0,0,0,2469800,0,0,0,0,0,0,0,12270400,42151800,138200,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,200,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20600,25475200,3713600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98800,0,0,0,1179600,0,0,0,0,0,200,400,0,0,0,0,0,0,0,0,0,400,0,200,19671600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2258800,92400,0
"99",0,0,0,0,0,0,0,0,806000,0,200,371600,0,0,0,0,475400,0,3183200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,0,0,0,0,2027600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2214400,0,0,0,0,1957400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806000,0,200,371600,0,0,0,0,475400,0,3183200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,0,0,0,0,2027600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2214400,0,0,0,0,1957400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6050400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6050400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",0,0,21062200,0,0,0,0,0,2045400,0,0,0,0,0,1586000,0,31806800,62923000,0,8156600,170150200,6936200,0,0,10610000,1381400,15545800,39975000,0,19987600,0,0,0,10511000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53015800,16094600,17888800,55521000,67282400,8511600,0,0,0,0,0,0,0,0,8659000,0,0,0,0,0,0,0,217642000,0,0,57701800,24633600,237132200,1571200,0,0,2131600,0,26650000,0,0,758200,0,0,8883400,0,0,0,0,0,17646200,184622600,0,68846000,17743800,0,0,0,0,0,1886600,0,1748400,0,0,0,0,0,0,0,0,0,0,0,0,10281000,21855400,20002400,85851000,12900600,0,0,0,0,19621000,0,0,0,21061893.281703,0,0,0,0,0,2045370.21386158,0,0,0,0,0,1585976.90387428,0,31806336.8134606,62922083.6837841,0,8156481.21950881,170147722.187636,6936098.99158436,0,0,10609845.4918702,1381379.88336188,15545573.6142805,39974417.8640444,0,19987308.930566,0,0,0,10510846.9335577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53015027.9573885,16094365.6223802,17888539.4943419,55520191.4754124,67281420.2000196,8511476.04982116,0,0,0,0,0,0,0,0,8658873.90330859,0,0,0,0,0,0,0,217638830.588277,0,0,57700959.7175114,24633241.2731889,237128746.76223,1571177.11939929,0,0,2131568.95857404,0,26649611.909363,0,0,758188.958712157,0,0,8883270.63548348,0,0,0,0,0,17645943.0272045,184619911.433304,0,68844997.4300939,17743541.6059045,0,0,0,0,0,1886572.52638665,0,1748374.53892421,0,0,0,0,0,0,0,0,0,0,0,0,10280850.2829329,21855081.7307276,20002108.715041,85849749.7947737,12900412.1350067,0,0,0,0,19620714.2691786,0
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39800,58708000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6224200,23603200,3234600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688400,748400,0,0,0,527600,0,0,0,0,243200,0,0,0,0,0,0,0,0,0,0,0,0,2894200,0,0,281400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040800,1110200,29068600,802400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39796.4603481856,58702778.7467658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6223646.44470293,23601100.8263893,3234312.3276945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688338.776474647,748333.440316132,0,0,0,527553.077379465,0,0,0,0,243178.370770822,0,0,0,0,0,0,0,0,0,0,0,0,2893942.60150047,0,0,281374.973416568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040707.43543697,1110101.26328029,29066014.7557102,802328.63777347,0,0,0,0,0,0,0
"121",130400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96995600,43779200,18970600,11808200,116901400,0,19105400,42723800,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,2428400,0,0,0,0,0,0,0,0,0,0,0,0,285600,0,0,241800,0,1304800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1510600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6800,0,15816600,0,9393600,0,0,0,0,54800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664600,0,130400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96995600,43779200,18970600,11808200,116901400,0,19105400,42723800,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,2428400,0,0,0,0,0,0,0,0,0,0,0,0,285600,0,0,241800,0,1304800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1510600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6800,0,15816600,0,9393600,0,0,0,0,54800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664600,0
"122",5185600,93400,0,0,881400,0,0,0,11191800,0,0,151200,0,0,2357000,0,200,0,0,0,0,1957200,8911600,1261798200,19662000,77405000,186672600,40190600,2000,0,0,0,0,4785400,50618200,691400,0,2276000,19934600,0,0,200,0,0,0,9800,0,6193400,0,2034000,591000,0,1821000,583600,30846000,17435000,285200,619000,4298400,0,6581400,0,0,0,0,399000,0,0,0,359800,0,0,0,6220600,2081800,0,82000,101800,26684200,0,636600,1989400,0,0,2421200,0,2095400,1954000,8119000,0,200,200,0,4270400,0,0,14293600,0,561200,1929000,0,0,5278400,0,0,681400,15416400,650400,0,2183800,0,0,2876200,0,8445000,0,885200,132200,4367600,0,0,0,2292400,0,0,0,0,0,476000,2295200,109600,0,5184685.17012992,93383.5226184308,0,0,881244.505737526,0,0,0,11189825.572173,0,0,151173.325694933,0,0,2356584.18427882,0,199.964716527689,0,0,0,0,1956854.71593997,8910027.83904077,1261575596.89074,19658531.2818371,77391344.4141289,186639667.712433,40183509.6803887,1999.64716527689,0,0,0,0,4784555.77235802,50609270.0707093,691278.025036221,0,2275598.4740851,19931083.1904644,0,0,199.964716527689,0,0,0,9798.27110985677,0,6192307.37671295,0,2033641.1670866,590895.737339321,0,1820678.74398461,583497.042827797,30840558.2300655,17431924.1633013,285149.685768485,618890.797653197,4297641.68761309,0,6580238.92677666,0,0,0,0,398929.60947274,0,0,0,359736.525033313,0,0,0,6219502.57816071,2081432.73433672,0,81985.5337763525,101782.040712594,26679492.4438408,0,636487.692707634,1989049.03530092,0,0,2420772.8582842,0,2095030.3350606,1953655.28047552,8117567.66744154,0,199.964716527689,199.964716527689,0,4269646.62729922,0,0,14291078.3608009,0,561100.994576695,1928659.69090956,0,0,5277468.79859877,0,0,681279.789209837,15413680.2793873,650285.258148045,0,2183414.73976584,0,0,2875692.5883847,0,8443510.15538167,0,885043.835351552,132176.677624802,4366829.47953167,0,0,0,2291995.58084037,0,0,0,0,0,475916.0253359,2294795.08687176,109580.664657174,0
"123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264200,0,0,2755200,18557000,33930200,6748400,6657600,29621600,0,0,0,0,0,13791000,0,0,0,0,0,0,0,0,0,0,0,0,351600,0,0,0,0,0,0,0,0,0,0,11856000,0,0,0,2483000,0,0,0,0,0,0,0,0,0,0,0,5443600,0,0,0,0,0,0,0,0,121200,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2197200,0,45684200,945000,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264200,0,0,2755200,18557000,33930200,6748400,6657600,29621600,0,0,0,0,0,13791000,0,0,0,0,0,0,0,0,0,0,0,0,351600,0,0,0,0,0,0,0,0,0,0,11856000,0,0,0,2483000,0,0,0,0,0,0,0,0,0,0,0,5443600,0,0,0,0,0,0,0,0,121200,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2197200,0,45684200,945000,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22200,0,0
"124",0,0,635400,0,2798800,0,0,149800,676800,0,0,0,0,0,0,0,0,0,0,759800,0,0,6404200,3126200,609884400,35438600,8179400,15278000,0,657200,0,0,0,2335600,0,9114200,0,0,0,282600,162800,2207400,0,0,0,0,0,0,0,2523000,70400,0,471200,0,3697600,918200,0,1014600,0,0,50800,0,0,0,741400,0,75400,0,0,233000,0,0,0,1941400,2066200,0,805000,0,1134600,0,0,760800,5389600,2090800,2434800,0,0,3000,0,0,0,2044200,0,2192800,0,0,820400,0,0,24800,0,0,0,268200,0,0,0,0,0,0,0,123800,13705200,0,4431800,0,870000,649800,26200,0,0,2800800,200,0,186200,0,0,0,88800,12600,2673800,0,0,0,635381.652533817,0,2798719.1833674,0,0,149795.674456352,676780.457089845,0,0,0,0,0,0,0,0,0,0,759778.060426809,0,0,6404015.07579017,3126109.72954237,609866789.30846,35437576.6941847,8179163.81607665,15277558.8407486,0,657181.023048827,0,0,0,2335532.55847967,0,9113936.82329826,0,0,0,282591.839795494,162795.299075394,2207336.26031342,0,0,0,0,0,0,0,2522927.14721879,70397.967167738,0,471186.393884065,0,3697493.23010551,918173.486554219,0,1014570.70296004,0,0,50798.53312672,0,0,0,741378.591735241,0,75397.8227904467,0,0,232993.272018224,0,0,0,1941343.94118532,2066140.33752813,0,804976.755256095,0,1134567.23790505,0,0,760778.03155135,5389444.37283012,2090739.62719186,2434729.69403421,0,0,2999.9133736252,0,0,0,2044140.97278821,0,2192736.68189511,0,0,820376.310574037,0,0,24799.283888635,0,0,0,268192.255602093,0,0,0,0,0,0,0,123796.425218267,13704804.2560694,0,4431672.02974405,0,869974.878351308,649781.236727218,26199.2434629934,0,0,2800719.12561649,199.994224908347,0,186194.623389671,0,0,0,88797.4358593059,12599.6361692258,2673722.79279969,0
"129",0,0,325000,0,0,0,0,0,1798000,0,0,0,0,0,23870000,0,0,714000,0,10800,5400,0,175884200,241450200,77663200,71621400,644703600,255800,0,2148600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72000,0,0,2411800,0,0,699800,3870200,0,0,0,3006800,0,2236200,0,0,0,0,0,0,0,0,200,0,8400,1800,0,0,0,556000,55600,74000,0,467600,358000,6304200,0,0,2488800,2000,0,0,12782200,0,0,0,0,3073000,0,103800,489800,0,0,0,1751400,0,0,2551200,546200,0,0,0,0,0,0,1470200,9200,0,6609400,0,0,0,0,92800,0,1986600,2176800,0,0,0,0,0,0,0,0,325000,0,0,0,0,0,1798000,0,0,0,0,0,23870000,0,0,714000,0,10800,5400,0,175884200,241450200,77663200,71621400,644703600,255800,0,2148600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72000,0,0,2411800,0,0,699800,3870200,0,0,0,3006800,0,2236200,0,0,0,0,0,0,0,0,200,0,8400,1800,0,0,0,556000,55600,74000,0,467600,358000,6304200,0,0,2488800,2000,0,0,12782200,0,0,0,0,3073000,0,103800,489800,0,0,0,1751400,0,0,2551200,546200,0,0,0,0,0,0,1470200,9200,0,6609400,0,0,0,0,92800,0,1986600,2176800,0,0,0,0,0,0
