"","Gstrength_out_final"
"AFG",967704998.659969
"ALB",10232755638.1238
"ANT",0
"ARB",0
"ARE",1343872450619.98
"ARG",32855572106775.2
"ARM",2550881178.45424
"ATG",378560527.491006
"AUS",63248315702259.8
"AUT",4023034752871.81
"AZE",3252573289.91337
"BDI",38630879042.7359
"BEL",6533238312886.94
"BEN",3139990741.21048
"BFA",571676155.022367
"BGD",63342508058.3933
"BGR",13873190576207.5
"BHR",9006264529.67959
"BHS",0
"BIH",454922005180.313
"BLR",363915296849.467
"BLZ",0
"BMU",0
"BOL",34413938349.2957
"BRA",2311101386747.37
"BRB",0
"BRN",0
"BTN",0
"BWA",1494103846.37743
"CAF",0
"CAN",75514229870749
"CHE",1931520334044.94
"CHL",0
"CHN",3837831647498.85
"CIV",307094272899.05
"CMR",16837503640.2948
"COD",2869137830.44632
"COG",0
"COK",0
"COL",0
"COM",0
"CPV",422176029.37203
"CRI",0
"CUB",28110685.2821282
"CYP",123215039018.122
"CZE",10596602237610.1
"DEU",40350607499467
"DJI",24009301.0597403
"DMA",0
"DNK",4212121746682.71
"DOM",0
"DZA",31757358909.237
"ECU",0
"EGY",1168574842743.16
"ERI",3630554.57367105
"ESP",3868688550743.9
"EST",1758085353509.78
"ETH",12041260900.7555
"FIN",1017693738944.21
"FJI",66317825874.2256
"FRA",66375035012681
"FRO",2481283.72792816
"GAB",2185534583.25962
"GBR",9039901763315.36
"GEO",22881799271.7077
"GHA",231650670669.901
"GIN",1820829219.88802
"GMB",385225722.053328
"GNB",0
"GNQ",0
"GRC",1599267058043.77
"GRD",0
"GRL",0
"GTM",0
"GUY",0
"HKG",91286999299.5211
"HND",0
"HRV",1324123000018.49
"HTI",857569486.76927
"HUN",10079550146937.6
"IDN",320315442437.328
"IND",4801221020605.36
"IRL",562044670596.602
"IRN",998641581916.957
"IRQ",527321904.154582
"ISL",351392919.569924
"ISR",81315020411.2324
"ITA",9767369232358.37
"JAM",0
"JOR",99933851698.5159
"JPN",5255471831.6159
"KAZ",21612655908388.9
"KEN",24783371016.8185
"KGZ",11781395791.9987
"KHM",0
"KIR",0
"KNA",0
"KOR",220336856881.112
"KWT",247109428360.096
"LAO",0
"LBN",147405446614.941
"LBR",0
"LBY",36711295505.0144
"LCA",0
"LKA",259078099493.146
"LSO",111725916666.667
"LTU",10119652298421.8
"LUX",476138052711.975
"LVA",6574119509663.54
"MAC",1179049136.23523
"MAR",100880827585.326
"MDA",2533040214249.76
"MDG",224803266.05039
"MDV",1311772692.17626
"MEX",1734023396575.05
"MKD",119050460051.498
"MLI",4671512714.23433
"MLT",41952863360.6544
"MMR",9538300.22156492
"MNE",13320449965.9761
"MNG",3831691062.52679
"MOZ",129131943938.628
"MRT",1230412127.3559
"MUS",111036961108.805
"MWI",696358903.443024
"MYS",671350261104.571
"NAM",13898556458.271
"NCL",9088016.50097603
"NER",18148214209.107
"NGA",14083837924.1053
"NIC",22402860846.1454
"NLD",4563141049227.65
"NOR",34563700682.6128
"NPL",20362034918.2088
"NZL",140755064909.187
"OMN",1110490156678.13
"PAK",2212484909312.81
"PAN",0
"PER",66720808180.7661
"PHL",33457937678.1969
"PNG",0
"POL",15035028867792.6
"PRK",41822951.6598647
"PRT",541301326485.216
"PRY",2555230919173.19
"PSE",227945937.928447
"PYF",0
"QAT",34543695521.4717
"ROU",18713502361401.3
"RUS",95077508384198.9
"RWA",207854498.392033
"SAU",460376756144.557
"SDN",222849649.953382
"SEN",73177616708.198
"SGP",133769339226.451
"SLB",0
"SLE",20800632.6540182
"SLV",0
"SOM",112542791.485766
"SRB",2460307865699.64
"SSD",0
"STP",171497.231108591
"SUR",2351977223.28694
"SVK",4362217048312.64
"SVN",437273828080.158
"SWE",3845686649465.44
"SWZ",305010476.817519
"SYC",3027396032.949
"SYR",43955352937.0626
"TCD",0
"TGO",16081044408.7674
"THA",289665324027.791
"TJK",27950000
"TKM",63103513333.3333
"TLS",0
"TON",0
"TTO",0
"TUN",357534914085.658
"TUR",18786258717138.9
"TUV",0
"TWN",0
"TZA",128506132111.35
"UGA",149966712392.067
"UKR",53803304528764.9
"URY",1250043068122.79
"USA",35194619594519.9
"UZB",42002220000
"VCT",0
"VEN",0
"VNM",577420452990.899
"VUT",0
"YEM",3181863943.79194
"ZAF",983615925973.154
"ZMB",40319275627.947
"ZWE",10599154635.0202
