"iso3","Country","Year","Value"
"SRB","Serbia",1,43186580000
"SSD","South Sudan",1,299434013333.333
"STP","Sao Tome and Principe",1,2732426666.66667
"SUR","Suriname",1,33132483333.3333
"SVK","Slovakia",1,363128065000
"SVN","Slovenia",1,497585145000
"SWE","Sweden",1,157535587083.333
"SWZ","Swaziland",1,422221667777.778
"SYC","Seychelles",1,5079791666.66667
"SYR","Syrian Arab Republic",1,773552383333.333
"TCD","Chad",1,29253333.3333333
"TGO","Togo",1,2867553333.33333
"THA","Thailand",1,194918308333.333
"TJK","Tajikistan",1,2787916666.66667
"TKM","Turkmenistan",1,4872043333.33333
"TLS","Timor-Leste",1,421400000
"TON","Tonga",1,72263333.3333333
"TTO","Trinidad and Tobago",1,351077140000
"TUN","Tunisia",1,2667605368333.33
"TUR","Turkey",1,7157253594583.33
"TUV","Tuvalu",1,2420000
"TWN","Taiwan",1,14915117409166.7
"TZA","United Republic of Tanzania",1,265945070000
"UGA","Uganda",1,14290399722.2222
"UKR","Ukraine",1,122934998333.333
"URY","Uruguay",1,740113831666.667
"USA","United States of America",1,4569671562916.67
"UZB","Uzbekistan",1,206304888333.333
"VCT","Saint Vincent and the Grenadines",1,22918306666.6667
"VEN","Venezuela (Bolivarian Republic of)",1,5598184216666.67
"VNM","Viet Nam",1,21115730010000
"VUT","Vanuatu",1,133503333.333333
"YEM","Yemen",1,1134295581944.44
"ZAF","South Africa",1,4263185860555.56
"ZMB","Zambia",1,23268455000
"ZWE","Zimbabwe",1,1464949804722.22
