"iso3","Country.x","Year","Value"
"AFG","Afghanistan",1,339273333.333333
"ALB","Albania",1,10132250000
"ANT","Netherlands Antilles",1,0
"ARB","Aruba",1,190603333.333333
"ARE","United Arab Emirates",1,890038925000
"ARG","Argentina",1,32350246990000
"ARM","Armenia",1,2471511666.66667
"ATG","Antigua and Barbuda",1,16071506666.6667
"AUS","Australia",1,61453454426666.7
"AUT","Austria",1,3906900751666.67
"AZE","Azerbaijan",1,3249813333.33333
"BDI","Burundi",1,39635826666.6667
"BEL","Belgium",1,6560855545000
"BEN","Benin",1,3197680000
"BFA","Burkina Faso",1,578375000
"BGD","Bangladesh",1,48861513333.3333
"BGR","Bulgaria",1,13389775161666.7
"BHR","Bahrain",1,8840396666.66667
"BHS","Bahamas",1,59358333.3333333
"BIH","Bosnia and Herzegovina",1,453286175000
"BLR","Belarus",1,343383911666.667
"BLZ","Belize",1,13513333.3333333
"BMU","Bermuda",1,5187270000
"BOL","Bolivia (Plurinational State of)",1,2096020116.66667
"BRA","Brazil",1,3527212836666.67
"BRB","Barbados",1,22985543333.3333
"BRN","Brunei Darussalam",1,378216666.666667
"BTN","Bhutan",1,0
"BWA","Botswana",1,1535733333.33333
"CAF","Central African Republic",1,0
"CAN","Canada",1,75046108298333.3
"CHE","Switzerland",1,1789440105000
"CHL","Chile",1,34143606666.6667
"CHN","China (mainland)",1,1628859680000
"CIV","Cote dIvoire",1,312080390000
"CMR","Cameroon",1,17730401666.6667
"COD","Democratic Republic of the Congo",1,2930860000
"COG","Congo",1,0
"COK","Cook Islands",1,0
"COL","Colombia",1,120245200000
"COM","Comoros",1,0
"CPV","Cape Verde",1,451010000
"CRI","Costa Rica",1,290161351666.667
"CUB","Cuba",1,29136666.6666667
"CYP","Cyprus",1,122657550000
"CZE","Czech Republic",1,10566630595000
"DEU","Germany",1,38622312190000
"DJI","Djibouti",1,25460000
"DMA","Dominica",1,188540000
"DNK","Denmark",1,3869071235000
"DOM","Dominican Republic",1,23808536666.6667
"DZA","Algeria",1,31350561666.6667
"ECU","Ecuador",1,15765066666.6667
"EGY","Egypt",1,702285703333.333
"ERI","Eritrea",1,3640000
"ESP","Spain",1,3831507516666.67
"EST","Estonia",1,1728184160000
"ETH","Ethiopia",1,13751155000
"FIN","Finland",1,966302618333.333
"FJI","Fiji",1,104574428333.333
"FRA","France",1,63617971693333.3
"FRO","Faroe Islands",1,2490000
"GAB","Gabon",1,2260886666.66667
"GBR","United Kingdom",1,8469073341666.67
"GEO","Georgia",1,22861716666.6667
"GHA","Ghana",1,228065151666.667
"GIN","Guinea",1,1817460000
"GMB","Gambia",1,389395000
"GNB","Guinea-Bissau",1,0
"GNQ","Equatorial Guinea",1,0
"GRC","Greece",1,1493402643333.33
"GRD","Grenada",1,9140056666.66667
"GRL","Greenland",1,0
"GTM","Guatemala",1,357869123333.333
"GUY","Guyana",1,11643058333.3333
"HKG","Hong Kong SAR, China",1,195811971666.667
"HND","Honduras",1,191633801666.667
"HRV","Croatia",1,1269336678333.33
"HTI","Haiti",1,1710336666.66667
"HUN","Hungary",1,9801742826666.67
"IDN","Indonesia",1,769418751666.667
"IND","India",1,2879930185000
"IRL","Ireland",1,543343113333.333
"IRN","Iran (Islamic Republic of)",1,993184181666.667
"IRQ","Iraq",1,508253333.333333
"ISL","Iceland",1,365316666.666667
"ISR","Israel",1,68021996666.6667
"ITA","Italy",1,10150804885000
"JAM","Jamaica",1,30023598333.3333
"JOR","Jordan",1,97131978333.3333
"JPN","Japan",1,678212745000
"KAZ","Kazakhstan",1,3666875317983.33
"KEN","Kenya",1,25990413333.3333
"KGZ","Kyrgyzstan",1,11779808333.3333
"KHM","Cambodia",1,3145923333.33333
"KIR","Kiribati",1,2446666.66666667
"KNA","Saint Kitts and Nevis",1,830000
"KOR","Republic of Korea",1,434207963333.333
"KWT","Kuwait",1,349390415000
"LAO","Lao People's Democratic Republic",1,78850000
"LBN","Lebanon",1,139230231666.667
"LBR","Liberia",1,30350000
"LBY","Libya",1,34889680000
"LCA","Saint Lucia",1,315910000
"LKA","Sri Lanka",1,264672721666.667
"LSO","Lesotho",1,111725916666.667
"LTU","Lithuania",1,9754142883333.33
"LUX","Luxembourg",1,472104340000
"LVA","Latvia",1,6489012570000
"MAC","Macao SAR, China",1,2981381666.66667
"MAR","Morocco",1,99992345000
"MDA","Republic of Moldova",1,2092422216666.67
"MDG","Madagascar",1,226543333.333333
"MDV","Maldives",1,1670760000
"MEX","Mexico",1,5771665073333.33
"MKD","The former Yugoslav Republic of Macedonia",1,119304955000
"MLI","Mali",1,4625083333.33333
"MLT","Malta",1,45698710000
"MMR","Myanmar",1,1204040000
"MNE","Montenegro",1,13351536666.6667
"MNG","Mongolia",1,3862855000
"MOZ","Mozambique",1,133395316666.667
"MRT","Mauritania",1,1151296666.66667
"MUS","Mauritius",1,115262163333.333
"MWI","Malawi",1,708250000
"MYS","Malaysia",1,1004164531666.67
"NAM","Namibia",1,15563721666.6667
"NCL","New Caledonia",1,85830000
"NER","Niger",1,18416550000
"NGA","Nigeria",1,22330710000
"NIC","Nicaragua",1,55849841666.6667
"NLD","Netherlands",1,4591368563333.33
"NOR","Norway",1,31658758333.3333
"NPL","Nepal",1,6731380150
"NZL","New Zealand",1,111958306666.667
"OMN","Oman",1,1063228440000
"PAK","Pakistan",1,2197490803333.33
"PAN","Panama",1,52640016666.6667
"PER","Peru",1,329299981666.667
"PHL","Philippines",1,271598895000
"PNG","Papua New Guinea",1,534893333.333333
"POL","Poland",1,14364248390000
"PRK","Democratic People's Republic of Korea",1,43343333.3333333
"PRT","Portugal",1,589402930000
"PRY","Paraguay",1,2406213198333.33
"PSE","Occupied Palestinian Territory",1,239596666.666667
"PYF","French Polynesia",1,1230000
"QAT","Qatar",1,36592366666.6667
"ROU","Romania",1,17876629253333.3
"RUS","Russian Federation",1,85669010843333.3
"RWA","Rwanda",1,203873333.333333
"SAU","Saudi Arabia",1,416908393333.333
"SDN","Sudan",1,26926666.6666667
"SEN","Senegal",1,70740491666.6667
"SGP","Singapore",1,402123786666.667
"SLB","Solomon Islands",1,0
"SLE","Sierra Leone",1,23336666.6666667
"SLV","El Salvador",1,357684213333.333
"SOM","Somalia",1,115083333.333333
"SRB","Serbia",1,2443399888333.33
"SSD","South Sudan",1,0
"STP","Sao Tome and Principe",1,1230000
"SUR","Suriname",1,3263236666.66667
"SVK","Slovakia",1,4318688731666.67
"SVN","Slovenia",1,426291270000
"SWE","Sweden",1,3760067400000
"SWZ","Swaziland",1,334923333.333333
"SYC","Seychelles",1,3423556666.66667
"SYR","Syrian Arab Republic",1,38198212933.3333
"TCD","Chad",1,0
"TGO","Togo",1,15696280000
"THA","Thailand",1,651678910000
"TJK","Tajikistan",1,27950000
"TKM","Turkmenistan",1,63103513333.3333
"TLS","Timor-Leste",1,0
"TON","Tonga",1,0
"TTO","Trinidad and Tobago",1,48849626666.6667
"TUN","Tunisia",1,334035778333.333
"TUR","Turkey",1,14906154261666.7
"TUV","Tuvalu",1,4893333.33333333
"TWN","Taiwan",1,259694856666.667
"TZA","United Republic of Tanzania",1,132471415000
"UGA","Uganda",1,148470181666.667
"UKR","Ukraine",1,53253354528333.3
"URY","Uruguay",1,1228322520000
"USA","United States of America",1,82704786305000
"UZB","Uzbekistan",1,42002220000
"VCT","Saint Vincent and the Grenadines",1,46423220000
"VEN","Venezuela (Bolivarian Republic of)",1,227193333.333333
"VNM","Viet Nam",1,822554536666.667
"VUT","Vanuatu",1,8590000
"YEM","Yemen",1,3627220000
"ZAF","South Africa",1,957938121666.667
"ZMB","Zambia",1,39368975000
"ZWE","Zimbabwe",1,8997330000
