iso3,year_1
UKR,0.33
AFG,0.50
ARG,0.50
BOL,0.50
CHN,0.50
ETH,0.50
GUI,0.50
IND,0.50
KAZ,0.50
NPL,0.50
PAK,0.50
SRB,0.50
SYR,0.50
TZA,0.50
