iso3,year_1
UKR,0.33
AFG,0.75
ARG,0.75
BOL,0.75
CHN,0.75
ETH,0.75
GUI,0.75
IND,0.75
KAZ,0.75
NPL,0.75
PAK,0.75
SRB,0.75
SYR,0.75
TZA,0.75
RUS,0.10
