cropid,cropname,primary(1)_secondary(2)_feed(3),Edible_(1 yes)_(0isno)_(2isnonnutritinoal),ProductionL,TradeL,FBS ID,FBS name,group,kcal/ton,Protein(g/ton),Fat(g/ton),Group,Groupnum
56,Maize,1,1,1,1,2514,Maize,Cereals,3560000,95000,43000,1 - CEREALS AND CEREAL PRODUCTS,1
446,"Maize, green",1,1,1,1,2605,"Vegetables, Other",Fruits&Vegs,560000,21000,8000,7 - VEGETABLES AND DERIVED PRODUCTS,7
