"iso3","R0"
"ARM",208193333333.333
"AFG",1417273333333.33
"ALB",2.8724e+11
"DZA",16818013333333.3
"ATG",0
"ARG",5114653333333.33
"AUS",1.298926e+13
"AUT",590664483068.419
"BHS",0
"BHR",1.2358e+11
"BRB",0
"BGD",5843886666666.67
"BMU",0
"BTN",0
"BOL",6.8136e+11
"BWA",0
"BRA",3.48362e+12
"ARB",0
"BLZ",0
"SLB",0
"BRN",0
"BGR",1895823822807.99
"MMR",405253333333.333
"BDI",0
"CMR",1.67e+10
"CAN",20342826666666.7
"CPV",0
"CAF",0
"LKA",1.32932e+12
"TCD",0
"CHL",1732346666666.67
"CHN",464940246666667
"COL",1628806666666.67
"COM",0
"COG",0
"COK",0
"CRI",288353333333.333
"CUB",0
"CYP",6799330805.65562
"AZE",8.8844e+11
"BEN",0
"DNK",1595853984807.42
"DMA",0
"DOM",279446666666.667
"BLR",2138713333333.33
"ECU",465373333333.333
"EGY",14177186666666.7
"SLV",214873333333.333
"GNQ",0
"EST",224189820961.336
"FRO",0
"FJI",55666666666.6667
"FIN",299682394881.332
"FRA",12555764659656.2
"PYF",0
"DJI",0
"GEO",346246666666.667
"GAB",0
"GMB",0
"DEU",8602883651191.32
"BIH",566686666666.667
"GHA",6.9472e+11
"KIR",0
"GRC",500139727596.221
"GRL",0
"GRD",0
"GTM",456466666666.667
"GIN",379646666666.667
"GUY",1.336e+10
"HTI",7.682e+10
"HND",97973333333.3333
"HKG",0
"HUN",1843177771668.77
"HRV",277519057324.187
"ISL",0
"IND",61146493333333.3
"IDN",5807146666666.67
"IRN",1.835664e+13
"IRQ",3177453333333.33
"IRL",230198138428.542
"ISR",1842566666666.67
"ITA",2559135686946.44
"CIV",0
"KAZ",5518793333333.33
"JAM",0
"JPN",3915593333333.33
"JOR",1.39946e+12
"KGZ",508793333333.333
"KEN",863946666666.667
"KHM",0
"PRK",0
"KOR",5.09016e+12
"KWT",0
"LVA",733890214582.589
"LAO",0
"LBN",4.9098e+11
"LSO",0
"LBR",0
"LBY",362946666666.667
"LTU",1384377781514.13
"MAC",0
"MDG",0
"MWI",28946666666.6667
"MYS",1.19906e+12
"MDV",0
"MLI",69026666666.6667
"MLT",0
"MRT",268313333333.333
"MUS",52326666666.6667
"MEX",1955013333333.33
"MNG",0
"MAR",15772593333333.3
"MOZ",2.1042e+11
"MDA",675793333333.333
"NAM",22266666666.6667
"NPL",0
"NLD",385333834663.716
"ANT",0
"NCL",0
"MKD",0
"VUT",0
"NZL",889553333333.333
"NIC",24493333333.3333
"NER",0
"NGA",777106666666.667
"NOR",1.12892e+12
"PAK",9289653333333.33
"PAN",4.008e+10
"CZE",1767451162450.19
"PNG",199286666666.667
"PRY",680246666666.667
"PER",973053333333.333
"PHL",7115313333333.33
"POL",3789189978989.07
"PRT",26597222203.8322
"GNB",0
"TLS",0
"ERI",0
"QAT",0
"ZWE",1.3694e+11
"ROU",2971184035484.48
"RWA",51213333333.3333
"RUS",30077813333333.3
"KNA",0
"LCA",0
"VCT",0
"STP",0
"SAU",10539926666666.7
"SEN",172566666666.667
"SYC",0
"SLE",0
"SVN",52765073125.4216
"SVK",723090843184.222
"SGP",4.509e+11
"SOM",0
"ZAF",2162093333333.33
"ESP",2211257204303.19
"SUR",0
"TJK",1871513333333.33
"SWZ",0
"SWE",1068761900529.74
"CHE",498773333333.333
"SYR",3419046666666.67
"TKM",1645506666666.67
"TWN",1106653333333.33
"TZA",3.674e+11
"THA",2.2211e+12
"TGO",75706666666.6667
"TON",0
"TTO",1.67e+10
"OMN",331773333333.333
"TUN",2707626666666.67
"TUR",11121086666666.7
"ARE",2253386666666.67
"UGA",195946666666.667
"TUV",0
"GBR",5203567501358.12
"UKR",4783993333333.33
"USA",97169506666666.7
"BFA",0
"URY",262746666666.667
"UZB",6166753333333.33
"VEN",465373333333.333
"VNM",2958126666666.67
"ETH",2737686666666.67
"YEM",1.32598e+12
"COD",27833333333.3333
"ZMB",48986666666.6667
"BEL",583037135212.084
"LUX",27230248922.0463
"SRB",1.9205e+12
"MNE",0
"SDN",1033173333333.33
"SSD",0
"PSE",0
