"","AFG","ALB","ANT","ARB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BMU","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COK","COL","COM","CPV","CRI","CUB","CYP","CZE","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ERI","ESP","EST","ETH","FIN","FJI","FRA","FRO","GAB","GBR","GEO","GHA","GIN","GMB","GNB","GNQ","GRC","GRD","GRL","GTM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KNA","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MUS","MWI","MYS","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRK","PRT","PRY","PSE","PYF","QAT","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TUV","TWN","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VNM","VUT","YEM","ZAF","ZMB","ZWE"
"Barbados",0,0,0,0,1223333.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2739856666.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230000,0,47336666.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410966666.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49200000,0,0,0,0,0,0,0,0,0,0,0
"Bangladesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38923733333.3333,0,0,0,0,0,4920000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2226666.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bermuda",8203333.33333333,31670000,0,250146666.666667,12995306666.6667,4920000,54120000,0,7892910000,33371126666.6667,25830000,122400000,0,828260000,12293333.3333333,60270000,2157926666.66667,1135466666.66667,72570000,290266666.666667,117163333.333333,0,0,0,11676030000,2460000,8610000,0,0,883336666.666667,8371363333.33333,24740093333.3333,2340456666.66667,6745200000,278463333.333333,440590000,61729416666.6667,20057773333.3333,12300000,80923333.3333333,2088146666.66667,1223333.33333333,237390000,207783333.333333,3187186666.66667,28480190000,560527373333.333,14984666666.6667,0,37212446666.6667,0,610410000,0,1921260000,0,84609676666.6667,2056560000,55350000,28186913333.3333,0,1143020413333.33,6150000,157090000,328284260000,34423333.3333333,835630000,2512613333.33333,1356846666.66667,0,0,14599050000,0,78706666.6666667,230470000,0,1823880000,6150000,2280930000,0,8456243333.33333,258946666.666667,98390000,13662096666.6667,179580000,0,3881333333.33333,2237096666.66667,104816053333.333,2460000,325510000,4253823333.33333,193110000,100860000,3690000,1223333.33333333,0,673400000,6099506666.66667,5834616666.66667,0,6466143333.33333,0,628856666.666667,0,0,0,2482500000,137939973333.333,1533590000,9806666.66666667,2518993333.33333,97143333.3333333,60216666.6666667,150473333.333333,571083333.333333,15990000,83593333.3333333,2684856666.66667,0,51660000,2460000,0,47970000,547270000,0,215943333.333333,32373333.3333333,212790000,183020000,1756563333.33333,4920000,3205060033333.33,39148173333.3333,3690000,915086666.666667,350506666.666667,34440000,347216666.666667,22140000,144616666.666667,58240000,23866680000,0,10696720000,2460000,0,4282853333.33333,2345120000,13914810000,15319146666.6667,272223333.333333,13651493333.3333,0,256330000,1658586666.66667,0,3532210000,13530000,0,456303333.333333,0,1168656666.66667,2597713333.33333,3980143333.33333,2929670000,51043320000,0,86480000,2460000,0,107136666.666667,1849533333.33333,0,0,0,0,87330000,89790000,8748503333.33333,0,1466133333.33333,29480000,8180000,664583333.333333,12300000,45479300000,0,0,145600000,0,0,113160000,1254273333.33333,13530000,0
"Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,281980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99630000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31940000,0,0,0,0,0,0,0,0,0,0,0,215710000,4.55e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213333.33333333,0,0,0,0,91913333.3333333,0,0,0,0,0,0,0,1213333.33333333,0,0,0,0,0,0,3690000,0,0,0,0,0,0,0,0,0
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2446666.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20910000,0,0,0,0,0,0,0,0,0,0,0,25923333.3333333,14760000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Botswana",0,0,0,0,1931963333.33333,0,0,0,1226233333.33333,0,0,0,157873333.333333,8610000,4920000,0,0,387620000,0,0,0,0,0,0,0,0,195130000,618690000,0,0,703393333.333333,2060000,0,118570000,8563333.33333333,0,0,0,0,0,1230000,11070000,0,0,62566666.6666667,0,9426666.66666667,9840000,0,3670000,0,0,0,0,0,0,0,2460000,0,8210000,27890000,0,0,9008443333.33333,0,268140000,11070000,31980000,0,0,31553333.3333333,0,0,0,2460000,39390000,0,0,0,0,0,7518890000,18103333.3333333,0,0,0,0,449383333.333333,0,272460000,13523333.3333333,0,1230000,0,4150000,0,0,167930000,458396666.666667,0,142740000,0,0,0,0,0,0,0,0,0,0,0,3690000,82320000,0,0,0,0,0,0,8210000,0,100860000,296216666.666667,0,4641813333.33333,0,0,0,0,0,8610000,0,1313430000,61590000,1286833333.33333,1223333.33333333,0,0,0,19680000,0,0,16033333.3333333,0,0,0,2331656666.66667,0,0,0,3285406666.66667,0,0,3078193333.33333,0,3670000,0,0,0,0,0,6150000,0,0,18430000,0,0,0,0,0,7810000,0,0,0,0,830000,0,0,0,0,0,0,0,0,7020270000,0,0,0,0,1230000,0,375443333.333333,0,0
"Brazil",0,7462606666.66667,0,0,985913333.333333,7470000,103700000,0,55650000,4058460000,1028740000,0,78856416666.6667,0,0,5.511e+10,0,128620000,0,5030503333.33333,419150000,0,0,0,4150000,0,3290000,0,0,0,201400000,845973333.333333,139050000,787483333.333333,3690000,0,0,0,0,0,0,0,105410000,0,45090316666.6667,4249350000,8337256666.66667,141460133333.333,0,704230000,0,12193740000,9960000,176151113333.333,0,3779266566666.67,30750000,259372153333.333,23400000,1230000,184131780000,0,61500000,88094793333.3333,1701753333.33333,1428126666.66667,1230000,0,0,0,1369702566666.67,0,0,0,0,140490000,0,4361996666.66667,0,4674606666.66667,156893423333.333,325016960000,8610000,23370000,0,1230000,3532240000,1595330896666.67,0,487030000,249690000,14760000,1230000,40650000,1230000,0,0,349928750000,288006666.666667,0,36982780000,0,713725323333.333,0,0,0,133420000,830000,128440000,0,272851926666.667,569430000,0,1230000,46730000,8922470000,2446666.66666667,203750000,0,2764520000,0,0,14202793333.3333,203390000,0,131110000,0,0,0,20910000,9960000,113218266666.667,11070000,0,58810000,0,357930000,63420000,25830000,58619973333.3333,0,3950073333.33333,0,243420823333.333,33200000,0,0,161210000,1672452486666.67,243280000,0,760780000,0,0,108450000,0,0,6210000,0,11322626666.6667,0,0,8610000,2483530000,4363890000,52504710000,0,14713333.3333333,100832373333.333,0,0,31980000,0,0,0,0,71340000,268250776666.667,156095366666.667,0,3720000,0,0,2527806666.66667,176220000,3436610000,0,0,0,0,0,72706960000,42340000,0,0
"Aruba",0,0,0,0,109063333.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41680000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63960000,2460000,0,0,0,0,0,0,0,0,0,0,0,67650000,0,2426666.66666667,0,0,0,0,0,0,0,0,0,239236666.666667,0,0,0,9776410000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3640000,46740000,0,0,0
"Belize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3690000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67283333.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230000,0,0,0,0,0,0,0,0,0
"Solomon Islands",0,626496666.666667,0,0,23280000,0,0,0,201366666.666667,614556666.666667,0,0,83640000,0,0,0,656820000,9706666.66666667,0,0,0,0,0,0,0,0,0,0,0,0,119270000,136363333.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,31980000,698073333.333333,0,0,1168500000,0,0,0,0,0,22140000,0,0,15990000,0,55350000,0,0,1124720000,0,0,0,0,0,0,12300000,0,0,0,0,0,0,23146870000,0,201720000,0,0,0,0,0,0,6150000,413046666.666667,0,0,0,0,0,0,0,0,0,0,3690000,0,0,0,60270000,0,0,0,0,0,0,0,3690000,0,0,0,0,18139873333.3333,0,1230000,0,19274373333.3333,0,0,0,0,0,0,0,0,0,0,0,345060000,24316666.6666667,0,0,0,0,0,0,0,0,3690000,0,0,0,0,0,2443333.33333333,130380000,87330000,0,0,0,0,0,0,0,0,0,7542706666.66667,0,0,0,4920000,2579630000,2605360000,0,0,0,0,0,0,0,0,0,0,0,0,367991506666.667,0,0,0,0,0,0,1477270000,0,0,0,0,0,0,0,0,0
