"iso3","R0"
"ARM",2.1376e+11
"AFG",1.99064e+12
"ALB",2.0875e+11
"DZA",1.844181e+13
"AGO",4.9098e+11
"ATG",0
"ARG",7.47993e+12
"AUS",1.17067e+13
"AUT",445891277978.292
"BHS",0
"BHR",9.519e+10
"BRB",0
"BGD",6.50632e+12
"BMU",0
"BTN",0
"BOL",8.2832e+11
"BWA",0
"BRA",1.99064e+12
"ARB",0
"BLZ",0
"SLB",0
"BRN",0
"BGR",1537966010408.66
"MMR",3.7074e+11
"BDI",0
"CMR",1.67e+10
"CAN",1.868229e+13
"CPV",0
"CAF",0
"LKA",1.0187e+12
"TCD",0
"CHL",9.5691e+11
"CHN",4.9120545e+14
"COL",1.76352e+12
"COM",0
"COG",0
"COK",0
"CRI",3.2732e+11
"CUB",0
"CYP",8465672808.97766
"AZE",1.0855e+12
"BEN",0
"DNK",1197911203963.39
"DMA",0
"DOM",4.6092e+11
"BLR",2.34134e+12
"ECU",6.7969e+11
"EGY",1.39946e+13
"SLV",1.2358e+11
"GNQ",0
"EST",231611228757.077
"FRO",0
"FJI",5.511e+10
"FIN",220513774983.78
"FRA",9747207274003.77
"PYF",0
"DJI",0
"GEO",5.1102e+11
"GAB",0
"GMB",0
"DEU",6212446300158.07
"BIH",5.2605e+11
"GHA",1.00534e+12
"KIR",0
"GRC",284359809809.091
"GRL",0
"GRD",0
"GTM",6.8637e+11
"GIN",3.5404e+11
"GUY",2.004e+10
"HTI",9.352e+10
"HND",8.684e+10
"HKG",0
"HUN",1442106007504.01
"HRV",229135892930.266
"ISL",0
"IND",8.7675e+13
"IDN",5.75482e+12
"IRN",1.523374e+13
"IRQ",3.48028e+12
"IRL",132598378343.068
"ISR",1.38276e+12
"ITA",1847155919769.17
"CIV",0
"KAZ",3.57046e+12
"JAM",0
"JPN",3.76251e+12
"JOR",1.49632e+12
"KGZ",5.0434e+11
"KEN",1.39445e+12
"KHM",0
"PRK",0
"KOR",5.20038e+12
"KWT",0
"LVA",689581972709.284
"LAO",0
"LBN",4.3086e+11
"LSO",0
"LBR",0
"LBY",5.7281e+11
"LTU",1185831081124.42
"MAC",0
"MDG",0
"MWI",2.505e+10
"MYS",1.05377e+12
"MDV",0
"MLI",1.2525e+11
"MLT",0
"MRT",1.7201e+11
"MUS",6.68e+10
"MEX",1.08049e+12
"MNG",0
"MAR",7.94586e+12
"MOZ",4.4589e+11
"MDA",2.8056e+11
"NAM",2.839e+10
"NPL",0
"NLD",283775205319.599
"ANT",0
"NCL",0
"MKD",0
"VUT",0
"NZL",8.2164e+11
"NIC",8.517e+10
"NER",0
"NGA",1.81529e+12
"NOR",1.05377e+12
"PAK",6.42115e+12
"PAN",3.006e+10
"CZE",1333228311610.27
"PNG",2.2378e+11
"PRY",2.15931e+12
"PER",1.04542e+12
"PHL",6.89376e+12
"POL",3184787660070.44
"PRT",22019938350.0904
"GNB",0
"TLS",0
"ERI",0
"QAT",0
"ZWE",1.9372e+11
"ROU",2352684485024.13
"RWA",8.016e+10
"RUS",3.107536e+13
"KNA",0
"LCA",0
"VCT",0
"STP",0
"SAU",9.87805e+12
"SEN",1.1356e+11
"SYC",0
"SLE",0
"SVN",40836713267.7307
"SVK",558375910009.859
"SGP",4.7261e+11
"SOM",0
"ZAF",1.54642e+12
"ESP",1940042430083.87
"SUR",0
"TJK",1.65497e+12
"SWZ",0
"SWE",919385014056.985
"CHE",3.4736e+11
"SYR",6.59984e+12
"TKM",1.91549e+12
"TWN",7.0474e+11
"TZA",5.0935e+11
"THA",2.57681e+12
"TGO",6.346e+10
"TON",0
"TTO",1.336e+10
"OMN",1.9706e+11
"TUN",2.78556e+12
"TUR",1.369066e+13
"ARE",1.98396e+12
"UGA",1.9372e+11
"TUV",0
"GBR",3575206535785.19
"UKR",5.02503e+12
"USA",8.514662e+13
"BFA",0
"URY",1.8704e+11
"UZB",5.6279e+12
"VEN",6.2291e+11
"VNM",2.86572e+12
"ETH",3.0895e+12
"YEM",2.01903e+12
"COD",1.4863e+11
"ZMB",7.014e+10
"BEL",500742237280.107
"LUX",21263753890.4145
"SRB",1.88543e+12
"MNE",0
"SDN",1.18069e+12
"SSD",0
"PSE",0
