"","year_1","year_2","year_3","year_4","year_5","year_6","year_7","year_8","year_9","year_10","year_11","year_12","year_13","year_14","year_15"
"DOM",4.846,3.464,1.598,1.331,-1.829,-4.824,-1.304,-0.084,0.82,-0.22,0.781,-4.279,-2.831,1.914,1.479
"ECU",-9.66,-6.58,-11.714,-5.322,-2.79,-5.675,-0.249,-1.398,-3.632,-4.911,-0.176,0.575,-7.044,-3.662,-4.532
"EGY",9.148,8.155,5.945,6.596,6.715,5.518,4.29,5.476,2.358,3.76,2.739,2.812,1.152,4.553,6.279
"SLV",-5.848,-14.859,-3.696,-7.258,-4.002,-2.338,-7.308,-5.64,-0.91,2.533,-1.609,-9.232,0.911,3.682,2.27
"EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETH",-3.53,-2.837,-1.174,-3.759,-1.781,-0.37,-1.448,-0.951,-2.859,-2.775,-0.77,-6.394,-1.519,-0.875,0.023
"FRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FJI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRA",-3.954,-25.022,-23.858,-21.415,-11.449,-11.63,-17.601,-6.623,-5.452,-10.848,-6.964,-7.488,-7.154,-6.934,0.374
"PYF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GMB",7.612,8.465,6.761,12.435,12.338,6.551,4.727,14.609,6.931,10.586,4.492,3.75,8.646,7.666,2.395
"GEO",-13.148,-16.127,-18.825,-10.075,-18.327,-10.614,-14.289,-6.278,-12.873,-4.298,-17.995,-2.305,-10.641,-13.894,-6.888
"DEU",-20.216,-51.771,-45.606,-40.359,-28.639,-33.694,-36.939,-16.991,-10.809,-12.849,-21.093,-10.628,-9.49,-14.512,-5.646
"GHA",0.494,2.877,2.17,2.191,-0.656,2.342,0.598,0.894,-2.995,-0.522,1.333,-1.736,0.713,-1.13,3.591
"GRC",3.647,-6.342,-11.058,-6.399,-8.554,-5.071,-1.64,0.13,-2.981,-0.064,-2.148,-0.28,-1.759,0.172,0.966
"GRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTM",-5.061,-12.064,-2.561,-4.922,-2.729,-1.561,-4.274,-7.675,-0.571,3.682,-1.39,-8.276,0.238,4.011,0.627
"GIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HND",-2.183,-1.841,-0.608,-1.181,-2.967,-0.56,-1.143,1.56,-0.967,0.642,1.21,-2.705,-3.713,-0.843,-3.402
"HKG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUN",-1.536,-6.566,-9.913,-4.345,4.829,-3.889,3.172,2.595,-2.974,-6.16,1.428,5.434,-4.165,8.117,-0.219
"ISL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IND",-3.405,0.653,-0.082,-3.783,-2.736,-1.452,-1.518,-0.759,-0.748,-2.061,-2.59,-3.153,-1.58,-0.743,-0.427
"IDN",-9.036,-6.146,-3.627,-9.979,-3.863,-4.751,-7.066,-11.102,4.351,-5.444,-7.489,3.698,1.03,-5.611,-5.122
