"country","depth_by_sim","countries_hit_by_sim","links_hit_by_sim","total_dC_by_sim","avg_dS_S0_by_sim_rank"
"IND",3,157,1831,-0.810797543650321,1.36352708575099e-05
"IDN",3,146,1113,-0.595257248797301,1.29108784257751e-05
"IRN",4,142,835,-0.152069005176715,1.23166133064547e-05
"IRQ",4,119,388,-0.00632383068413713,1.15068125223097e-05
"IRL",4,152,1045,-0.00821339634705184,1.10135077875249e-05
"ISR",0,1,0,0,9.85614494965882e-06
"ITA",3,165,1880,-0.00851359267895085,9.36285128537657e-06
"JAM",0,1,0,0,8.79545013734865e-06
"JPN",4,146,861,-0.00332073787080022,8.25404319726176e-06
"JOR",0,1,0,0,7.87205937255819e-06
"KAZ",4,139,663,-0.0526354636867291,7.605517372278e-06
"KEN",4,145,796,-0.00792422523860348,7.16399047299637e-06
"KWT",2,56,55,-0.00217539800771154,6.75737308295055e-06
"KGZ",3,47,75,-0.415694671744887,6.42438680257404e-06
"LAO",2,7,6,-0.877705522488839,6.17690133949536e-06
"LVA",2,59,80,-0.00814709794198634,5.74848205464064e-06
"LBN",3,144,577,-0.00873919220785185,5.5420843208279e-06
"LSO",3,20,28,-0.419133955877894,5.30709797193354e-06
"LBR",3,105,185,-0.0101284273045136,4.93616839817649e-06
"LBY",3,119,220,-0.00504606344538311,4.5540001528221e-06
"LTU",3,117,587,-0.00823840133955281,4.21290300818746e-06
"LUX",2,35,50,-0.00813363137852754,3.78816673620648e-06
"MDG",3,137,581,-0.804106374842108,3.61296356788341e-06
"MWI",4,52,104,-0.674582480680052,3.45291709409325e-06
"MYS",3,151,1097,-0.00349626332675519,3.32986805145938e-06
"MLI",4,90,344,-0.82309718707386,3.16160163827414e-06
"MRT",2,47,46,-0.01001615120763,2.93883770661965e-06
"MUS",3,51,79,-0.0476884076776171,2.85428586184585e-06
"MEX",3,119,273,-0.00813650054664431,2.71233443925726e-06
"MNG",3,100,179,-0.0100026066024268,2.57083250423441e-06
"MNE",2,18,19,-0.01,2.40296830163116e-06
"MAR",4,143,1007,-0.00364816825916029,2.23766661789756e-06
"MOZ",3,136,452,-0.00867318458373933,2.03541022840472e-06
"MMR",4,120,444,-0.946722723652266,1.92641123581606e-06
"NAM",2,23,22,-0.00982486500765328,1.79057864873874e-06
"NPL",3,99,169,-0.928572565317771,1.71335312320675e-06
"NLD",3,161,1295,-0.0083029325670973,1.59985859198888e-06
"NZL",4,141,536,-0.00614006624499209,1.49285380831399e-06
"NIC",2,37,45,-0.00701665334999648,1.39848882439592e-06
"NER",3,59,137,-0.88666743730925,1.33771060936424e-06
"NGA",3,110,242,-0.508477248502047,1.26904244148319e-06
"NOR",3,144,545,-0.00531550780669385,1.15109174175089e-06
"PSE",2,19,18,-0.00999999999999994,9.97876804925733e-07
"OMN",3,90,145,-0.000802814171682067,9.37689229291984e-07
"PAK",3,158,1843,-0.503639406626764,9.03615834426455e-07
"PAN",2,54,64,-0.00566711214172996,8.51161833987097e-07
"PNG",0,1,0,0,7.77230390602601e-07
"PRY",2,22,31,-0.00365163543567377,7.30144446597885e-07
"PER",3,76,127,-0.00735618329221766,6.03224606798777e-07
"PHL",4,141,789,-0.107054094257946,5.50586729559618e-07
"POL",4,150,815,-0.577828197565574,4.92983962760142e-07
"PRT",3,114,343,-0.00824935112184395,4.08191116159293e-07
"QAT",3,115,277,-0.0133645427559704,3.77341959426664e-07
"KOR",3,124,380,-0.00298590556791934,3.52972677152309e-07
"MDA",3,86,136,-0.304453194962984,3.23663175814339e-07
"ROU",4,140,911,-0.591343329718964,2.8272697415872e-07
"RUS",4,158,1994,-0.456210524953081,2.61745994161328e-07
"RWA",4,77,251,-0.677490303064479,2.44788570683158e-07
"SAU",0,1,0,0,2.12123889668235e-07
"SEN",4,122,578,-0.00625123290426516,1.78239770913159e-07
"SRB",3,89,295,-0.477953715873341,1.59700673897254e-07
"SRB",3,89,295,-0.477953715873341,1.39813997375221e-07
"SLE",3,115,200,-0.552219969976211,1.23220476723523e-07
"SVK",4,131,449,-0.0251822826645504,1.00918184953795e-07
"SVN",2,60,110,-0.00812484641808631,8.12669728242886e-08
"SLB",3,99,159,-0.0100998302797232,7.62603082695326e-08
"SOM",4,138,671,-0.0120527195497194,6.92545635790503e-08
"ZAF",3,149,1277,-0.114667548453519,5.51735082754235e-08
"ESP",3,158,1461,-0.00850262212685313,5.26823088212242e-08
"LKA",4,139,645,-0.00797782521947221,3.81293558567387e-08
"SDN",4,137,545,-0.0085017431336782,3.36160013174011e-08
"SUR",2,36,35,-0.186327275453724,2.64349240101496e-08
"SWZ",2,20,28,-0.194346877078732,1.9630765738841e-08
"SWE",4,146,764,-0.0081911408988778,1.61578635337354e-08
"CHE",3,149,611,-0.00568843064801009,1.18920055853674e-08
"SYR",0,1,0,0,9.72102448332692e-09
"TJK",2,32,31,-0.00905274340398761,7.2195021378013e-09
"THA",3,162,2091,-0.0315032389543336,6.18855391930533e-09
"MKD",2,44,79,-0.0492248228258002,4.40201548579596e-09
"TLS",2,8,7,-0.863736296029448,3.23634872451532e-09
"TGO",4,138,449,-0.00985895911180524,2.1490440538672e-09
"TTO",0,1,0,0,1.49733192712296e-09
"TUN",3,104,449,-0.00420632496300499,5.68408205809392e-10
"TUR",3,162,1871,-0.582292839830534,3.14351325497125e-10
"TKM",3,117,195,-0.670366103231952,1.7963359261938e-10
"UGA",4,123,441,-0.644831402319729,6.59387246608869e-11
"UKR",4,150,1649,-0.114425418943309,3.54779309990333e-12
"ARE",2,115,300,-0.0148059827067223,1.01099484207452e-14
"GBR",3,165,2282,-0.00957441122411471,0
"TZA",4,141,776,-0.552865996696823,0
"USA",3,166,5020,-0.344158088654395,0
"URY",3,90,174,-0.006253882340617,0
"UZB",2,35,34,-0.64526470218929,0
"VEN",3,78,186,-0.00826885679303653,0
"VNM",3,110,268,-0.803097376527716,0
"YEM",3,117,404,-0.00902588209852246,0
"ZMB",4,85,304,-0.45975651210804,0
"ZWE",4,80,232,-0.0514554787030271,0
