"country","depth_by_sim","countries_hit_by_sim","links_hit_by_sim","total_dC_by_sim","avg_dS_S0_by_sim_rank"
"AFG",4,134,492,-0.505986316611739,0.172597163062645
"ALB",3,36,58,-0.00950656797875022,0.0526050442184871
"DZA",0,1,0,0,0.0300753016534538
"AGO",4,137,582,-0.0101196262411409,0.0208836255658386
"ARG",4,161,2406,-0.0105901246434342,0.0153409266768463
"ARM",3,118,207,-0.00934783908022572,0.0110404922851043
"AUS",3,155,1837,-0.00990346573136556,0.008626224611815
"AUT",3,147,697,-0.00818547239763723,0.00696842907422681
"AZE",3,119,210,-0.00601403486039357,0.00554546568161399
"BGD",4,135,535,-0.742004407075884,0.00455107635166819
"BLR",2,45,56,-0.524429710616715,0.00359251104032422
"BEL",3,165,1631,-0.0087312910822424,0.00308560238309081
"BEN",3,138,484,-0.0101267765972162,0.00261098369028339
"BTN",2,9,8,-0.596513185374442,0.00221117787198689
"BOL",3,121,209,-0.205947503435449,0.00191619482803235
"BIH",3,44,77,-0.00714146948260573,0.00160071426671022
"BWA",2,16,15,-0.27703202560876,0.00136870526599881
"BRA",3,165,2432,-0.368736831882694,0.0011970566335228
"BGR",3,152,1009,-0.0771266692125533,0.00104009134176322
"BFA",4,111,234,-0.894487954744279,0.000887254701500157
"BDI",4,76,220,-0.329734580616912,0.000762519166720045
"KHM",3,133,341,-0.922350192041278,0.000671277861733517
"CMR",4,138,515,-0.00922839731331221,0.000592548058640755
"CAN",3,154,1516,-0.00684898312378273,0.000529288892220668
"CPV",3,40,62,-0.0104769731772809,0.00047897177412495
"CAF",2,14,13,-0.525541578222156,0.000429458573707304
"TCD",2,24,23,-0.869155888917948,0.000389868315251827
"CHL",3,76,144,-0.00725299173150988,0.000335184627589702
"CHN",4,158,1574,-0.512483756118477,0.000307472823242534
"COL",3,95,261,-0.00532861926931763,0.000279198008947716
"COM",3,137,427,-0.0138236887240431,0.000247474045935145
"COG",3,61,95,-0.0106560015216541,0.000228886603469573
"CRI",0,1,0,0,0.000208249762243411
"CIV",3,141,797,-0.00791959071105451,0.000187557875556071
"HRV",2,62,110,-0.42801036390143,0.000165137930449717
"CUB",2,41,41,-0.00934205366932069,0.000143250595274084
"CYP",3,137,508,-0.00818047349497732,0.000130098323756292
"CZE",3,108,329,-0.119872896359379,0.000116809944950549
"PRK",3,99,170,-0.646701989084856,0.000106833630422324
"COD",4,66,174,-0.212760624928462,9.79426392458233e-05
"DNK",3,162,1381,-0.165507415863725,8.93826404509255e-05
"DJI",2,35,34,-0.0162199749665784,8.17523542902479e-05
"DOM",2,40,39,-0.00433699350422948,7.58694684119947e-05
"ECU",2,34,47,-0.00754817414464769,7.0118390786048e-05
"EGY",3,152,1206,-0.00727826589644389,6.50713903452457e-05
"SLV",3,108,194,-0.00532241256567486,5.82255116552544e-05
"ERI",3,115,270,-0.00779312143038478,5.38601974116581e-05
"EST",3,124,239,-0.00815223815550224,4.88900443815488e-05
"ETH",4,123,501,-0.852886601070557,4.45361153495068e-05
"FJI",0,1,0,0,4.16656177117601e-05
"FIN",3,113,249,-0.239631891737455,3.83563951402231e-05
"FRA",3,166,3666,-0.0143459964700646,3.51273566963858e-05
"GAB",3,104,185,-0.0104299606654706,3.31682671205516e-05
"GMB",2,40,39,-0.0101409214429647,3.04940632980297e-05
"GEO",2,47,56,-0.00114187608200337,2.78611663127491e-05
"DEU",3,165,2756,-0.0108430704875454,2.61210064213674e-05
"GHA",4,137,704,-0.00843954413426382,2.39658032935717e-05
"GRC",3,148,865,-0.00841683836747842,2.27311293804837e-05
"GTM",3,108,195,-0.00731635985266324,2.09262896605839e-05
"GIN",3,106,204,-0.611925693416943,1.96729863373924e-05
"GNB",3,102,164,-0.238604274848933,1.8432239447051e-05
"GUY",3,126,354,-0.00757043854060462,1.76743371944229e-05
"HTI",2,34,33,-0.00498559035182224,1.66049520212298e-05
"HND",2,42,61,-0.00656251382916874,1.56882515699579e-05
"HUN",3,161,1782,-0.120460297498918,1.46050385188265e-05
