"","AFG","ALB","DZA","AGO","ARG","ARM","AUS","AUT","AZE","BGD","BLR","BEL","BEN","BTN","BOL","BIH","BWA","BRA","BGR","BFA","BDI","KHM","CMR","CAN","CPV","CAF","TCD","CHL","CHN","COL","COM","COG","CRI","CIV","HRV","CUB","CYP","CZE","PRK","COD","DNK","DJI","DOM","ECU","EGY","SLV","ERI","EST","ETH","FJI","FIN","FRA","GAB","GMB","GEO","DEU","GHA","GRC","GTM","GIN","GNB","GUY","HTI","HND","HUN","IND","IDN","IRN","IRQ","IRL","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LTU","LUX","MDG","MWI","MYS","MLI","MRT","MUS","MEX","MNG","MNE","MAR","MOZ","MMR","NAM","NPL","NLD","NZL","NIC","NER","NGA","NOR","PSE","OMN","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","KOR","MDA","ROU","RUS","RWA","SAU","SEN","SRB","SRB","SLE","SVK","SVN","SLB","SOM","ZAF","ESP","LKA","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","MKD","TLS","TGO","TTO","TUN","TUR","TKM","UGA","UKR","ARE","GBR","TZA","USA","URY","UZB","VEN","VNM","YEM","ZMB","ZWE"
"AFG",-0.169302636358532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.78823882191027e-05,0,0,0,0,0,0,0,-0.000146118870746521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0793111661729947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00010116795193053,0,0,0,0,0,0,0
"ALB",0,-0.00210319096707503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000138669262502761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.12754732360802e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.84003266960891e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00181577554081756,0,0,0,-5.54277474514401e-05,-5.54277474514401e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00029583287977919,0,0,-0.000394939787243796,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.95065964041061e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00013181308434294,0,0,0,0,0,0,0
"AGO",-1.43864120170209e-06,0,0,-0.00189770006265495,-0.000327621375757856,-3.30342093215253e-08,-1.05491784116598e-05,-6.24049017353118e-06,-1.85824455774532e-07,-2.61423361679629e-06,0,-8.35496446392984e-05,-2.18851843535093e-06,0,-4.47767198043078e-08,0,0,-0.000472811589557571,-8.49739859246319e-08,-8.14776887894545e-09,-6.70538069868212e-07,-6.69801347713871e-07,-7.02217937072521e-06,-1.38517085780999e-06,0,0,0,0,-0.000103832655479234,-3.88470480929261e-07,-2.90795494325549e-07,-5.43637775307508e-07,0,-5.90660943244486e-07,0,0,-5.80083559450322e-08,-8.972747549987e-08,-3.19433287691708e-08,-5.54089148210863e-07,-6.76720553089569e-06,0,0,0,-8.95605418393926e-07,-2.06586620626555e-08,-6.8490884911092e-07,-6.28592783675737e-08,-3.74525140087839e-07,0,-4.7991235620731e-09,-0.00118206965696759,-2.7085658577277e-08,0,0,-0.000362727985475412,-3.84849045152804e-06,-6.59310398199226e-06,-8.84047151064968e-08,-7.00342609427746e-07,-1.92727460548535e-07,-8.35105670134755e-09,0,0,-8.86974133709071e-06,-1.88248122282315e-05,-1.82955479307901e-06,-1.80168397082072e-06,-4.31193544663646e-06,-7.15335287283793e-06,0,-0.000288203483089999,0,-4.20429046785811e-06,0,-7.65592438833597e-07,-5.62860527776641e-06,0,0,0,0,-6.16577934944149e-07,0,-1.62245246215441e-08,-1.96986288885063e-08,-9.30269447690127e-07,0,-3.21248799709377e-06,0,-3.54641966484884e-06,-2.0351137791519e-11,0,0,-5.48403040640189e-07,-7.16842873926549e-09,0,-2.09789940894558e-06,-5.10011966799847e-07,-1.2478370099717e-07,0,-2.72992370209472e-08,-2.52044150433232e-05,-3.80304860343262e-06,0,-2.75458744515475e-10,-5.45624565646896e-08,-1.94572220211313e-07,0,-2.4360601321083e-07,-3.61263309206352e-05,0,0,-1.14123605483433e-06,0,-3.51965856221267e-07,-2.23090873304478e-07,-5.48735264243723e-06,-1.72200953052733e-07,-2.34666607401012e-07,-1.16533135940859e-11,-2.39021497666658e-05,-1.17212191733595e-05,-1.64378986429727e-07,0,-3.71024280777627e-07,0,0,-2.3036192077169e-08,-4.57935550845768e-06,0,-5.64420556953429e-09,-3.86222961577332e-07,-0.000194582625025701,-8.4408786235955e-06,-1.55702353345779e-07,-5.53071005827342e-06,0,0,-1.06979704786302e-07,-2.9629610063326e-07,0,0,-0.000568741899150865,0,0,-5.83867813782544e-08,0,-1.74708548885278e-06,-0.000106239881997557,-9.14170520342986e-08,-1.56449829475802e-07,-9.98870400429778e-07,-8.13381254787177e-07,-2.55684007825136e-05,-1.01086269486778e-05,-0.000345082017884829,-3.59669751809271e-06,0,0,-6.70111249049592e-06,-1.80464610020898e-06,-4.88262836299851e-06,-6.42761667903893e-06
"ARG",0,0,0,0,-0.0103132403024266,0,0,0,0,0,0,0,0,0,0,0,0,-0.0037232875063596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00079945211210658,0,0,0,0,0,0,0
"ARM",0,0,0,0,0,-0.00251679231814047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.063469565254436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000251711735439219,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,0,-0.00574942107099679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,-0.00351966329407174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00025334451537133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000138105291713763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,-0.00155937528335394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00121289679650684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",-3.46927008163522e-07,0,0,-3.33639684650494e-07,-0.00074853393482655,-4.66257513031593e-07,-0.000399254928875101,-0.000301096416040468,-2.62279771150526e-06,-5.21937293242455e-06,0,-2.89514366513338e-06,-5.08550399191153e-06,0,-6.31995814232039e-07,0,0,-0.000213031891756555,-2.97296246240391e-06,-1.67560675050151e-08,0,-1.72194571078588e-06,-9.34349731855533e-06,-1.69489763474406e-05,0,0,0,0,-2.91646940107479e-05,0,-3.24236429865007e-06,0,0,-5.03396557560303e-07,0,0,-1.86124879754822e-06,0,-6.97161156396203e-08,0,-4.40395937205061e-06,0,0,0,-1.84385044322315e-05,-4.50874009946621e-08,-9.74691472759059e-06,-8.87219988145072e-07,-5.9728234562534e-06,0,-1.04740572167676e-08,-0.000226607333368845,-5.91142807687332e-08,0,0,-0.000457142544978969,-2.54133718378463e-07,-1.57503492835435e-05,-1.92942738873241e-07,-1.52849337334374e-06,-4.20626479589054e-07,-1.82261291210849e-08,0,0,-4.36272609274572e-06,-0.00122015146949721,-1.29070166804785e-05,-3.91563926607265e-05,-1.11129675479866e-06,-1.35365571758862e-05,0,-9.20188380923712e-05,0,-8.19583228932906e-06,0,-9.80965533009995e-06,-6.24632505157182e-07,-2.5185751631371e-07,0,0,0,-1.43350594824195e-06,0,-3.54099237085489e-08,-2.78034010933704e-07,0,0,-5.75208933926769e-07,0,-6.52509810820941e-06,0,0,0,-1.19688621291372e-06,-1.56450509761317e-08,0,-1.01677137298648e-05,-6.3531670119717e-06,-2.72322386648493e-07,0,-5.95804143888277e-08,-1.16954972110687e-05,-5.10493003760614e-06,0,0,-1.17710842905949e-07,-2.4636936841186e-06,0,-4.68489706874481e-06,-0.00374720575293573,0,0,0,0,-1.42853137360469e-05,-7.78728464619258e-06,0,-3.42870114223932e-06,-5.80996006999902e-07,0,-2.20137544628462e-06,-1.9105853781392e-05,0,0,-5.34023289848864e-08,-8.62251027993339e-06,-8.62251027993339e-06,-3.25141659153322e-07,-1.18021763940584e-06,0,-1.2318443422816e-08,-7.51964620110111e-06,-7.60345270759934e-06,-8.25925365069584e-06,-2.80879942182141e-06,-1.43265594854806e-06,0,0,-2.8308310341212e-06,-2.91474906701432e-06,0,0,-0.000316252067540632,0,0,-6.05003241441701e-07,0,-1.60556191410373e-07,-0.000439430074799086,-1.29029536972806e-06,-4.69359363117845e-07,-2.55750596315765e-05,-2.09629631696345e-07,-0.000160932503125273,-6.30592291606555e-07,-0.00049755547926129,0,0,0,-7.55686337660693e-06,-2.75557884151904e-06,0,0
