"","AFG","ALB","DZA","AGO","ARG","ARM","AUS","AUT","AZE","BGD","BLR","BEL","BEN","BTN","BOL","BIH","BWA","BRA","BGR","BFA","BDI","KHM","CMR","CAN","CPV","CAF","TCD","CHL","CHN","COL","COM","COG","CRI","CIV","HRV","CUB","CYP","CZE","PRK","COD","DNK","DJI","DOM","ECU","EGY","SLV","ERI","EST","ETH","FJI","FIN","FRA","GAB","GMB","GEO","DEU","GHA","GRC","GTM","GIN","GNB","GUY","HTI","HND","HUN","IND","IDN","IRN","IRQ","IRL","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LTU","LUX","MDG","MWI","MYS","MLI","MRT","MUS","MEX","MNG","MNE","MAR","MOZ","MMR","NAM","NPL","NLD","NZL","NIC","NER","NGA","NOR","PSE","OMN","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","KOR","MDA","ROU","RUS","RWA","SAU","SEN","SRB","SRB","SLE","SVK","SVN","SLB","SOM","ZAF","ESP","LKA","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","MKD","TLS","TGO","TTO","TUN","TUR","TKM","UGA","UKR","ARE","GBR","TZA","USA","URY","UZB","VEN","VNM","YEM","ZMB","ZWE"
"AFG",-0.171126644594774,0,0,-1.69057573609596e-07,-2.93055089427876e-05,-4.26624419221481e-09,-3.93606464495576e-05,-9.37927010075917e-07,-2.39985312650724e-08,-2.43116611316961e-07,0,-1.04684233732975e-05,-3.4099751067694e-08,0,-5.78274536412416e-09,0,0,-1.06276821213744e-05,-1.46292530068836e-07,-1.05210719945839e-10,0,-1.16954014634742e-08,-6.26752183451959e-08,-7.54104412742274e-05,0,0,0,0,-3.01244618280617e-06,-1.1028128556631e-06,-2.92152395017529e-08,0,0,-4.27778669191887e-09,0,0,-1.32746915193396e-07,0,-4.37744877554146e-10,0,-1.40904097733359e-06,0,0,0,-1.28479813557206e-05,-2.83102101236782e-10,-8.84534081405122e-08,-8.11803995828445e-09,-4.82850710692349e-08,0,-6.57662127584657e-11,-0.000635474518583544,-3.71176353693814e-10,0,0,-0.000144101687209172,-1.3393017060011e-07,-2.9550851822218e-07,-1.21148022703418e-09,-9.59735261234822e-09,-2.64109790275092e-09,-1.1444118174394e-10,0,0,-8.92464877129632e-07,-0.000337810111975694,-3.24450394701925e-06,-0.00184189062446143,-5.56870284902843e-07,-0.00013315959556535,0,-2.08309818001312e-05,0,-5.01518324091921e-08,0,-0.00197012710698885,-3.13533183170356e-07,0,-1.35580763322893e-06,0,0,-5.64227591156937e-09,0,-2.22337584011799e-10,-2.54400401330098e-09,0,0,-2.90069327022209e-07,0,-2.53720728798362e-07,0,0,0,-7.51520367868011e-09,-9.82346887952982e-11,0,-9.21642353269385e-08,-5.71959385233045e-08,-1.709902060736e-07,0,-3.7410318922646e-10,-3.33459753428428e-06,-3.49434976165245e-08,0,0,-7.39101971501355e-10,-2.77807065973767e-06,0,-3.20321173647537e-10,-0.0811351744092371,0,0,0,0,-4.9943502769157e-07,-2.86973779821485e-06,0,-2.22391070028237e-08,-4.16978203255843e-07,0,-1.61753356597169e-07,-2.37531299330574e-05,0,0,-3.35311222493156e-10,-1.25371882986094e-08,-1.25371882986094e-08,-2.97503777685178e-09,-5.91406582548783e-07,0,-7.73470446295741e-11,-1.91179378700429e-06,-2.88328894424874e-07,-4.09510765975454e-07,-1.09627040707272e-06,-7.13620261957182e-07,0,0,-1.35928171220476e-06,-9.10467643662635e-09,0,0,-1.65655088062268e-05,0,0,-5.42852213119125e-09,0,0,-9.2071885139749e-05,-1.18061692809034e-08,-4.29462604032606e-09,-2.07062409740409e-05,-1.05045137315609e-07,-0.000162144328859927,-2.89434187116272e-07,-0.00192517618817286,0,0,0,-4.74492619552409e-08,-8.23702028692171e-08,0,0
"ALB",0,-0.0135377256593585,0,0,-0.00107988528851761,0,0,-0.000985314333307497,0,0,0,-1.95001703972472e-06,0,0,0,-6.91731271430686e-06,0,-0.000317565343392724,-0.0115732039547862,0,0,0,0,0,0,0,0,0,-0.00113765983119909,0,0,0,0,0,-0.00119403037432219,0,0,-0.00174515362564626,0,0,-1.33107466037542e-05,0,0,0,-0.00584847313309537,0,0,0,-3.56888102602085e-06,0,0,-0.00841843782412445,0,0,0,-0.00762681470097457,0,-0.0114758101655195,0,0,0,0,0,0,-0.00565873507033994,0,0,0,0,-3.41256284100261e-06,0,-0.0114829350189795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.00516411118537e-05,0,0,0,0,0,-8.96793797857851e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.2468269238707e-05,0,0,0,0,-0.00710859477142497,-0.013250310233101,0,0,0,-0.0114899624397349,-0.0114899624397349,0,-0.000407417053327046,-0.000398726959110321,0,0,0,-4.72443522808328e-05,0,0,0,0,0,-1.21561268731235e-06,0,0,-0.000251746101901852,-0.000390483818249753,0,0,0,0,-0.0117303675720626,0,0,-0.0118294744795272,0,-9.76845170348504e-06,0,-0.0110045453024543,0,0,0,0,0,0,0
"DZA",-1.8849691519143e-09,0,-0.135637041496777,-1.71524238513368e-09,-0.0523106612959866,-4.65727729894359e-11,-5.20006413907468e-06,-0.00401234522286605,-2.61981756864194e-10,-2.53153842147608e-09,0,-0.000260993237213192,-7.54298103946345e-11,0,-6.3127771164747e-11,0,0,-0.022857194830109,-0.00745032253934336,0,0,-3.07335972354306e-11,-2.22227907004607e-07,-0.0224031213709542,-1.01997234068444e-07,0,0,0,-1.41297174679377e-05,0,-3.08131540537979e-10,0,0,-5.94107365754548e-10,0,0,-7.42475977919242e-11,-0.00393874552409162,0,0,-2.12617756053699e-06,0,0,0,-8.90224589272425e-05,0,-9.65608228658697e-10,-8.86211888166843e-11,-5.27107580431025e-10,0,0,-0.142295105923202,0,0,0,-0.0155955509881586,-1.00360617746543e-09,-0.000957859131665213,0,-3.17558607493764e-08,0,-8.69044656161583e-11,0,0,-0.00261017744892776,-0.000276089309662046,-4.08453321547258e-07,-1.24492635976803e-06,-6.0791160080967e-09,-1.45779615034295e-09,0,-0.00422551410136494,0,-2.46923433496207e-09,0,-9.4319832741848e-10,-3.38577577157487e-09,0,0,0,0,-1.2980765343537e-05,0,0,-1.24897044918146e-07,-1.94897433791823e-06,0,-3.03895223098307e-09,0,-2.3846312672634e-07,-4.59007178749447e-07,-5.33158086647975e-08,0,-0.00936220452644031,0,0,-3.87169477399944e-06,-6.13148278086649e-10,0,0,0,-4.10643253765903e-05,-1.04864069717267e-08,0,-3.05996651809906e-06,0,-7.15990498388905e-11,0,-1.36955146359861e-09,-4.12551921128275e-05,0,0,0,0,-9.02827489339871e-10,-0.0175143664686013,-3.70636440486445e-07,-2.42774870650942e-10,0,0,-0.0010179039558456,-0.0279217867230602,0,0,-1.25370624742341e-07,-6.24397561420911e-08,-6.24397561420911e-08,-3.24772218311261e-11,-0.0029847365420644,0,0,-6.07288968433758e-08,-1.24342966625935e-07,-0.00472112322227129,-1.07823568048462e-08,-7.78944626228164e-09,0,0,-1.4733098183467e-08,-5.82168211631663e-05,0,0,-0.00120253754014255,-5.4913668726654e-07,0,-5.67004905986562e-11,0,-0.000135110448640308,-0.00660749875143717,-1.2888292770436e-10,-4.68826055516503e-11,-0.0257234453812551,-1.14673307795449e-09,-3.52279278718219e-05,-3.15595137347311e-09,-0.142407412411141,-0.000284689916099141,0,0,0,-8.99200464502776e-10,-5.81501982060626e-07,0
"AGO",-1.43864120170209e-06,0,0,-0.00189770006265495,-0.000327621375757856,-3.30342093215253e-08,-1.05491784116598e-05,-6.24049017353118e-06,-1.85824455774532e-07,-2.61423361679629e-06,0,-8.35496446392984e-05,-2.18851843535093e-06,0,-4.47767198043078e-08,0,0,-0.000472811589557571,-8.49739859246319e-08,-8.14776887894545e-09,-6.70538069868212e-07,-6.69801347713871e-07,-7.02217937072521e-06,-1.38517085780999e-06,0,0,0,0,-0.000103832655479234,-3.88470480929261e-07,-2.90795494325549e-07,-5.43637775307508e-07,0,-5.90660943244486e-07,0,0,-5.80083559450322e-08,-8.972747549987e-08,-3.19433287691708e-08,-5.54089148210863e-07,-6.76720553089569e-06,0,0,0,-8.95605418393926e-07,-2.06586620626555e-08,-6.8490884911092e-07,-6.28592783675737e-08,-3.74525140087839e-07,0,-4.7991235620731e-09,-0.00118206965696759,-2.7085658577277e-08,0,0,-0.000362727985475412,-3.84849045152804e-06,-6.59310398199226e-06,-8.84047151064968e-08,-7.00342609427746e-07,-1.92727460548535e-07,-8.35105670134755e-09,0,0,-8.86974133709071e-06,-1.88248122282315e-05,-1.82955479307901e-06,-1.80168397082072e-06,-4.31193544663646e-06,-7.15335287283793e-06,0,-0.000288203483089999,0,-4.20429046785811e-06,0,-7.65592438833597e-07,-5.62860527776641e-06,0,0,0,0,-6.16577934944149e-07,0,-1.62245246215441e-08,-1.96986288885063e-08,-9.30269447690127e-07,0,-3.21248799709377e-06,0,-3.54641966484884e-06,-2.0351137791519e-11,0,0,-5.48403040640189e-07,-7.16842873926549e-09,0,-2.09789940894558e-06,-5.10011966799847e-07,-1.2478370099717e-07,0,-2.72992370209472e-08,-2.52044150433232e-05,-3.80304860343262e-06,0,-2.75458744515475e-10,-5.45624565646896e-08,-1.94572220211313e-07,0,-2.4360601321083e-07,-3.61263309206352e-05,0,0,-1.14123605483433e-06,0,-3.51965856221267e-07,-2.23090873304478e-07,-5.48735264243723e-06,-1.72200953052733e-07,-2.34666607401012e-07,-1.16533135940859e-11,-2.39021497666658e-05,-1.17212191733595e-05,-1.64378986429727e-07,0,-3.71024280777627e-07,0,0,-2.3036192077169e-08,-4.57935550845768e-06,0,-5.64420556953429e-09,-3.86222961577332e-07,-0.000194582625025701,-8.4408786235955e-06,-1.55702353345779e-07,-5.53071005827342e-06,0,0,-1.06979704786302e-07,-2.9629610063326e-07,0,0,-0.000568741899150865,0,0,-5.83867813782544e-08,0,-1.74708548885278e-06,-0.000106239881997557,-9.14170520342986e-08,-1.56449829475802e-07,-9.98870400429778e-07,-8.13381254787177e-07,-2.55684007825136e-05,-1.01086269486778e-05,-0.000345082017884829,-3.59669751809271e-06,0,0,-6.70111249049592e-06,-1.80464610020898e-06,-4.88262836299851e-06,-6.42761667903893e-06
"ARG",-1.83436232753339e-05,-6.83284863362712e-05,0,-0.00277288095455585,-0.13201644698151,-9.57031200921719e-07,-0.0143389433529518,-0.000113937729927205,-2.54704335190799e-06,-0.0123010480403404,-1.82617634168709e-06,-0.000644896056087111,-2.13675830991738e-05,0,-0.0209150596604151,-0.000280131413945472,-5.71163815970957e-08,-0.125426494185443,-0.000134818572948611,-1.53807841444391e-06,-3.70981758449628e-05,-3.02416080017294e-07,-0.000393728962224563,-0.00370013676545678,-4.85999600220317e-05,0,0,-0.0586573713426029,-0.00799335737249074,-0.00712365108757934,-1.14378914803276e-05,-0.000223549003888078,0,-0.000195909339359426,-0.000933755091158644,-0.00216486864496485,-6.00041777151034e-05,-8.75728291127436e-06,-1.78319888979931e-10,-0.00993608986243878,-4.27305597001313e-05,-2.29442156103769e-11,-5.50481680531044e-05,-0.00682379744570335,-0.0440025664489145,-9.93369249667986e-05,-0.000251747432415953,-3.11122208897923e-06,-6.01239558401853e-06,0,-2.67905448105889e-11,-0.0579535407710377,-1.65174287947592e-06,-0.000116686069584633,-4.25471374596561e-05,-0.00824710636408117,-1.03954828183299e-05,-0.000421232354054614,-1.20455572489953e-05,-2.73598687937724e-05,-1.07587846015495e-09,-2.99349242203778e-06,-0.000168338290901832,-3.83148235865019e-05,-0.000705125678485137,-0.0237334689976661,-0.0466778779021474,-0.00080431374137179,-0.00113773068889924,-9.88798533048681e-05,0,-0.00242484397688357,0,-0.000476400459539812,0,-9.51544678865791e-05,-0.0176628172102737,-1.33122663036949e-05,-2.68675263600341e-11,0,-0.000169749512363941,-6.38367828590369e-05,0,-1.20042601570877e-05,-0.000273193142088518,-2.05139721485175e-05,0,-0.000275992824551953,-0.00122211452720516,-0.00698598153084944,-0.000119874708865591,-0.000156763480319546,-3.62733221478005e-06,-0.000334139501210194,-3.72888671444535e-08,0,-0.0113832274602574,-0.00829514819644008,-3.53899284963012e-07,-2.95073189137502e-05,-1.19028766245218e-07,-0.00052288754184654,-2.57096004388422e-06,-3.93746398278138e-05,-0.000201460973144563,-0.0104900261167973,-0.000380424710665134,0,-3.3015158125446e-06,-0.0113480260055319,-2.97719069597672e-05,0,-0.00103213564342654,-0.0401839606804533,-0.00613901670904896,-0.000355693350272124,-0.00328953136281678,-2.53892372457698e-06,-0.000636823200218211,-1.96175300589169e-09,-0.000317444709483112,-0.00947793865897815,-8.19319721410921e-05,0,-0.0018793746495892,-1.06480956698094e-05,-1.06480956698094e-05,-0.000389907131209133,-6.2825431171762e-05,-2.26250801600025e-06,-3.15081160705653e-11,-0.000298874890263979,-0.0492751767924287,-0.029663644076299,-0.0111648101918513,-0.00378028799086045,-3.5435065057615e-05,0,-0.000154590602730038,-1.22947045768671e-05,0,0,-0.0116343756393072,-2.23504604897361e-06,0,-2.22730986595492e-05,0,-0.00166468807721876,-0.0112226390128042,-1.25302772266695e-06,-0.0008481793855557,-0.012062874390729,-1.11589975739558e-05,-0.0113153108000739,-0.0136794401478083,-0.12250265879119,-0.0053073774524748,0,-0.00201778447252375,-0.0123136133968688,-0.00199075886817894,-0.000166763049113619,-5.55634129316794e-05
"ARM",-5.75274409003799e-08,0,0,-5.23475436403803e-08,-1.84527828411376e-05,-0.0203729240631389,-1.27322559464162e-05,-9.08537255274844e-05,-7.99543059878563e-09,-7.72601115411397e-08,0,-4.67386507079795e-05,-2.30204507866741e-09,0,-1.92659870383799e-09,0,0,-2.30216739693107e-05,-0.000143826918128871,0,0,-9.37959752191051e-10,-4.25542171850554e-09,-3.24032509600771e-06,0,0,0,0,-0.000159830730166372,0,-9.40387749573502e-09,0,0,-1.18600618049876e-09,0,0,-2.26596509000286e-09,-9.02954292402023e-06,0,0,-6.49978809316673e-05,0,0,0,-2.15838540433904e-07,0,-2.94694320332353e-08,-0.000370634250397417,-1.60868150816118e-08,0,-1.40919075319739e-06,-0.0014197222370904,0,0,-0.00361192729060839,-0.000598747470765875,-3.06290927905985e-08,-0.000131875078917199,0,0,0,0,0,0,-0.00437152879046252,-2.96034174648728e-05,-6.71541693446158e-07,-0.000378849581931279,-1.85528758668108e-07,-4.32183164599703e-08,0,-0.00134285879645428,0,-7.81025658545273e-10,0,-5.47810547144419e-05,-1.03330611752137e-07,0,0,0,0,-5.21342536391336e-08,0,0,-8.47568849389695e-10,0,0,-9.27458917242292e-08,0,-1.33539388379668e-08,0,0,0,-2.10543039286349e-06,0,0,-3.06252634293559e-08,-1.87126942077422e-08,0,0,0,-6.26937354451041e-05,-3.06842059387276e-09,0,0,0,-2.18513396038716e-09,0,0,-0.000883300445283824,0,0,0,0,-2.75533527320166e-08,-7.76435716896288e-05,0,-7.40925495214917e-09,-1.50912263142679e-06,-0.00172654204254652,-3.39160202813426e-05,-0.0813256969994344,0,0,0,0,0,-9.91173493529711e-10,-0.000176345879136282,0,0,-6.33743576992024e-07,-1.74367649433597e-05,-3.39531856418933e-05,-3.29067132598782e-07,-2.37726388808545e-07,0,0,-4.49639949899524e-07,-2.24063920937125e-05,0,0,-0.000363078777518809,0,0,-1.73044429858396e-09,0,0,-1.4556620646936e-06,-3.93338267581239e-09,-1.43081191402489e-09,-0.0181078434804377,-3.49971877807882e-08,-3.02408014605943e-05,-9.63165927344585e-08,-0.00408974977849399,0,0,0,0,-2.74427311061e-08,0,0
"AUS",-1.61764479834323e-05,0,0,-1.8538795677331e-05,-0.0133499709330623,-3.83505847335454e-07,-0.244176337402251,-8.45892673757031e-05,-2.15730198576373e-06,-0.00719692632002841,-1.1679083468595e-07,-3.3193801731169e-05,-1.03514091445561e-05,0,-7.16027104112882e-07,-1.15779306670879e-06,-7.01260640939923e-08,-0.00239893180063139,-2.51491105565589e-05,-3.76508332265741e-08,-4.27481587726435e-06,-0.00155509543403298,-1.9013484210438e-05,-0.00161662931582578,0,0,0,-0.000108770893285783,-0.128501419410644,-8.34442027755506e-05,-7.69822524171825e-06,0,0,-5.8274882404752e-07,-2.01599543449622e-05,0,-2.59769552699259e-06,-2.76713599191181e-06,-0.000474953728355165,-7.363684523348e-09,-0.0001363816894068,0,0,-0.000364234611134331,-0.0347241743518148,-1.08649949689995e-07,-8.02850599316612e-06,-7.29755647505184e-07,-0.000471027447402384,0,-1.57708531111981e-06,-0.00409879209591855,-1.32829610877749e-07,-3.70150741221977e-07,0,-0.00086313930242944,-2.34282965614833e-05,-2.71371818002453e-05,-1.86879456766706e-06,-3.43452000718334e-06,-9.45146433012904e-07,-3.57796623522694e-06,0,0,-2.35048674107447e-05,-0.0407300836025179,-0.154947761087564,-0.0108409757386301,-0.011727413621655,-0.0001178522803289,0,-0.011066761219408,0,-0.00461476642279312,0,-8.9366481817234e-05,-3.03662725340298e-05,-2.06696587085e-05,-1.50452473531829e-09,0,-1.09801957346188e-08,-0.000185919694831954,0,-7.95659919439485e-08,-3.89177742367924e-07,-2.97277138481245e-07,0,-0.000169675503379313,-7.12752434823456e-05,-0.0024560879605174,-4.81238244457071e-07,-1.38317682986229e-07,-2.06548156708364e-06,-2.8588317303052e-06,-2.12101133048127e-06,0,-0.000626919729281235,-0.000203261236381317,-0.00473390020855152,-8.18911671797032e-08,-1.2206903958018e-05,-1.24426077330975e-05,-0.00733726024201274,0,0,-0.00110248122096336,-6.02279057914081e-06,0,-1.68918219245611e-06,-0.0260900880167179,-7.8406146210495e-07,0,0,-9.26570254063951e-05,-0.0132473439829182,-0.000269331374962191,-3.62119965410257e-06,-5.02652971556056e-05,-0.0032889103573608,0,-8.40551337950652e-06,-0.00546503965597257,-9.07063046425332e-08,0,-1.24558457558787e-07,-3.59241697764207e-06,-3.59241697764207e-06,-2.67435320638364e-07,-5.36976896985294e-05,-1.62300092722265e-07,-4.42321427156138e-05,-0.000222353195783046,-0.00672608638769466,-0.000417218651389734,-0.00270479227419815,-0.044114209910436,0,0,-0.00013670108768408,-1.40466294716781e-05,0,0,-0.0366835318096935,-7.75094105040061e-06,-6.26132938450992e-07,-5.50835903811647e-07,0,-2.68833666313882e-08,-0.00951109231020968,-1.06129296633349e-06,-6.59865935634678e-07,-0.00225812059547012,-9.5377386206546e-06,-0.00129635473931974,-0.0022505510508009,-0.216820517941723,-9.23141068997258e-08,0,0,-0.0379981144164604,-0.00181920975586491,-1.03731173208787e-05,-1.67826320678573e-05
"AUT",-1.64945224572472e-06,-0.000141590488713524,0,-1.29243030638377e-06,-0.000598160220706771,-1.17809006737581e-05,-0.00057451389251974,-0.0848569140053327,-0.000385506790953327,-1.07487520291314e-05,-2.07683389126737e-05,-0.000298678985207353,-7.24287039628023e-08,0,-4.66878691907227e-08,-0.00133799200084048,0,-0.000190077019439248,-0.001993184959126,-6.43974311909742e-11,0,-2.816519994724e-08,-1.33667276274422e-07,-0.00013223850722722,0,0,0,-7.08086328806892e-06,-0.000140958485250711,-1.12192941111748e-07,-2.28492582740997e-07,0,0,-2.94812953523844e-08,-0.00651338953399243,-5.01027638764492e-07,-3.67770638202873e-07,-0.0232245980343955,-2.67935108190555e-10,0,-0.00204806961097513,0,-9.36812728988204e-08,0,-0.00019183331275469,-2.99563010784589e-08,-7.14141966955398e-07,-3.57295488429649e-05,-4.56736074781909e-07,0,-0.000186285551471155,-0.0350477746646147,-2.27189812112481e-10,-3.43353503282711e-07,-8.29766070698504e-07,-0.0815905952266323,-7.82493921262908e-07,-0.000598646321903477,-8.9319525225094e-08,-5.87435248791541e-09,-1.61656455300927e-09,-7.00472169619502e-11,-6.92753233443989e-08,0,-0.0740668395752274,-0.000709953020385529,-2.43464658898793e-05,-6.66078362674663e-05,-4.54885337725681e-06,-0.000111042424378361,0,-0.0814753560029747,0,-5.75624094831094e-06,0,-1.32700407060935e-05,-2.68512734118981e-06,-9.9285152816562e-09,-3.40131418857287e-06,0,-6.49488052122301e-05,-1.01787549771174e-06,0,-2.74417140270712e-08,-2.27355873636269e-05,-6.30113059473e-05,-1.99378413814748e-05,-2.28274595364519e-06,0,-9.55388939292912e-07,0,0,0,-2.04825182269647e-06,-2.95498696248798e-07,-1.04351267211488e-06,-8.91658621945335e-07,-4.54100533228413e-07,-1.2831983611453e-07,0,-2.28981271099911e-10,-0.000201395358711589,-1.20049499104219e-05,0,0,-4.52389912143684e-10,-0.000114932354199762,0,-5.29205927158788e-07,-0.00205445643470511,-2.1681272900131e-08,0,0,-3.70567795436569e-07,-2.852371167458e-06,-0.00357992725664166,-2.19166356353208e-05,-2.71194860141382e-07,-1.13749928359046e-06,-5.56031883087408e-06,-0.0023130627093965,-0.00706631349616278,0,0,-4.25306187144417e-09,-0.00195048584957431,-0.00195048584957431,-2.4019417390368e-08,-0.02007258862084,-0.00363406282608989,-4.73426185746313e-11,-3.11038220885683e-05,-2.8572793303758e-05,-0.000266484890935754,-8.73587518455621e-06,-5.82995251690402e-06,0,0,-0.000424105002267879,-0.0022027802803682,0,0,-0.00049335444945394,-0.00127548400146637,0,-4.20779556353702e-08,0,-0.000115600432351985,-0.000493045806041207,-1.68325878531743e-05,-3.46733127897605e-08,-0.00491553182476176,-8.58072241824174e-07,-0.00197149568165504,-2.3617272603378e-06,-0.00811945347983721,-7.49488308245128e-07,-8.78968838765348e-06,-8.68182522635137e-08,-7.93901005158902e-06,-6.85058751881601e-05,0,0
"AZE",-9.35609110175685e-08,0,0,-8.51364808840918e-08,-1.56426078192105e-05,-2.31165112971787e-09,-2.06818672011297e-05,-0.000859489862222512,-0.105340499689468,-1.25653536955096e-07,-6.25571645878748e-05,-7.24152624735173e-06,-3.74397733312366e-09,0,-3.13336256706595e-09,0,0,-7.12792303304228e-06,-3.9756597896311e-06,0,0,-1.52546971565752e-09,-6.92089073520211e-09,-5.2699585037971e-06,0,0,0,0,-3.13184676289003e-05,0,-1.52941853805419e-08,0,0,-1.92888501527622e-09,0,0,-3.68529791759386e-09,-7.99534671828601e-06,0,0,-2.02108216998483e-05,0,0,0,-0.000183200943888249,0,-4.7928203741488e-08,-0.000240840406622742,-2.6163115390673e-08,0,0,-0.000105191298421456,0,0,-6.54345889554745e-05,-0.000182211209477268,-4.98142413477515e-08,-1.63688862972276e-06,0,0,0,0,0,0,-0.000251573079134918,-3.08398962809634e-05,-1.09217185659544e-06,-0.000473657164519762,-3.01738429682732e-07,-7.02889785701158e-08,0,-9.6154207173038e-05,0,-1.27023679478691e-09,0,-0.0684899741822502,-1.68053819537604e-07,0,-3.40066731874169e-07,0,-8.72049348641945e-05,-2.89015351409763e-09,0,0,-1.37846065213182e-09,-1.21301932805601e-05,0,-1.50839147145138e-07,0,-2.17184471236372e-08,0,0,0,0,0,0,-4.98080133890441e-08,-3.04337667427507e-08,0,0,0,-2.15580147716395e-06,-4.99038757251426e-09,0,0,0,-3.55383658354079e-09,0,0,-0.000415270313910343,0,0,0,0,-4.48119032147209e-08,-0.000109377735658778,-1.30478746803983e-08,-1.20501908729948e-08,-5.90913161839795e-09,0,-5.75484297780637e-09,-0.104994021202621,0,0,0,-1.45324950060802e-07,-1.45324950060802e-07,-1.61201495459697e-09,-0.000236009368119267,-4.09030173587437e-06,0,-1.03069778439866e-06,-1.17954350969312e-07,-2.29746898241454e-07,-5.35184952259501e-07,-3.86631095729782e-07,0,0,-7.31280979721376e-07,-7.87178252915246e-06,0,0,-4.38335497303112e-06,-1.27808413396042e-06,0,-2.81434290325964e-09,0,0,-0.00825377322358089,-6.39713605837278e-09,-2.3270297457309e-09,-0.00639416351318127,-5.69183805254552e-08,-5.09840908025065e-06,-1.56646428579175e-07,-0.00432111887343656,0,0,0,0,-4.46320379094063e-08,0,0
"BHR",-3.46927008163522e-07,0,0,-3.33639684650494e-07,-0.00074853393482655,-4.66257513031593e-07,-0.000399254928875101,-0.000301096416040468,-2.62279771150526e-06,-5.21937293242455e-06,0,-2.89514366513338e-06,-5.08550399191153e-06,0,-6.31995814232039e-07,0,0,-0.000213031891756555,-2.97296246240391e-06,-1.67560675050151e-08,0,-1.72194571078588e-06,-9.34349731855533e-06,-1.69489763474406e-05,0,0,0,0,-2.91646940107479e-05,0,-3.24236429865007e-06,0,0,-5.03396557560303e-07,0,0,-1.86124879754822e-06,0,-6.97161156396203e-08,0,-4.40395937205061e-06,0,0,0,-1.84385044322315e-05,-4.50874009946621e-08,-9.74691472759059e-06,-8.87219988145072e-07,-5.9728234562534e-06,0,-1.04740572167676e-08,-0.000226607333368845,-5.91142807687332e-08,0,0,-0.000457142544978969,-2.54133718378463e-07,-1.57503492835435e-05,-1.92942738873241e-07,-1.52849337334374e-06,-4.20626479589054e-07,-1.82261291210849e-08,0,0,-4.36272609274572e-06,-0.00122015146949721,-1.29070166804785e-05,-3.91563926607265e-05,-1.11129675479866e-06,-1.35365571758862e-05,0,-9.20188380923712e-05,0,-8.19583228932906e-06,0,-9.80965533009995e-06,-6.24632505157182e-07,-2.5185751631371e-07,0,0,0,-1.43350594824195e-06,0,-3.54099237085489e-08,-2.78034010933704e-07,0,0,-5.75208933926769e-07,0,-6.52509810820941e-06,0,0,0,-1.19688621291372e-06,-1.56450509761317e-08,0,-1.01677137298648e-05,-6.3531670119717e-06,-2.72322386648493e-07,0,-5.95804143888277e-08,-1.16954972110687e-05,-5.10493003760614e-06,0,0,-1.17710842905949e-07,-2.4636936841186e-06,0,-4.68489706874481e-06,-0.00374720575293573,0,0,0,0,-1.42853137360469e-05,-7.78728464619258e-06,0,-3.42870114223932e-06,-5.80996006999902e-07,0,-2.20137544628462e-06,-1.9105853781392e-05,0,0,-5.34023289848864e-08,-8.62251027993339e-06,-8.62251027993339e-06,-3.25141659153322e-07,-1.18021763940584e-06,0,-1.2318443422816e-08,-7.51964620110111e-06,-7.60345270759934e-06,-8.25925365069584e-06,-2.80879942182141e-06,-1.43265594854806e-06,0,0,-2.8308310341212e-06,-2.91474906701432e-06,0,0,-0.000316252067540632,0,0,-6.05003241441701e-07,0,-1.60556191410373e-07,-0.000439430074799086,-1.29029536972806e-06,-4.69359363117845e-07,-2.55750596315765e-05,-2.09629631696345e-07,-0.000160932503125273,-6.30592291606555e-07,-0.00049755547926129,0,0,0,-7.55686337660693e-06,-2.75557884151904e-06,0,0
