"country","hits_by_cty","avg_links_hit_by_cty","avg_dSrel_by_cty_rank"
"AFG",98,2.28834355828221,0.529719692098478
"ALB",36,2.69325153374233,0.163192536731537
"DZA",93,2.88343558282209,0.0829040288517709
"AGO",110,14.7975460122699,0.0536510554827559
"ARG",141,10.1840490797546,0.034160071267133
"ARM",80,2.10429447852761,0.0237686653115615
"AUS",127,7.5398773006135,0.0178250884980874
"AUT",124,7.58282208588957,0.0140407256629369
"AZE",86,1.47852760736196,0.0113033504787724
"BHR",98,21.7300613496933,0.0090949564024384
"BGD",100,4.89570552147239,0.00750941115430348
"BLR",93,1.39877300613497,0.00641247457292896
"BEL",151,17.4478527607362,0.0055181231750217
"BEN",112,12.6257668711656,0.00466593333827539
"BTN",15,0.56441717791411,0.00401548243565218
"BOL",84,1.59509202453988,0.00338145683717805
"BIH",45,1.6319018404908,0.00290437889716641
"BWA",77,0.773006134969325,0.00251178738428418
"BRA",144,10.4723926380368,0.00219128449875221
"BGR",126,5.93251533742331,0.00193900376000036
"BFA",51,8.13496932515337,0.00171178108363595
"BDI",86,3.87730061349693,0.00152202631686428
"KHM",94,2.25766871165644,0.00133555106750936
"CMR",110,4.47239263803681,0.00119242238899934
"CAN",136,9.58282208588957,0.00107389638199916
"CPV",80,5.0920245398773,0.000956720712098182
"CAF",26,1.19631901840491,0.000865355542958775
"TCD",26,0.638036809815951,0.000784920705233896
"CHL",115,4.4601226993865,0.000723418436188241
"CHN",146,11.2269938650307,0.000667000097025243
"COL",124,4.99386503067485,0.000618748750701601
"COM",106,8.83435582822086,0.000574099207970419
"COG",96,14.361963190184,0.000531605300481647
"CRI",48,1.0920245398773,0.000483054444593042
"CIV",113,6.34969325153374,0.000447418276683743
"HRV",92,3.03067484662577,0.00040722710266917
"CUB",45,2.11656441717791,0.000377731271603456
"CYP",110,11.6687116564417,0.00034776030831901
"CZE",127,5.23312883435583,0.000321340510795268
"PRK",78,3.12883435582822,0.000303698150697369
"COD",43,2.01226993865031,0.000288072519009016
"DNK",143,11.5889570552147,0.000266323074963377
"DJI",97,8.83435582822086,0.000246464151283768
"DOM",42,0.987730061349693,0.000223261520173005
"ECU",34,1.12269938650307,0.000205064275477632
"EGY",129,8.77914110429448,0.000191672080576667
"SLV",94,1.83435582822086,0.000177286938783609
"GNQ",76,4.33742331288344,0.000166423763369502
"ERI",78,1.49079754601227,0.000156676471221572
"EST",97,2.22085889570552,0.000143700842630443
"ETH",85,3.33742331288344,0.000135371950073944
"FJI",97,2.4478527607362,0.00012638874139312
"FIN",112,3.98773006134969,0.000117034322563467
"FRA",151,13.5828220858896,0.000108383721265541
"GAB",103,11.558282208589,9.95970034372467e-05
"GMB",83,7.32515337423313,9.26369519375488e-05
"GEO",86,1.94478527607362,8.79933668974377e-05
"DEU",148,13.8343558282209,8.07517041370064e-05
"GHA",114,4.74233128834356,7.59132723478532e-05
"GRC",127,8.15950920245399,7.05339518946429e-05
"GTM",88,1.66257668711656,6.54265889813105e-05
"GIN",99,7.68098159509202,5.98461508452808e-05
"GNB",78,3.67484662576687,5.5185683782897e-05
"GUY",109,3.17177914110429,5.20713952829226e-05
"HTI",33,0.803680981595092,4.77314947981266e-05
"HND",87,1.84049079754601,4.40597206353578e-05
"HUN",119,4.75460122699386,4.05825503674803e-05
"IND",140,11.8773006134969,3.76925711583478e-05
"IDN",125,8.33128834355828,3.59960190408919e-05
"IRN",116,6.19631901840491,3.34175113563161e-05
"IRQ",78,2.06748466257669,3.12392354367111e-05
"IRL",131,9.37423312883435,2.9285678925826e-05
"ISR",109,4.42331288343558,2.79451991685499e-05
"ITA",153,15.2208588957055,2.66509220203019e-05
"JAM",91,2.47239263803681,2.51021664113938e-05
"JPN",125,7.46625766871166,2.38001908511408e-05
"JOR",109,5.42331288343558,2.19069959004792e-05
"KAZ",105,2.68711656441718,2.0465734374086e-05
