"country","hits_by_cty","avg_links_hit_by_cty","avg_dSrel_by_cty_rank"
"KEN",120,5.85276073619632,1.94719571702216e-05
"KWT",101,6.12883435582822,1.84039632013845e-05
"KGZ",82,1.29447852760736,1.77148404955659e-05
"LAO",11,0.128834355828221,1.67228302106295e-05
"LVA",99,2.84662576687117,1.59320801518267e-05
"LBN",124,14.6196319018405,1.46355446583539e-05
"LSO",20,0.834355828220859,1.38258047317404e-05
"LBR",99,9.33742331288344,1.30088847766484e-05
"LBY",104,5.60122699386503,1.21417787052624e-05
"LTU",120,5.25766871165644,1.13143959994311e-05
"LUX",37,1.50306748466258,1.0646741577056e-05
"MDG",110,9.21472392638037,1.00833562532042e-05
"MWI",50,0.834355828220859,9.31844078626755e-06
"MYS",133,12.1411042944785,8.60764240439921e-06
"MLI",71,2.84049079754601,8.25860722409863e-06
"MRT",83,9.58282208588957,7.74697000125408e-06
"MUS",108,17.3006134969325,7.39436155543668e-06
"MEX",109,3.9079754601227,6.92366040657736e-06
"MNG",80,6.13496932515337,6.31796497469495e-06
"MNE",27,3.03680981595092,5.92805784263186e-06
"MAR",111,5.20245398773006,5.29818441720132e-06
"MOZ",109,3.55828220858896,5.03371598973862e-06
"MMR",77,0.791411042944785,4.73971622546797e-06
"NAM",26,0.766871165644172,4.53981286747059e-06
"NPL",97,1.7361963190184,4.22515860179481e-06
"NLD",148,21.7975460122699,3.97118401569629e-06
"NZL",118,5.71779141104294,3.62345477850908e-06
"NIC",37,1,3.4692798695598e-06
"NER",49,1.93251533742331,3.3386947909774e-06
"NGA",89,1.98773006134969,3.12478533959079e-06
"NOR",121,5.46625766871166,2.87995645481098e-06
"PSE",34,1.80981595092025,2.69926979777524e-06
"OMN",121,13.8650306748466,2.56225836295918e-06
"PAK",144,12.1165644171779,2.28720350580397e-06
"PAN",54,1.46625766871166,2.0439694312807e-06
"PNG",95,1.79141104294479,1.89281939072969e-06
"PRY",55,1.13496932515337,1.78222023886796e-06
"PER",98,3.30061349693252,1.52845098600179e-06
"PHL",118,6.25153374233129,1.35430164558017e-06
"POL",128,5.93251533742331,1.23119005921018e-06
"PRT",127,11.9631901840491,1.08220971795254e-06
"QAT",101,20.7116564417178,1.00445785310979e-06
"KOR",124,9.11042944785276,8.57487038434797e-07
"MDA",79,1.54601226993865,8.15245374495299e-07
"ROU",125,5.8159509202454,7.70786737307674e-07
"RUS",127,5.77914110429448,6.58891860548519e-07
"RWA",61,3.74846625766871,5.58556727209233e-07
"SAU",125,8.33128834355828,4.94766505259452e-07
"SEN",104,5.11042944785276,4.65854379871687e-07
"SRB",78,2.40490797546012,4.26142740401989e-07
"SRB",40,0.920245398773006,4.00288327146428e-07
"SLE",77,6.01840490797546,3.38884541991772e-07
"SGP",122,67.6625766871166,2.96692581506618e-07
"SVK",114,3.22085889570552,2.72970411214152e-07
"SVN",94,3.37423312883436,2.57179366777977e-07
"SLB",76,2.76687116564417,2.33340525717781e-07
"SOM",77,7.41717791411043,2.10192893638261e-07
"ZAF",129,10.7055214723926,1.96259262378754e-07
"ESP",144,13.4601226993865,1.67038371370402e-07
"LKA",113,6.38650306748466,1.57466090761599e-07
"SDN",83,3.01226993865031,1.19411549957997e-07
"SUR",82,6.13496932515337,1.0834509712803e-07
"SWZ",21,2.01226993865031,9.99472798502808e-08
"SWE",115,5.21472392638037,9.42504935416931e-08
"CHE",135,8.3558282208589,8.66757890265401e-08
"SYR",104,4.66871165644172,7.84369664201386e-08
"TJK",82,1.15950920245399,7.0287315678909e-08
"THA",142,11.6564417177914,6.33263055650224e-08
"MKD",43,2.50920245398773,5.44807220336517e-08
"TLS",9,0.349693251533742,4.65677049325126e-08
"TGO",89,3.26380368098159,4.10605953755054e-08
"TTO",93,1.88343558282209,3.66459070784817e-08
"TUN",115,7.61349693251534,3.19654406277042e-08
"TUR",147,12.0368098159509,2.80168490790851e-08
"TKM",81,0.94478527607362,2.32195099990272e-08
"UGA",93,4.52147239263804,2.00777666086915e-08
"UKR",126,6.07975460122699,1.42963886591775e-08
"ARE",128,76.3865030674847,1.28547617095521e-08
"GBR",143,12.8834355828221,1.09034365272169e-08
"TZA",99,4.19631901840491,8.98237968870298e-09
"USA",150,12.9877300613497,7.91608154009763e-09
"URY",109,3.56441717791411,4.32255854258802e-09
"UZB",35,0.601226993865031,3.29009149331465e-09
"VEN",76,2.86503067484663,2.76366951570554e-09
"VNM",110,2.25766871165644,2.29684321870118e-09
"YEM",109,10.2576687116564,1.20135463159656e-09
"ZMB",97,2.44171779141104,6.85338730370468e-10
"ZWE",98,3.05521472392638,2.21764712518652e-10
