"","AFG","ALB","DZA","AGO","ARG","ARM","AUS","AUT","AZE","BGD","BLR","BEL","BEN","BTN","BOL","BIH","BWA","BRA","BGR","BFA","BDI","KHM","CMR","CAN","CPV","CAF","TCD","CHL","CHN","COL","COM","COG","CRI","CIV","HRV","CUB","CYP","CZE","PRK","COD","DNK","DJI","DOM","ECU","EGY","SLV","ERI","EST","ETH","FJI","FIN","FRA","GAB","GMB","GEO","DEU","GHA","GRC","GTM","GIN","GNB","GUY","HTI","HND","HUN","IND","IDN","IRN","IRQ","IRL","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LTU","LUX","MDG","MWI","MYS","MLI","MRT","MUS","MEX","MNG","MNE","MAR","MOZ","MMR","NAM","NPL","NLD","NZL","NIC","NER","NGA","NOR","PSE","OMN","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","KOR","MDA","ROU","RUS","RWA","SAU","SEN","SRB","SRB","SLE","SVK","SVN","SLB","SOM","ZAF","ESP","LKA","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","MKD","TLS","TGO","TTO","TUN","TUR","TKM","UGA","UKR","ARE","GBR","TZA","USA","URY","UZB","VEN","VNM","YEM","ZMB","ZWE"
"BGD",0,0,0,0,0,0,0,0,0,-0.742001253225848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000128570519944886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33486015272848e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,-0.524428962554311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,0,0,0,0,0,0,0,0,0,-0.00813973625400436,0,0,0,0,0,-1.72290586823811e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00117304426099924,0,0,0,-0.000492846046503413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.12910679117093e-05,0,-2.98085097284645e-05,0,0,0,0,0,0,0
"BEN",-1.72330591305424e-07,0,0,-6.87586559310181e-06,-6.98945679076258e-07,-1.09927744091844e-08,-6.11035023116625e-07,-1.8708330780498e-07,-1.05538284032992e-08,-1.51957724344393e-07,0,-1.27796178922931e-05,-0.0100353795550387,0,-3.31061548904928e-09,0,0,-7.36160755737846e-06,-2.55509541234357e-08,-1.29124655539575e-05,-1.88387444714382e-08,-8.02138222391579e-07,-1.1248577133071e-05,-6.60083550695202e-08,0,0,0,-4.25037020860686e-07,-5.70630151939848e-07,-5.74167216624502e-06,-2.3002561193334e-05,-3.18915394634963e-05,0,-8.90231491904874e-06,0,0,-4.67547534440642e-07,-1.52375609544191e-10,-4.48937845511829e-08,-3.25109179632959e-09,-1.16040969425464e-06,0,0,0,-1.44225005477618e-07,-1.34579502998611e-07,-2.86357375771526e-07,-1.09510174811787e-08,-3.58428287695542e-09,0,-7.33447636006117e-09,-1.22518891521165e-05,-3.39409403023413e-05,0,0,-1.36638545546138e-06,-1.29354428857989e-05,-1.33201927793483e-06,-3.48133546533221e-07,-1.99755458269342e-06,-6.11477631864469e-06,-1.28563345984312e-07,0,0,-6.71280700177819e-08,-1.00989542030888e-05,-1.5952400369017e-07,-1.58829895446901e-06,-1.40931637396758e-07,-3.66624485581723e-06,0,-4.85527995018404e-06,0,-2.45574067830999e-06,0,-2.51731093202653e-08,-4.72696290019281e-07,0,0,0,0,-1.48370704174396e-05,0,-8.21046651908602e-07,-1.03898011761832e-08,-4.99705464392106e-06,0,-1.70191544248724e-06,0,-2.57846447456974e-06,-5.99598516126503e-07,0,0,-1.01732725064756e-07,-3.65451692903139e-07,0,-4.09306277375162e-06,-3.45788779109346e-07,-3.09497683959304e-08,0,-2.31576055767954e-08,-2.96688786291037e-06,-1.38076257814378e-05,0,-7.5199176215219e-06,-2.27909992585787e-06,-6.52306974772985e-07,0,-1.21613070644571e-06,-3.15539271645392e-05,0,0,0,-1.11573432514564e-10,-1.60634055517852e-07,-1.21716083395894e-07,-5.93768246865859e-07,-3.09684180853676e-06,-1.69468456914733e-07,-4.07496293530695e-07,-2.45145042066875e-06,-2.94199614867362e-07,-4.98554739836257e-11,0,-1.6847372001228e-05,0,0,-3.6221030245892e-09,-1.53094974496692e-07,0,-1.39973364016045e-05,-9.08930015317731e-06,-5.94052872659024e-07,-5.08297025575393e-07,-1.8635473464662e-05,-1.28112820910577e-07,0,0,-5.45387180915965e-07,-4.93393975396808e-07,0,0,-0.021612793398127,0,0,-0.000115773785463319,0,-9.83247420724755e-07,-3.57124812500971e-06,-3.46463991469728e-09,-5.80838918516161e-08,-1.30372457296665e-06,-4.06674155873318e-05,-2.38254462568759e-06,-7.90902406287794e-08,-1.74229849645393e-06,-4.65770995323636e-06,0,-4.72742089943342e-07,-6.17546389371078e-07,-1.17537665438239e-07,-5.84472877489511e-10,-3.47158209978003e-08
"BTN",0,0,0,0,-2.27058457711872e-09,0,0,0,0,-2.37212435981776e-09,0,-4.32254277947508e-08,0,-0.596513185374442,0,0,0,-8.49947224089945e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.03143598708265e-07,0,0,0,0,0,0,0,0,0,0,-1.48573440518316e-07,0,0,0,-6.61287710082024e-08,0,0,0,0,0,0,0,0,0,-0.000303663372083008,0,0,0,0,0,-1.63204030496493e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.52871770314007e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2566053504961e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.93778324310655e-08,0,0,0,0,0,0,0,0,0,0,-1.02770866352057e-08,0,-3.84703894595172e-08,0,0,0,0,0,0,0
"BOL",0,0,0,0,-2.49684460096358e-05,0,0,0,0,0,0,0,0,0,-0.205944398768792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00713836248057935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000206064571380104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27685834102239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,-3.04272582530309e-06,0,0,0,0,0,0,0,0,0,0,0,0,-0.366175034793009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0768261863538085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
