"","AFG","ALB","DZA","AGO","ARG","ARM","AUS","AUT","AZE","BHR","BGD","BLR","BEL","BEN","BTN","BOL","BIH","BWA","BRA","BGR","BFA","BDI","KHM","CMR","CAN","CPV","CAF","TCD","CHL","CHN","COL","COM","COG","CRI","CIV","HRV","CUB","CYP","CZE","PRK","COD","DNK","DJI","DOM","ECU","EGY","SLV","GNQ","ERI","EST","ETH","FJI","FIN","FRA","GAB","GMB","GEO","DEU","GHA","GRC","GTM","GIN","GNB","GUY","HTI","HND","HUN","IND","IDN","IRN","IRQ","IRL","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LTU","LUX","MDG","MWI","MYS","MLI","MRT","MUS","MEX","MNG","MNE","MAR","MOZ","MMR","NAM","NPL","NLD","NZL","NIC","NER","NGA","NOR","PSE","OMN","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","KOR","MDA","ROU","RUS","RWA","SAU","SEN","SRB","SRB","SLE","SGP","SVK","SVN","SLB","SOM","ZAF","ESP","LKA","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","MKD","TLS","TGO","TTO","TUN","TUR","TKM","UGA","UKR","ARE","GBR","TZA","USA","URY","UZB","VEN","VNM","YEM","ZMB","ZWE"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,32,0,0,0,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,74,3,0,0,0,0,0,0,0,4,0
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,12,4,46,0,6,4,6,0,58,6,4,7,38,0,4,5,4,3,4,31,0,0,8,4,30,0,0,4,4,4,0,49,3,9,4,7,16,5,0,9,5,40,4,4,4,4,30,6,4,0,5,0,4,42,29,5,5,5,5,4,30,0,5,4,4,4,4,4,4,7,6,5,5,5,4,4,0,4,13,0,0,5,12,0,33,14,4,0,29,4,5,6,32,45,4,26,0,4,7,0,6,5,10,5,4,4,4,4,0,10,4,4,0,4,4,4,4,8,57,5,0,4,4,19,3,6,5,3,27,76,0,5,0,0,4,6,5,5,27,0,4,4,3,0,4,7,0,8,3,5,4,0,10,4,74,5,4,3,4,0,5,4,15,0,0
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,4,0,0,0,0,0,0,0
"AUS",0,0,3,0,4,0,0,0,0,58,4,0,7,0,0,0,0,2,3,2,0,0,3,0,3,0,0,0,4,2,3,0,0,0,7,0,0,16,0,16,0,3,0,0,3,3,0,0,0,0,3,2,3,2,0,29,0,3,0,3,3,0,0,0,0,0,2,2,2,2,5,5,4,4,4,3,3,0,0,13,0,0,0,10,0,0,14,0,0,0,2,4,5,32,45,0,26,0,2,7,2,5,3,10,2,0,0,3,2,0,10,2,3,5,0,4,2,2,9,57,4,0,2,2,0,1,0,0,1,0,76,0,3,25,0,2,4,3,3,0,0,3,2,1,0,3,0,8,0,2,0,2,0,0,2,74,3,2,2,3,0,0,2,15,0,5
"AUT",8,11,5,0,6,6,4,0,5,58,0,4,8,0,0,0,5,0,5,4,0,0,0,0,5,0,0,0,6,4,5,0,0,0,0,4,9,17,4,0,0,4,0,5,0,5,5,0,0,4,0,0,5,4,0,30,5,4,0,5,5,0,0,0,5,0,4,4,0,4,0,7,6,5,0,5,5,4,4,16,4,0,5,12,0,34,14,4,5,0,0,6,0,0,0,5,26,26,4,0,0,0,0,11,5,0,0,0,4,0,12,4,5,0,0,6,4,4,10,0,6,4,4,4,0,3,0,5,3,0,76,4,5,0,0,4,6,5,0,0,0,5,4,3,0,5,7,0,0,4,6,4,4,0,4,74,5,0,4,5,4,6,4,17,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,58,0,0,0,0,0,0,0,0,0,59,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,58,0,0,0,0,0,0,0,58,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,77,0,0,58,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,4,6,0,58,0,0,9,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,7,0,0,0,0,0,57,6,0,0,0,0,3,0,0,0,0,76,0,0,0,0,4,6,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,4,74,5,0,4,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0
"BEL",10,15,6,46,7,9,7,8,8,58,9,7,0,38,13,0,8,7,7,7,30,23,8,10,7,30,15,7,8,7,7,63,49,6,11,7,10,18,7,17,12,7,40,7,7,7,7,30,9,7,7,8,7,6,42,29,8,6,8,8,7,30,26,7,7,7,7,7,7,7,10,7,8,7,8,7,7,7,7,15,7,7,8,14,15,33,16,7,7,29,7,9,8,32,45,7,28,26,7,11,7,7,8,9,8,7,7,7,7,17,13,7,7,10,0,8,7,7,9,57,8,7,7,7,19,6,8,8,6,27,76,7,8,25,0,7,7,8,8,27,20,7,7,6,8,7,10,0,10,6,8,7,7,12,7,74,6,7,6,7,7,8,7,17,8,9
